n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[fuzzing]@fa1,recall[masquerade]@fa1,recall[spoofing]@fa1,event_recall@fa1,event_recall[spoofing]@fa1,event_recall[masquerade]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[fuzzing]@fa10,recall[masquerade]@fa10,recall[spoofing]@fa10,event_recall@fa10,event_recall[spoofing]@fa10,event_recall[masquerade]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[fuzzing]@fa100,recall[masquerade]@fa100,recall[spoofing]@fa100,event_recall@fa100,event_recall[spoofing]@fa100,event_recall[masquerade]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[fuzzing]@fpr0.001,recall[masquerade]@fpr0.001,recall[spoofing]@fpr0.001,event_recall@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[masquerade]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[fuzzing]@fpr0.01,recall[masquerade]@fpr0.01,recall[spoofing]@fpr0.01,event_recall@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[masquerade]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
226048,23767,0.10514138590033975,0.49378995679615845,0.10997812800375813,202303,0.02842950277399512,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0010939538014894602,0.48148148148148145,0.00013842130501628923,1.0,17.52815383441946,0.0,0.00017356591165495098,0.001999500124968758,0.2413793103448276,0.38461538461538464,0.15384615384615385,0.0,True,0.0010939538014894602,0.48148148148148145,0.00013842130501628923,1.0,17.52815383441946,0.0,0.00017356591165495098,0.001999500124968758,0.2413793103448276,0.38461538461538464,0.15384615384615385,0.0,True,0.0010939538014894602,0.48148148148148145,0.00013842130501628923,1.0,17.52815383441946,0.0,0.00017356591165495098,0.001999500124968758,0.2413793103448276,0.38461538461538464,0.15384615384615385,0.0,True,0.015483653805696974,0.21076746849942726,0.0068123056540159484,0.9999998807907104,862.6355708510719,0.0,0.006508721687060661,0.02441056402566025,0.4827586206896552,0.5384615384615384,0.5384615384615384,0.0,LogReg,fleet,150000,11890,4.25,A_volume_matched,ROAD_ORNL,FS-A,0,cross,150000,11890
113006,11877,0.10510061412668353,0.4997359557168566,0.10868654977786105,101152,0.02842950277399512,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0005051780752715333,0.6666666666666666,2.9665081232880775e-05,1.0,3.756460086106644,0.0,0.0,0.0010003334444814939,0.10344827586206896,0.23076923076923078,0.0,0.0,True,0.0005051780752715333,0.6666666666666666,2.9665081232880775e-05,1.0,3.756460086106644,0.0,0.0,0.0010003334444814939,0.10344827586206896,0.23076923076923078,0.0,0.0,True,0.01044034688894502,0.20462046204620463,0.004766189718082845,0.9999998807907104,603.5379205011342,0.0,0.003993748914742142,0.016838946315438478,0.4482758620689655,0.5384615384615384,0.46153846153846156,0.0,LogReg,fleet,150000,11890,3.84,A_volume_matched,ROAD_ORNL,FS-A,0,in_f0,150000,11890
226048,23767,0.10514138590033975,0.5404495635635904,0.12126227255670123,202303,0.02842950277399512,True,0.0,0.0,0.0,0.950157785710709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.415029242226617e-05,0.1,8.898512465332879e-05,0.9306009588124683,11.268098893555367,0.0,8.678295582747549e-05,8.331250520703157e-05,0.06896551724137931,0.07692307692307693,0.07692307692307693,0.0,True,0.0007152774855892624,0.07488986784140969,0.0010381597876221692,0.9147317054580086,131.46115375814594,0.012448132780082987,0.0002603488674824265,0.0009164375572773473,0.3793103448275862,0.5384615384615384,0.23076923076923078,0.3333333333333333,True,0.0009677283628560609,0.08098591549295775,0.0012902843074732674,0.9126949213552149,163.3874339565528,0.012448132780082987,0.0004339147791373774,0.0012496875781054736,0.41379310344827586,0.5384615384615384,0.3076923076923077,0.3333333333333333,True,0.011065763453528001,0.10823045267489712,0.010712820284653526,0.8869299032016074,1356.5539056852488,0.03734439834024896,0.006682287598715612,0.01474631342164459,0.7931034482758621,0.8461538461538461,0.7692307692307693,0.6666666666666666,RandomForest,fleet,150000,11890,189.05,A_volume_matched,ROAD_ORNL,FS-A,0,cross,150000,11890
113006,11877,0.10510061412668353,0.5487775605815828,0.1235665860053527,101152,0.02842950277399512,False,8.419634587858886e-05,1.0,0.0,0.9410954043840086,0.0,0.0,0.00017364125716270185,0.0,0.034482758620689655,0.0,0.07692307692307693,0.0,True,8.419634587858886e-05,0.14285714285714285,5.933016246576155e-05,0.9317938640977307,7.512920172213288,0.0,0.00017364125716270185,0.0,0.034482758620689655,0.0,0.07692307692307693,0.0,True,0.0005893744211501221,0.1111111111111111,0.0005537481830137744,0.918270161777307,70.12058827399069,0.008333333333333333,0.0003472825143254037,0.0006668889629876625,0.1724137931034483,0.15384615384615385,0.15384615384615385,0.3333333333333333,True,0.0005893744211501221,0.09859154929577464,0.0006328550663014566,0.9168873065865218,80.13781517027509,0.008333333333333333,0.0003472825143254037,0.0006668889629876625,0.1724137931034483,0.15384615384615385,0.15384615384615385,0.3333333333333333,True,0.008419634587858887,0.10893246187363835,0.008088678816165491,0.8895742732186585,1024.2614501450785,0.03333333333333333,0.005903802743531863,0.010336778926308769,0.6551724137931034,0.6923076923076923,0.6153846153846154,0.6666666666666666,RandomForest,fleet,150000,11890,186.46,A_volume_matched,ROAD_ORNL,FS-A,0,in_f0,150000,11890
226048,23767,0.10514138590033975,0.5044728519362226,0.10958926501126469,202303,0.02842950277399512,True,0.0,0.0,4.943618036296043e-06,0.9999808749303739,0.6260054940864092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4.2075146211133085e-05,0.06666666666666667,6.921065250814461e-05,0.9999748953830809,8.76407691720973,0.0,0.0,8.331250520703157e-05,0.034482758620689655,0.07692307692307693,0.0,0.0,True,0.0011781040939117264,0.1308411214953271,0.0009195129547510642,0.9999645107698031,116.43702190007211,0.0,0.0008678295582747548,0.0014996250937265683,0.3103448275862069,0.38461538461538464,0.3076923076923077,0.0,True,0.0017671561408675895,0.1453287197231834,0.0012210736549651228,0.9999628014696623,154.6233570393431,0.0,0.0012149613815846567,0.0023327501457968843,0.3793103448275862,0.46153846153846156,0.38461538461538464,0.0,True,0.012874994740606724,0.10650887573964497,0.012690267499171943,0.9999410674536255,1606.9561033198122,0.004149377593360996,0.00902542740605745,0.016745813546613347,0.7586206896551724,0.7692307692307693,0.8461538461538461,0.3333333333333333,HistGB,fleet,150000,11890,74.62,A_volume_matched,ROAD_ORNL,FS-A,0,cross,150000,11890
113006,11877,0.10510061412668353,0.5031595830018553,0.10780989767917332,101152,0.02842950277399512,False,0.0,0.0,9.88836041096026e-06,0.9999801608458382,1.2521533620355483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,4.9441802054801294e-05,0.9999758834765615,6.26076681017774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0007577671129072998,0.14516129032258066,0.0005240831017808937,0.999966509378584,66.36412818788405,0.0,0.0006945650286508074,0.0008336112037345782,0.10344827586206896,0.07692307692307693,0.15384615384615385,0.0,True,0.0009261598046644776,0.13095238095238096,0.0007218503100000988,0.9999648940576039,91.407195428595,0.0,0.0006945650286508074,0.0011670556852284096,0.10344827586206896,0.07692307692307693,0.15384615384615385,0.0,True,0.008672223625494654,0.0989433237271854,0.009275282065480723,0.9999445798527701,1174.5198535893442,0.0,0.005556520229206459,0.011837279093031011,0.4482758620689655,0.6153846153846154,0.38461538461538464,0.0,HistGB,fleet,150000,11890,66.76,A_volume_matched,ROAD_ORNL,FS-A,0,in_f0,150000,11890
226048,23767,0.10514138590033975,0.4080690485104895,0.08523016943228612,202303,0.02842950277399512,True,0.0,0.0,0.0,0.9999969005584718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00014336492305258526,0.9999929666519165,18.154159328505866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0004628266083224639,0.02997275204359673,0.0017599280209213916,0.9999860525131226,222.8579558947617,0.0,0.0002603488674824265,0.0006665000416562525,0.20689655172413793,0.23076923076923078,0.23076923076923078,0.0,True,0.0006311271931669963,0.031446540880503145,0.002283951532768772,0.9999850988388062,289.21453826792106,0.0,0.00034713182330990195,0.0009164375572773473,0.20689655172413793,0.23076923076923078,0.23076923076923078,0.0,True,0.006900323978625826,0.04695104494703693,0.01645730444282953,0.9999725818634033,2083.9722898136565,0.0,0.005901240996268333,0.007998000499875032,0.6551724137931034,0.6923076923076923,0.7692307692307693,0.0,XGBoost,fleet,150000,11890,21.27,A_volume_matched,ROAD_ORNL,FS-A,0,cross,150000,11890
113006,11877,0.10510061412668353,0.4115104155985133,0.08552789271893343,101152,0.02842950277399512,False,0.0,0.0,0.0,0.9999955892562867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,1.977672082192052e-05,0.9999948740005493,2.5043067240710966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.419634587858886e-05,0.024390243902439025,0.00039553441643841035,0.9999897480010986,50.08613448142192,0.0,0.0,0.00016672224074691563,0.034482758620689655,0.07692307692307693,0.0,0.0,True,8.419634587858886e-05,0.017241379310344827,0.0005636365434247347,0.9999890327453613,71.37274163602625,0.0,0.0,0.00016672224074691563,0.034482758620689655,0.07692307692307693,0.0,0.0,True,0.0023574976846004883,0.0374331550802139,0.007119619495891386,0.9999778270721436,901.5504206655946,0.0,0.001215488800138913,0.0035011670556852285,0.4482758620689655,0.5384615384615384,0.46153846153846156,0.0,XGBoost,fleet,150000,11890,20.42,A_volume_matched,ROAD_ORNL,FS-A,0,in_f0,150000,11890
226048,23767,0.10514138590033975,0.4898412053330603,0.10810421740938356,202303,0.02842950277399512,True,8.415029242226617e-05,0.25,2.9661708217776263e-05,0.9999742862837766,3.7560329645184556,0.0,0.0,0.00016662501041406314,0.06896551724137931,0.15384615384615385,0.0,0.0,True,0.00016830058484453234,0.13793103448275862,0.0001235904509074011,0.9999696997214433,15.650137352160232,0.0,8.678295582747549e-05,0.00024993751562109475,0.10344827586206896,0.15384615384615385,0.07692307692307693,0.0,True,0.0009677283628560609,0.09787234042553192,0.0010480470236947613,0.9999578699608203,132.71316474631877,0.0,0.0004339147791373774,0.0014996250937265683,0.3448275862068966,0.5384615384615384,0.23076923076923078,0.0,True,0.0013884798249673917,0.10714285714285714,0.001359494959981412,0.99995605716165,172.15151087376253,0.0,0.0008678295582747548,0.0019161876197617263,0.41379310344827586,0.5384615384615384,0.38461538461538464,0.0,True,0.015315353220852443,0.11570247933884298,0.013753145376975593,0.999922010803721,1741.5472845483903,0.0,0.011368567213399289,0.019411813713238357,0.7586206896551724,0.9230769230769231,0.7692307692307693,0.0,LightGBM,fleet,150000,11890,52.78,A_volume_matched,ROAD_ORNL,FS-A,0,cross,150000,11890
113006,11877,0.10510061412668353,0.503503432273044,0.11236963420187825,101152,0.02842950277399512,False,0.0,0.0,0.0,0.999979729190525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.419634587858886e-05,0.25,2.9665081232880775e-05,0.999972779184119,3.756460086106644,0.0,0.0,0.00016672224074691563,0.034482758620689655,0.07692307692307693,0.0,0.0,True,0.0010103561505430665,0.13953488372093023,0.0007317386704110591,0.9999600690151719,92.65934879063056,0.0,0.0005209237714881056,0.0015005001667222407,0.20689655172413793,0.3076923076923077,0.15384615384615385,0.0,True,0.0011787488423002442,0.1414141414141414,0.000840510634931622,0.9999588818993326,106.43303577302159,0.0,0.0005209237714881056,0.001833944648216072,0.20689655172413793,0.3076923076923077,0.15384615384615385,0.0,True,0.009345794392523364,0.10829268292682927,0.009037961415617676,0.9999307787105061,1144.4681729004908,0.0,0.008161139086646988,0.0106702234078026,0.6896551724137931,0.9230769230769231,0.6153846153846154,0.0,LightGBM,fleet,150000,11890,52.62,A_volume_matched,ROAD_ORNL,FS-A,0,in_f0,150000,11890
