n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources
59474,952,0.016006994653125734,0.9128710197041463,0.8266410590845493,58526,0.03288579995682486,False,0.6691176470588235,1.0,0.0,0.9981646900148969,0.0,0.5,1.0,0.42857142857142855,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6754201680672269,1.0,0.0,0.9966488887902412,0.0,0.7,1.0,0.6428571428571429,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.8140756302521008,0.9281437125748503,0.0010252554594853218,0.9956811422242845,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8140756302521008,0.9281437125748503,0.0010252554594853218,0.9956811422242845,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8172268907563025,0.8429035752979415,0.002477700693756194,0.9954212490032688,271.23325293083434,0.7,1.0,0.6428571428571429,0.3333333333333333,0.451505016722408,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,10934,1058,14.28,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_Prototype
59474,952,0.016006994653125734,0.9823429363201485,0.9563865731741602,58526,0.03288579995682486,False,0.9264705882352942,0.9966101694915255,5.126277297426609e-05,0.3947977423667908,5.611722474431056,1.0,1.0,0.7142857142857143,0.3333333333333333,0.7859531772575251,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9380252100840336,0.9856512141280354,0.00022213868288848638,0.383823961019516,24.317464055867905,1.0,1.0,0.7142857142857143,0.3333333333333333,0.822742474916388,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864865,0.0005297153207340829,0.36573147773742676,57.987798902454244,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864865,0.0005297153207340829,0.36573147773742676,57.987798902454244,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.944327731092437,0.6099050203527816,0.009825364820067666,0.3278380334377289,1075.5801409326189,1.0,1.0,0.7142857142857143,0.3333333333333333,0.842809364548495,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,10934,1058,3.64,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_Prototype
59474,952,0.016006994653125734,0.9199461439338047,0.8384748828429989,58526,0.03288579995682486,False,0.6827731092436975,1.0,0.0,51.94373774083539,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.6827731092436975,1.0,0.0,51.94373774083538,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.8077731092436975,0.9685138539042821,0.00042718977478555073,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.8077731092436975,0.9685138539042821,0.00042718977478555073,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.832983193277311,0.5297261189044756,0.012029664057961109,19.714706189929196,1316.8842073331546,1.0,1.0,1.0,0.0,0.4782608695652174,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,Rule:Combined,fleet,10934,1058,0.19,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_Prototype
59474,952,0.016006994653125734,0.9128710197041463,0.8266410590845493,58526,0.03288579995682486,False,0.6691176470588235,1.0,0.0,0.9981646900148969,0.0,0.5,1.0,0.42857142857142855,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6754201680672269,1.0,0.0,0.9966488887902412,0.0,0.7,1.0,0.6428571428571429,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.8140756302521008,0.9281437125748503,0.0010252554594853218,0.9956811422242845,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8140756302521008,0.9281437125748503,0.0010252554594853218,0.9956811422242845,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8172268907563025,0.8429035752979415,0.002477700693756194,0.9954212490032688,271.23325293083434,0.7,1.0,0.6428571428571429,0.3333333333333333,0.451505016722408,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,10934,1058,11.34,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_Prototype
59474,952,0.016006994653125734,0.9823429363201485,0.9563865731741602,58526,0.03288579995682486,False,0.9264705882352942,0.9966101694915255,5.126277297426609e-05,0.3947977423667908,5.611722474431056,1.0,1.0,0.7142857142857143,0.3333333333333333,0.7859531772575251,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9380252100840336,0.9856512141280354,0.00022213868288848638,0.383823961019516,24.317464055867905,1.0,1.0,0.7142857142857143,0.3333333333333333,0.822742474916388,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864865,0.0005297153207340829,0.36573147773742676,57.987798902454244,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864865,0.0005297153207340829,0.36573147773742676,57.987798902454244,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.944327731092437,0.6099050203527816,0.009825364820067666,0.3278380334377289,1075.5801409326189,1.0,1.0,0.7142857142857143,0.3333333333333333,0.842809364548495,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,10934,1058,5.37,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_Prototype
59474,952,0.016006994653125734,0.9199461439338047,0.8384748828429989,58526,0.03288579995682486,False,0.6827731092436975,1.0,0.0,51.94373774083539,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.6827731092436975,1.0,0.0,51.94373774083538,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.8077731092436975,0.9685138539042821,0.00042718977478555073,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.8077731092436975,0.9685138539042821,0.00042718977478555073,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.832983193277311,0.5297261189044756,0.012029664057961109,19.714706189929196,1316.8842073331546,1.0,1.0,1.0,0.0,0.4782608695652174,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,Rule:Combined,fleet,10934,1058,0.17,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_Prototype
59474,952,0.016006994653125734,0.9990781047219476,0.995054485594959,58526,0.03288579995682486,False,0.967436974789916,1.0,0.0,0.9937990341534759,0.0,0.0,1.0,0.0,0.0,0.9866220735785953,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9800420168067226,1.0,0.0,0.8291616062541911,0.0,0.5,1.0,0.35714285714285715,0.3333333333333333,0.9899665551839465,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.00010252554594853218,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892977,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.00010252554594853218,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892977,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9947478991596639,0.6687853107344632,0.008014080174976932,0.04026453643576744,877.2992801693883,1.0,1.0,0.7142857142857143,1.0,0.9966555183946488,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,17309,864,9.66,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_RenaultClio
59474,952,0.016006994653125734,0.9989882153777405,0.9899085385452615,58526,0.03288579995682486,False,0.7279411764705882,1.0,0.0,0.3632501959800721,0.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.15384615384615385,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9065126050420168,0.9976878612716763,3.417518198284406e-05,0.14034205675125122,3.7411483162873704,1.0,1.0,0.7142857142857143,0.3333333333333333,0.7224080267558528,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9695378151260504,0.9624608967674662,0.0006151532756911931,0.057620029896497726,67.34066969317267,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9230769230769231,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9726890756302521,0.9566115702479339,0.0007176788216397252,0.05445324629545212,78.56411464203478,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9331103678929766,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9884453781512605,0.7328660436137072,0.005861043710057756,0.028761113062500954,641.606936243284,1.0,1.0,0.7142857142857143,0.6666666666666666,0.979933110367893,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,17309,864,6.54,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_RenaultClio
59474,952,0.016006994653125734,0.9951674964439144,0.8511666850362705,58526,0.03288579995682486,False,0.657563025210084,1.0,0.0,375000.00000000006,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6607142857142857,0.9782270606531882,0.0002392262738799084,78125.0,26.188038214011595,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541745,31250.0,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541745,31250.0,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541745,31250.0,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,Rule:Combined,fleet,17309,864,0.18,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_RenaultClio
59474,952,0.016006994653125734,0.9990781047219476,0.995054485594959,58526,0.03288579995682486,False,0.967436974789916,1.0,0.0,0.9937990341534759,0.0,0.0,1.0,0.0,0.0,0.9866220735785953,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9800420168067226,1.0,0.0,0.8291616062541911,0.0,0.5,1.0,0.35714285714285715,0.3333333333333333,0.9899665551839465,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.00010252554594853218,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892977,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.00010252554594853218,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892977,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9947478991596639,0.6687853107344632,0.008014080174976932,0.04026453643576744,877.2992801693883,1.0,1.0,0.7142857142857143,1.0,0.9966555183946488,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,17309,864,16.76,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_RenaultClio
