n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[dos]@fa1,event_recall[spoofing]@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[dos]@fa10,event_recall[spoofing]@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[dos]@fa100,event_recall[spoofing]@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[dos]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[dos]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
98401,12610,0.12814910417577058,0.7653662741473661,0.5704383000364642,85805,0.04424300176620483,True,0.195796986518636,1.0,0.0,0.999169111251831,0.0,0.3111259160559627,0.004625346901017576,0.5113137453562986,0.002452619843924192,0.6071428571428571,1.0,0.6428571428571429,0.375,0.5,True,0.23766851704996034,0.9970059880239521,0.00010490610903241599,0.9984645843505859,8.53608429446973,0.44103930712858097,0.012025901942645698,0.547450185748058,0.005797101449275362,0.7142857142857143,1.0,0.7142857142857143,0.625,0.5,True,0.3009516256938937,0.9681122448979592,0.0014570292921168887,0.9966360330581665,118.55672631207958,0.6369087275149901,0.037927844588344126,0.5808848362039851,0.018060200668896322,0.7857142857142857,1.0,0.8571428571428571,0.625,0.5,True,0.29611419508326725,0.9706264621783207,0.0013171544800736673,0.9967966675758362,107.17528058611992,0.6235842771485676,0.036077705827937095,0.5771698750422155,0.016722408026755852,0.7857142857142857,1.0,0.8571428571428571,0.625,0.5,True,0.3751784298176051,0.8454253037884203,0.01008264270144887,0.9924403429031372,820.4125460795907,0.8161225849433711,0.08649398704902868,0.6349206349206349,0.04771460423634337,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,LogReg,fleet,92116,6311,3.01,A_volume_matched,CTT_Impala,FS-A,0,cross,92116,6311
49186,6299,0.12806489651526856,0.7577620411137915,0.5631826703397145,42904,0.04424300176620483,False,0.21177964756310524,0.9992509363295881,2.331708909459743e-05,0.9988920092582704,1.897283579087298,0.3626666666666667,0.0064754856614246065,0.5284167794316644,0.0008928571428571428,0.5357142857142857,1.0,0.5714285714285714,0.25,0.5,True,0.22448007620257185,0.998587570621469,4.663417818919486e-05,0.998604953289032,3.794567158174596,0.4026666666666667,0.011100832562442183,0.5385656292286874,0.0008928571428571428,0.5714285714285714,1.0,0.6428571428571429,0.25,0.5,True,0.2870296872519448,0.9730893433799784,0.0011658544547298716,0.9968811273574829,94.8641789543649,0.6013333333333334,0.04070305272895467,0.5717185385656293,0.007589285714285714,0.7142857142857143,1.0,0.7857142857142857,0.5,0.5,True,0.28067947293221146,0.9767955801104973,0.000979317741973092,0.9970787763595581,79.68591032166651,0.5846666666666667,0.034227567067530065,0.5683355886332883,0.00625,0.7142857142857143,1.0,0.7857142857142857,0.5,0.5,True,0.36275599301476424,0.8642208774583964,0.008370834984960478,0.992749810218811,681.12480489234,0.7986666666666666,0.09805735430157261,0.6224627875507442,0.027232142857142858,0.7857142857142857,1.0,0.7857142857142857,0.75,0.5,LogReg,fleet,92116,6311,2.99,A_volume_matched,CTT_Impala,FS-A,0,in_f0,92116,6311
98401,12610,0.12814910417577058,0.6173183153337873,0.40747700724947755,85805,0.04424300176620483,True,0.23180015860428232,0.9996580027359782,1.165623433693511e-05,0.7089398719833613,0.9484538104966366,0.9613590939373751,0.0013876040703052729,0.010807159743329957,0.0004459308807134894,0.39285714285714285,1.0,0.35714285714285715,0.125,0.5,True,0.2429024583663759,0.9960975609756098,0.0001398748120432213,0.6856522242801552,11.381445725959637,0.9810126582278481,0.004625346901017576,0.03275920297196893,0.002452619843924192,0.6785714285714286,1.0,0.7142857142857143,0.5,0.5,True,0.2625693893735131,0.9681286549707603,0.001270529542725927,0.6529455229419362,103.38146534413337,0.988674217188541,0.02682701202590194,0.0729483282674772,0.015384615384615385,0.7857142857142857,1.0,0.7857142857142857,0.625,1.0,True,0.2610626486915147,0.9708050722500737,0.0011539671993565758,0.6548853908280141,93.89692723916703,0.9883411059293804,0.024514338575393153,0.06990881458966565,0.014492753623188406,0.7857142857142857,1.0,0.7857142857142857,0.625,1.0,True,0.2808088818398097,0.8172167089776137,0.009231737594852607,0.6309922296399598,751.1754179133362,0.9926715522984677,0.060129509713228495,0.09793988517392772,0.031438127090301006,0.8928571428571429,1.0,0.8571428571428571,0.875,1.0,RandomForest,fleet,92116,6311,82.26,A_volume_matched,CTT_Impala,FS-A,0,cross,92116,6311
49186,6299,0.12806489651526856,0.6241111794196406,0.4093379017063615,42904,0.04424300176620483,False,0.22702016193046515,1.0,0.0,0.7176858048934086,0.0,0.9453333333333334,0.0,0.008119079837618403,0.0,0.25,1.0,0.21428571428571427,0.0,0.0,True,0.2390855691379584,0.9993364299933643,2.331708909459743e-05,0.6943640029647341,1.897283579087298,0.972,0.0037002775208140612,0.02774018944519621,0.0013392857142857143,0.4642857142857143,1.0,0.42857142857142855,0.25,0.5,True,0.2590887442451183,0.9731663685152058,0.0010492690092568843,0.6554329138782081,85.3777610589284,0.988,0.02682701202590194,0.06765899864682003,0.009375,0.6785714285714286,1.0,0.7142857142857143,0.5,0.5,True,0.2571836799491983,0.9806295399515739,0.0007461468510271177,0.65895301432072,60.713074530793534,0.9873333333333333,0.02127659574468085,0.06427604871447902,0.009375,0.6785714285714286,1.0,0.7142857142857143,0.5,0.5,True,0.2760755675504048,0.8316594930655189,0.008207615361298295,0.6311520535674573,667.8438198387288,0.9926666666666667,0.06845513413506013,0.09201623815967523,0.017857142857142856,0.8214285714285714,1.0,0.8571428571428571,0.75,0.5,RandomForest,fleet,92116,6311,79.04,A_volume_matched,CTT_Impala,FS-A,0,in_f0,92116,6311
98401,12610,0.12814910417577058,0.6545222320762543,0.4193075580737918,85805,0.04424300176620483,True,0.14060269627279937,0.9994363021420518,1.165623433693511e-05,0.9987141371581414,0.9484538104966366,0.5143237841439041,0.01757631822386679,0.05606214116852415,0.005574136008918618,0.7142857142857143,1.0,0.7857142857142857,0.375,1.0,True,0.1711340206185567,0.9958467928011075,0.00010490610903241599,0.9983962146107672,8.53608429446973,0.6169220519653564,0.025901942645698426,0.07024653833164471,0.009364548494983277,0.75,1.0,0.7857142857142857,0.5,1.0,True,0.21808088818398097,0.960195530726257,0.0013288107144106024,0.9977574123588754,108.12373439661657,0.760159893404397,0.05180388529139685,0.09523809523809523,0.01649944258639911,0.8928571428571429,1.0,0.9285714285714286,0.75,1.0,True,0.21300555114988104,0.9686260367832672,0.0010140923873133546,0.9978349264249278,82.51548151320739,0.7465023317788141,0.04810360777058279,0.09253630530226276,0.014938684503901895,0.8571428571428571,1.0,0.9285714285714286,0.625,1.0,True,0.2620142743854084,0.7788778877887789,0.010933547808045133,0.9969482171681867,889.6496742458451,0.8484343770819454,0.10407030527289547,0.12698412698412698,0.034782608695652174,0.9642857142857143,1.0,1.0,0.875,1.0,HistGB,fleet,92116,6311,31.15,A_volume_matched,CTT_Impala,FS-A,0,cross,92116,6311
49186,6299,0.12806489651526856,0.6578546960963547,0.4185599418745762,42904,0.04424300176620483,False,0.08715669153833942,1.0,0.0,0.999092953655058,0.0,0.328,0.004625346901017576,0.03382949932341001,0.0008928571428571428,0.6071428571428571,1.0,0.7857142857142857,0.125,0.5,True,0.16891570090490554,0.99812382739212,4.663417818919486e-05,0.9984207940252481,3.794567158174596,0.6086666666666667,0.027752081406105456,0.07307171853856563,0.005803571428571429,0.6785714285714286,1.0,0.7857142857142857,0.375,0.5,True,0.21797110652484522,0.9621583742116327,0.0012591228111082612,0.9977844801346826,102.45331327071409,0.7573333333333333,0.056429232192414434,0.09742895805142084,0.014285714285714285,0.8214285714285714,1.0,0.8571428571428571,0.625,1.0,True,0.2133672011430386,0.9718004338394793,0.0009093664746892998,0.99785124600681,73.99405958440462,0.744,0.0545790934320074,0.09472259810554803,0.012946428571428572,0.8214285714285714,1.0,0.8571428571428571,0.625,1.0,True,0.2603587871090649,0.7772511848341233,0.010959031874460793,0.9969741655200027,891.7232821710301,0.842,0.11008325624421832,0.12990527740189445,0.029464285714285714,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,HistGB,fleet,92116,6311,29.93,A_volume_matched,CTT_Impala,FS-A,0,in_f0,92116,6311
98401,12610,0.12814910417577058,0.659646440715232,0.4053331770531815,85805,0.04424300176620483,True,0.052498017446471056,0.9984917043740573,1.165623433693511e-05,0.9997593760490417,0.9484538104966366,0.17621585609593604,0.03700277520814061,0.002026342451874367,0.010479375696767,0.35714285714285715,1.0,0.21428571428571427,0.25,0.5,True,0.10348929421094369,0.9961832061068703,5.828117168467555e-05,0.9994805455207825,4.7422690524831825,0.35842771485676217,0.06521739130434782,0.007429922323539345,0.01471571906354515,0.5714285714285714,1.0,0.5714285714285714,0.25,1.0,True,0.18842188739095955,0.9424831416104721,0.001690153978855591,0.998595654964447,137.52580252201233,0.6245836109260493,0.1211840888066605,0.04390408645727795,0.024303232998885173,0.7857142857142857,1.0,0.7857142857142857,0.625,1.0,True,0.18398096748612214,0.9547325102880658,0.0012821857770628621,0.998676598072052,104.32991915463002,0.6122584943371085,0.11748381128584644,0.041202296521445456,0.02363433667781494,0.7857142857142857,1.0,0.7857142857142857,0.625,1.0,True,0.24575733544805708,0.7728179551122194,0.010618829480947885,0.9971428513526917,864.0414213624359,0.7774816788807462,0.17067530064754857,0.07970280310705842,0.03567447045707915,0.8214285714285714,1.0,0.8571428571428571,0.625,1.0,XGBoost,fleet,92116,6311,12.78,A_volume_matched,CTT_Impala,FS-A,0,cross,92116,6311
49186,6299,0.12806489651526856,0.6627493895292529,0.4044896756175886,42904,0.04424300176620483,False,0.07540879504683283,0.9958071278825996,4.663417818919486e-05,0.9996660947799684,3.794567158174596,0.26866666666666666,0.0545790934320074,0.0027063599458728013,0.0040178571428571425,0.32142857142857145,1.0,0.21428571428571427,0.125,0.5,True,0.12446420066677251,0.9924050632911392,0.00013990253456758458,0.9993537068367004,11.383701474523786,0.43933333333333335,0.0851063829787234,0.012855209742895805,0.00625,0.4642857142857143,1.0,0.42857142857142855,0.25,0.5,True,0.18304492776631212,0.9560530679933665,0.001235805722013664,0.998699426651001,100.55602969162679,0.6113333333333333,0.1341350601295097,0.04736129905277402,0.009375,0.6785714285714286,1.0,0.7142857142857143,0.5,0.5,True,0.1785997777424988,0.9631849315068494,0.0010026348310676896,0.998764157295227,81.58319390075383,0.6006666666666667,0.13135985198889916,0.04262516914749662,0.008482142857142856,0.6785714285714286,1.0,0.7142857142857143,0.5,0.5,True,0.24019685664391174,0.782316442605998,0.009816494508825518,0.9972304701805115,798.7563867957525,0.77,0.17761332099907493,0.08389715832205684,0.01875,0.75,1.0,0.7857142857142857,0.625,0.5,XGBoost,fleet,92116,6311,11.72,A_volume_matched,CTT_Impala,FS-A,0,in_f0,92116,6311
98401,12610,0.12814910417577058,0.6552401618262467,0.4145638328184975,85805,0.04424300176620483,True,0.07660586835844568,1.0,0.0,0.9992615510851255,0.0,0.3134576948700866,0.004625346901017576,0.003377237419790611,0.0011148272017837235,0.4642857142857143,1.0,0.35714285714285715,0.375,0.5,True,0.13544805709754162,0.9953379953379954,9.324987469548088e-05,0.998740624834975,7.587630483973093,0.5306462358427715,0.024514338575393153,0.014184397163120567,0.004459308807134894,0.6785714285714286,1.0,0.6428571428571429,0.625,0.5,True,0.18350515463917524,0.9706375838926175,0.0008159364035854577,0.99800892464976,66.39176673476456,0.6895403064623584,0.05319148936170213,0.028706518068220197,0.009810479375696768,0.7857142857142857,1.0,0.7857142857142857,0.75,0.5,True,0.17866772402854877,0.976592977893368,0.0006294366541944959,0.998106923703194,51.21650576681837,0.6748834110592938,0.04902867715078631,0.02701789935832489,0.009141583054626532,0.75,1.0,0.7142857142857143,0.75,0.5,True,0.2527359238699445,0.8194908716893803,0.008182676504528447,0.9961856417120923,665.8145749686389,0.8674217188540972,0.11655874190564293,0.06349206349206349,0.03188405797101449,0.9642857142857143,1.0,1.0,0.875,1.0,LightGBM,fleet,92116,6311,17.48,A_volume_matched,CTT_Impala,FS-A,0,cross,92116,6311
49186,6299,0.12806489651526856,0.6586221759184013,0.4116336076378611,42904,0.04424300176620483,False,0.09239561835211939,1.0,0.0,0.9991580423207916,0.0,0.376,0.0064754856614246065,0.006089309878213802,0.0008928571428571428,0.35714285714285715,1.0,0.2857142857142857,0.125,0.5,True,0.1401809811081124,0.9943693693693694,0.00011658544547298715,0.9987367228070752,9.486417895436489,0.546,0.030527289546716005,0.016914749661705007,0.0026785714285714286,0.4642857142857143,1.0,0.42857142857142855,0.25,0.5,True,0.19828544213367202,0.9563552833078101,0.0013290740783920534,0.997816220415782,108.14516400797598,0.734,0.06845513413506013,0.039918809201623814,0.006696428571428571,0.6785714285714286,1.0,0.5714285714285714,0.75,0.5,True,0.1938402921098587,0.9644549763033176,0.0010492690092568843,0.997898630215212,85.3777610589284,0.7226666666666667,0.06475485661424607,0.036535859269282815,0.005803571428571429,0.6428571428571429,1.0,0.5714285714285714,0.625,0.5,True,0.2524210192093983,0.7977922729553437,0.009396786905122764,0.9959818516563146,764.605282372181,0.8746666666666667,0.11748381128584644,0.06765899864682003,0.022767857142857142,0.8571428571428571,1.0,0.7857142857142857,0.875,1.0,LightGBM,fleet,92116,6311,16.54,A_volume_matched,CTT_Impala,FS-A,0,in_f0,92116,6311
