n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
125812,27607,0.2194305789590818,0.4918268477175959,0.31927053620442997,98229,0.039665574882341466,True,0.05404426413590756,0.998661311914324,2.036556183493712e-05,0.9999994039535522,1.8483539649494114,0.0104,0.4394160583941606,0.0007518796992481203,0.03013381097882204,0.23684210526315788,0.3333333333333333,0.045454545454545456,1.0,1.0,True,0.056905857210127864,0.9936748893105629,0.0001018278091746856,0.9999992847442627,9.241769824747058,0.0144,0.45742092457420924,0.0015037593984962407,0.031872300073754085,0.23684210526315788,0.3333333333333333,0.045454545454545456,1.0,1.0,True,0.06715688050132212,0.9561629706034038,0.0008655363779848277,0.9999986886978149,78.55504351034999,0.0232,0.5197080291970803,0.006390977443609023,0.03808871562532926,0.34210526315789475,0.4166666666666667,0.18181818181818182,1.0,1.0,True,0.06715688050132212,0.9561629706034038,0.0008655363779848277,0.9999986886978149,78.55504351034999,0.0232,0.5197080291970803,0.006390977443609023,0.03808871562532926,0.34210526315789475,0.4166666666666667,0.18181818181818182,1.0,1.0,True,0.1047198174376064,0.7489637305699481,0.009867114709027035,0.9999958276748657,895.52749601799,0.2448,0.6262773722627737,0.05,0.054367295332420185,0.6052631578947368,0.75,0.45454545454545453,1.0,1.0,LogReg,fleet,112043,13814,8.75,A_volume_matched,CTT_Forester,FS-A,0,cross,112043,13814
62883,13793,0.21934386082088958,0.5018443738093772,0.32691372946411096,49115,0.039665574882341466,False,0.04154281157108678,1.0,0.0,0.9999996423721315,0.0,0.0,0.3563777994157741,0.0,0.021814732848561492,0.15789473684210525,0.3333333333333333,0.0,0.0,1.0,True,0.05720292902196766,0.9937027707808564,0.00010185373803218578,0.9999992847442627,9.244123096753768,0.022435897435897436,0.4537487828627069,0.0011307953260459858,0.03224786595004742,0.23684210526315788,0.3333333333333333,0.045454545454545456,1.0,1.0,True,0.0670630029725223,0.9615384615384616,0.0007537176614381747,0.9999986886978149,68.40651091597788,0.03205128205128205,0.5121713729308666,0.00603090840557859,0.03825482137211508,0.34210526315789475,0.4166666666666667,0.18181818181818182,1.0,1.0,True,0.0670630029725223,0.9615384615384616,0.0007537176614381747,0.9999986886978149,68.40651091597788,0.03205128205128205,0.5121713729308666,0.00603090840557859,0.03825482137211508,0.34210526315789475,0.4166666666666667,0.18181818181818182,1.0,1.0,True,0.10635829768723265,0.7725118483412322,0.008800162965980851,0.9999959468841553,798.6922355595254,0.30288461538461536,0.6231742940603701,0.047493403693931395,0.05395721361576562,0.5526315789473685,0.75,0.36363636363636365,1.0,1.0,LogReg,fleet,112043,13814,8.56,A_volume_matched,CTT_Forester,FS-A,0,in_f0,112043,13814
125812,27607,0.2194305789590818,0.6884172416224511,0.5172021466217352,98229,0.039665574882341466,True,0.14326076719672548,0.999747219413549,1.018278091746856e-05,0.431891895321035,0.9241769824747057,0.996,0.5858880778588808,0.041165413533834586,0.0678010747023496,0.5789473684210527,0.6666666666666666,0.5,1.0,0.5,True,0.15257000036222698,0.9985775248933144,6.109668550481136e-05,0.41949727587316965,5.545061894848234,0.9976,0.5878345498783455,0.061654135338345864,0.0752818459593299,0.5789473684210527,0.6666666666666666,0.5,1.0,0.5,True,0.17651320317310826,0.9866369710467706,0.000672063540552925,0.3985244565222322,60.99568084333058,0.9984,0.5907542579075425,0.10751879699248121,0.09688125592666737,0.7631578947368421,0.8333333333333334,0.6818181818181818,1.0,1.0,True,0.17539029956170538,0.9875586375688354,0.0006211496359655822,0.39918883488648094,56.37479593095705,0.9984,0.5907542579075425,0.10545112781954888,0.0958276261721631,0.7631578947368421,0.8333333333333334,0.6818181818181818,1.0,1.0,True,0.222081356177781,0.8895821242019734,0.0077490962781935745,0.37747702148728446,703.298683663251,0.9984,0.5931873479318734,0.19266917293233082,0.13902644610683806,0.8421052631578947,0.9166666666666666,0.7727272727272727,1.0,1.0,RandomForest,fleet,112043,13814,167.66,A_volume_matched,CTT_Forester,FS-A,0,cross,112043,13814
62883,13793,0.21934386082088958,0.6857551938871158,0.5199976978262422,49115,0.039665574882341466,False,0.1460885956644675,1.0,0.0,0.43227692741233,0.0,0.9919871794871795,0.5803310613437196,0.04221635883905013,0.07250500579618506,0.5263157894736842,0.6666666666666666,0.4090909090909091,1.0,0.5,True,0.1600087000652505,0.9986425339366516,6.111224281931147e-05,0.41575144556055493,5.54647385805226,0.9951923076923077,0.5832521908471275,0.06747078778741047,0.08515122773738013,0.5789473684210527,0.6666666666666666,0.5,1.0,0.5,True,0.19198143986079896,0.9789279112754159,0.0011611326135669178,0.39424446093933413,105.38300330299293,0.9967948717948718,0.5851996105160662,0.1206181681115718,0.11645062704183792,0.7105263157894737,0.8333333333333334,0.6363636363636364,1.0,0.5,True,0.19009642572319294,0.9816548109322352,0.0009981666327154206,0.395314374454874,90.59240634818691,0.9967948717948718,0.5851996105160662,0.11722578213343385,0.11465907893350195,0.6842105263157895,0.8333333333333334,0.5909090909090909,1.0,0.5,True,0.2399767998259987,0.8604107096438783,0.010939091464656752,0.374279991625086,992.8188205913544,0.9967948717948718,0.5900681596884129,0.1967583867320015,0.1644008852355359,0.8421052631578947,0.9166666666666666,0.7727272727272727,1.0,1.0,RandomForest,fleet,112043,13814,159.54,A_volume_matched,CTT_Forester,FS-A,0,in_f0,112043,13814
125812,27607,0.2194305789590818,0.5614056672691925,0.37936915278593475,98229,0.039665574882341466,True,0.1217082623972181,0.9994051160023796,2.036556183493712e-05,0.848705541990059,1.8483539649494114,0.9944,0.5420924574209246,0.03571428571428571,0.04283004952059846,0.2894736842105263,0.4166666666666667,0.09090909090909091,1.0,1.0,True,0.1258014271742674,0.9991369390103567,3.054834275240568e-05,0.8165113118932547,2.772530947424117,0.9944,0.5532846715328467,0.04887218045112782,0.04388367927510273,0.34210526315789475,0.4166666666666667,0.18181818181818182,1.0,1.0,True,0.13721157677400658,0.9752832131822863,0.0009775469680769818,0.709255829207166,88.72099031757175,0.9952,0.5746958637469587,0.08834586466165413,0.04704456853861553,0.5263157894736842,0.5,0.45454545454545453,1.0,1.0,True,0.13674068171116022,0.9784862623120788,0.0008451708161498905,0.7142495390057509,76.70668954540058,0.9952,0.5742092457420924,0.0862781954887218,0.046991887050890316,0.5263157894736842,0.5,0.45454545454545453,1.0,1.0,True,0.1537291266707719,0.8393987341772152,0.008268418104984472,0.5597668528392434,750.4317097694612,0.9968,0.5927007299270073,0.14642857142857144,0.052734169212938574,0.6578947368421053,0.6666666666666666,0.5909090909090909,1.0,1.0,HistGB,fleet,112043,13814,84.69,A_volume_matched,CTT_Forester,FS-A,0,cross,112043,13814
62883,13793,0.21934386082088958,0.559522021888784,0.3779924689647566,49115,0.039665574882341466,False,0.1197708982817371,0.999395039322444,2.0370747606437155e-05,0.852286164307136,1.8488246193507534,0.9903846153846154,0.5238558909444986,0.0316622691292876,0.0434186953314364,0.2631578947368421,0.4166666666666667,0.09090909090909091,1.0,0.5,True,0.12564344232581745,0.9988472622478386,4.074149521287431e-05,0.8061270945669738,3.6976492387015067,0.9903846153846154,0.5413826679649465,0.04824726724462872,0.04542101380545895,0.34210526315789475,0.5,0.18181818181818182,1.0,0.5,True,0.13651852388892916,0.983289817232376,0.000651863923405989,0.7132831639917919,59.16238781922411,0.9903846153846154,0.563777994157741,0.0870712401055409,0.04795025819369796,0.47368421052631576,0.5,0.36363636363636365,1.0,1.0,True,0.13601102008265062,0.9852941176470589,0.0005703809329802404,0.717476306762611,51.767089341821084,0.9903846153846154,0.5628042843232717,0.08556351300414625,0.04773948782801138,0.47368421052631576,0.5,0.36363636363636365,1.0,1.0,True,0.15580366852751396,0.8106374952847982,0.010226115298431452,0.543925155912854,928.1099589140782,0.9935897435897436,0.5890944498539435,0.14926498303807012,0.055643376541258296,0.6052631578947368,0.5833333333333334,0.5454545454545454,1.0,1.0,HistGB,fleet,112043,13814,75.65,A_volume_matched,CTT_Forester,FS-A,0,in_f0,112043,13814
125812,27607,0.2194305789590818,0.5402866495430187,0.35978568664675337,98229,0.039665574882341466,True,0.11268881080885283,0.9996786632390745,1.018278091746856e-05,0.9045428037643433,0.9241769824747057,0.9936,0.448661800486618,0.03684210526315789,0.039563797281635234,0.2894736842105263,0.5,0.09090909090909091,1.0,0.5,True,0.11975223675154852,0.996984318455971,0.0001018278091746856,0.8764172196388245,9.241769824747058,0.9944,0.47980535279805353,0.05244360902255639,0.04203982720472026,0.34210526315789475,0.5833333333333334,0.09090909090909091,1.0,1.0,True,0.13304596660267323,0.9747876857749469,0.0009673641871595132,0.804631233215332,87.79681333509704,0.9952,0.524574209245742,0.09172932330827067,0.04546412390685913,0.42105263157894735,0.5833333333333334,0.22727272727272727,1.0,1.0,True,0.13268373963125293,0.9768,0.0008859019398197648,0.8081750273704529,80.4033974752994,0.9952,0.5231143552311436,0.09078947368421053,0.045358760931408705,0.42105263157894735,0.5833333333333334,0.22727272727272727,1.0,1.0,True,0.14608613757380376,0.8230612244897959,0.008828471055445241,0.6941489577293396,801.2614438055699,0.9952,0.5669099756690997,0.12631578947368421,0.05015277631440312,0.6578947368421053,0.8333333333333334,0.5,1.0,1.0,XGBoost,fleet,112043,13814,32.03,A_volume_matched,CTT_Forester,FS-A,0,cross,112043,13814
62883,13793,0.21934386082088958,0.5463724259150115,0.3638509458784468,49115,0.039665574882341466,False,0.11143333575001813,0.9993498049414824,2.0370747606437155e-05,0.8938936591148378,1.8488246193507534,0.9903846153846154,0.4196689386562804,0.03882397286091217,0.04057329539466751,0.2894736842105263,0.5,0.09090909090909091,1.0,0.5,True,0.11527586456898427,0.9987437185929648,4.074149521287431e-05,0.8812974095344543,3.6976492387015067,0.9903846153846154,0.44206426484907496,0.046362608367885416,0.04162714722310043,0.2894736842105263,0.5,0.09090909090909091,1.0,0.5,True,0.13129848473863553,0.9810400866738895,0.0007129761662253005,0.8068588376045227,64.70886167727637,0.9903846153846154,0.5024342745861733,0.09234828496042216,0.04552639898830224,0.3684210526315789,0.5,0.22727272727272727,1.0,0.5,True,0.13064597984484883,0.9825517993456925,0.000651863923405989,0.8101992011070251,59.16238781922411,0.9903846153846154,0.49951314508276534,0.09084055785902752,0.04531562862261566,0.3684210526315789,0.5,0.22727272727272727,1.0,0.5,True,0.14623359675197564,0.8314097279472382,0.008331635771032797,0.6921173334121704,756.1692693144581,0.9903846153846154,0.5540408958130477,0.1277798718431964,0.051744124776056485,0.5263157894736842,0.6666666666666666,0.4090909090909091,1.0,0.5,XGBoost,fleet,112043,13814,14.61,A_volume_matched,CTT_Forester,FS-A,0,in_f0,112043,13814
125812,27607,0.2194305789590818,0.5489569249168663,0.3761566748739859,98229,0.039665574882341466,True,0.11489839533451661,1.0,0.0,0.9215352180387256,0.0,0.992,0.5367396593673966,0.004135338345864661,0.04251396059424718,0.2894736842105263,0.4166666666666667,0.09090909090909091,1.0,1.0,True,0.12456985547143841,0.996234067207416,0.0001323761519270913,0.8365648799644982,12.014300772171175,0.9944,0.5635036496350365,0.029699248120300753,0.04635970919818776,0.3684210526315789,0.5833333333333334,0.13636363636363635,1.0,1.0,True,0.13554533270547325,0.9744791666666667,0.000997912529911919,0.7391314029517323,90.56934428252117,0.9952,0.5834549878345499,0.06729323308270677,0.04957327994942577,0.5,0.5833333333333334,0.36363636363636365,1.0,1.0,True,0.1349657695512008,0.9766710353866317,0.0009062675016547019,0.7457316838463622,82.25175144024882,0.9952,0.5829683698296837,0.06503759398496241,0.04941523548625013,0.47368421052631576,0.5833333333333334,0.3181818181818182,1.0,1.0,True,0.15622849277357193,0.8022693452380952,0.01082429611526908,0.555404182639461,982.4001323706121,0.996,0.5985401459854015,0.13233082706766916,0.05974080708039195,0.7105263157894737,0.75,0.6363636363636364,1.0,1.0,LightGBM,fleet,112043,13814,28.24,A_volume_matched,CTT_Forester,FS-A,0,cross,112043,13814
62883,13793,0.21934386082088958,0.5495625399304979,0.3753846718165785,49115,0.039665574882341466,False,0.11426085695642717,1.0,0.0,0.9153514243243842,0.0,0.9903846153846154,0.5219084712755598,0.0022615906520919715,0.04384023606280957,0.2631578947368421,0.4166666666666667,0.09090909090909091,1.0,0.5,True,0.12201841513811354,0.9964476021314387,0.00012222448563862294,0.8483733352849211,11.09294771610452,0.9903846153846154,0.5511197663096398,0.022615906520919715,0.04626409526820529,0.2894736842105263,0.5,0.09090909090909091,1.0,0.5,True,0.13753353150148626,0.9614799797263052,0.0015481768180892238,0.7200657173649262,140.51067107065725,0.9903846153846154,0.5813047711781889,0.07387862796833773,0.05121719886184003,0.4473684210526316,0.5833333333333334,0.2727272727272727,1.0,1.0,True,0.13564851736388023,0.9659266907589055,0.0013444693420248523,0.7314625160693576,122.02242487714973,0.9903846153846154,0.5793573515092503,0.06747078778741047,0.05047950258193698,0.42105263157894735,0.5,0.2727272727272727,1.0,1.0,True,0.15710867831508737,0.7894353369763206,0.011774292116520675,0.5550339221772556,1068.6206299847354,0.9919871794871795,0.5910418695228822,0.1296645307199397,0.06291495415744547,0.6052631578947368,0.5833333333333334,0.5454545454545454,1.0,1.0,LightGBM,fleet,112043,13814,33.48,A_volume_matched,CTT_Forester,FS-A,0,in_f0,112043,13814
