n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[fuzzing]@fa1,recall[masquerade]@fa1,recall[spoofing]@fa1,event_recall@fa1,event_recall[spoofing]@fa1,event_recall[masquerade]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[fuzzing]@fa10,recall[masquerade]@fa10,recall[spoofing]@fa10,event_recall@fa10,event_recall[spoofing]@fa10,event_recall[masquerade]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[fuzzing]@fa100,recall[masquerade]@fa100,recall[spoofing]@fa100,event_recall@fa100,event_recall[spoofing]@fa100,event_recall[masquerade]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[fuzzing]@fpr0.001,recall[masquerade]@fpr0.001,recall[spoofing]@fpr0.001,event_recall@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[masquerade]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[fuzzing]@fpr0.01,recall[masquerade]@fpr0.01,recall[spoofing]@fpr0.01,event_recall@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[masquerade]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
226048,23767,0.10514138590033975,0.7562870985505277,0.3825656922645574,202303,0.02842950277399512,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.1304750284007237,0.685303867403315,0.007039712083685566,0.9999872446060181,891.4318235790467,1.0,0.0072897682895079405,0.23127551445471967,0.8275862068965517,0.9230769230769231,0.6923076923076923,1.0,LogReg,fleet,150000,75000,2.69,C_feature_ablation,ROAD_ORNL,FS-B34,0
226048,23767,0.10514138590033975,0.7394297544852869,0.2552507080560549,202303,0.02842950277399512,True,8.415029242226617e-05,1.0,0.0,0.9533019340639771,0.0,0.008298755186721992,0.0,0.0,0.06896551724137931,0.0,0.0,0.6666666666666666,True,0.001556780409811924,0.7872340425531915,4.943618036296043e-05,0.9444631664237886,6.260054940864092,0.02074688796680498,8.678295582747549e-05,0.0025826876614179787,0.3793103448275862,0.5384615384615384,0.07692307692307693,1.0,True,0.007910127487693019,0.573170731707317,0.0006921065250814462,0.9377735753156634,87.64076917209731,0.029045643153526972,0.0007810466024472793,0.01432975089560943,0.5862068965517241,0.7692307692307693,0.3076923076923077,1.0,True,0.008962006142971346,0.5461538461538461,0.0008750203924243997,0.9367028076084942,110.80297245329443,0.029045643153526972,0.0009546125141022303,0.016245938515371157,0.6206896551724138,0.7692307692307693,0.38461538461538464,1.0,True,0.04994319855261497,0.36886264760720944,0.010040488231717265,0.9211106836125074,1271.417158489497,0.05394190871369295,0.010153605831814632,0.08806131800383238,0.8620689655172413,1.0,0.6923076923076923,1.0,RandomForest,fleet,150000,75000,153.89,C_feature_ablation,ROAD_ORNL,FS-B34,0
226048,23767,0.10514138590033975,0.7334697604468574,0.2965740917734265,202303,0.02842950277399512,True,0.0111919888921614,0.9925373134328358,9.887236072592087e-06,0.999956359106148,1.2520109881728183,0.991701244813278,0.0,0.0022494376405898524,0.4482758620689655,0.7692307692307693,0.0,1.0,True,0.01460007573526318,0.917989417989418,0.00015325215912517735,0.9999376103618988,19.406170316678686,0.991701244813278,0.0,0.00899775056235941,0.5172413793103449,0.9230769230769231,0.0,1.0,True,0.029957504102326754,0.688588007736944,0.001591845007687326,0.9998810606362238,201.57376909582376,1.0,0.0006074806907923284,0.03865700241606265,0.5862068965517241,0.9230769230769231,0.15384615384615385,1.0,True,0.032145411705305674,0.671353251318102,0.0018489131455747202,0.9998743765232267,234.12605478831705,1.0,0.0006942636466198039,0.04290594018162126,0.5862068965517241,0.9230769230769231,0.15384615384615385,1.0,True,0.10994235704969074,0.4556233653007847,0.015433975509316248,0.9995702719197229,1954.3891525377696,1.0,0.007723683068645318,0.1902024493876531,0.896551724137931,1.0,0.7692307692307693,1.0,HistGB,fleet,150000,75000,49.26,C_feature_ablation,ROAD_ORNL,FS-B34,0
226048,23767,0.10514138590033975,0.7497096373216102,0.3159437019991483,202303,0.02842950277399512,True,0.0019354567257121218,0.9387755102040817,1.4830854108888132e-05,0.9999923706054688,1.8780164822592278,0.12863070539419086,0.0,0.0012496875781054736,0.3103448275862069,0.46153846153846156,0.0,1.0,True,0.008667480119493415,0.8373983739837398,0.00019774472145184173,0.9999814033508301,25.040219763456367,0.23236514522821577,8.678295582747549e-05,0.012413563275847705,0.5172413793103449,0.8461538461538461,0.07692307692307693,1.0,True,0.028106197669036898,0.7091295116772823,0.001354551341945116,0.9999598264694214,171.52550537967613,0.3112033195020747,0.0008678295582747548,0.04857119053569941,0.6206896551724138,0.9230769230769231,0.23076923076923078,1.0,True,0.03189296082803888,0.6872166817769719,0.0017055482225221351,0.9999550580978394,215.9718954598112,0.3278008298755187,0.001041395469929706,0.05556944097309006,0.6551724137931034,0.9230769230769231,0.3076923076923077,1.0,True,0.12529978541675432,0.49394592801459614,0.01508297862873923,0.999806821346283,1909.9427624576344,0.7883817427385892,0.009893256964332206,0.22277763892360244,0.896551724137931,1.0,0.7692307692307693,1.0,XGBoost,fleet,150000,75000,16.83,C_feature_ablation,ROAD_ORNL,FS-B34,0
226048,23767,0.10514138590033975,0.7517789602847501,0.32234569305305955,202303,0.02842950277399512,True,0.004838641814280305,0.9913793103448276,4.943618036296043e-06,0.9999896719445915,0.6260054940864092,0.38589211618257263,8.678295582747549e-05,0.0017495626093476631,0.41379310344827586,0.6153846153846154,0.07692307692307693,1.0,True,0.010897462868683469,0.9217081850533808,0.00010875959679851296,0.999983594154834,13.772120869901002,0.6556016597510373,8.678295582747549e-05,0.008331250520703158,0.5517241379310345,0.9230769230769231,0.07692307692307693,1.0,True,0.032397862582572476,0.7623762376237624,0.0011864683287110506,0.9999691055804063,150.2413185807382,0.8796680497925311,0.0013017443374121322,0.045238690327418146,0.6551724137931034,0.9230769230769231,0.3076923076923077,1.0,True,0.0347119956241848,0.7405745062836625,0.0014287056124895566,0.9999670265484765,180.91558779097227,0.8921161825726142,0.0013017443374121322,0.04957094059818379,0.6551724137931034,0.9230769230769231,0.3076923076923077,1.0,True,0.12147094711154122,0.5026989378373672,0.014118973111661501,0.9998984118803171,1787.871691110785,0.9875518672199171,0.010327171743469582,0.2107806381737899,0.8620689655172413,1.0,0.6923076923076923,1.0,LightGBM,fleet,150000,75000,44.28,C_feature_ablation,ROAD_ORNL,FS-B34,0
226048,23767,0.10514138590033975,0.7361514160352799,0.2864757669827516,202303,0.02842950277399512,True,0.0,0.0,0.0003856022068310914,640625.0,48.82842853873992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0010332161695858731,437500.0,130.83514826405954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0026300047953094954,234375.0,333.0349228539697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0028623548430154093,214145.78869120305,362.4571810760309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.08213068540413178,0.4583235501291383,0.011404926809734973,93750.0,1444.1946748573462,0.03319502074688797,0.006248372819578235,0.1559610097475631,0.8275862068965517,0.9230769230769231,0.6923076923076923,1.0,Rule:Combined,fleet,150000,75000,0.59,C_feature_ablation,ROAD_ORNL,FS-B34,0
226048,23767,0.10514138590033975,0.7528153588031451,0.37018648274916055,202303,0.02842950277399512,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogReg,fleet,150000,75000,2.1,C_feature_ablation,ROAD_ORNL,FS-B,0
226048,23767,0.10514138590033975,0.7391655836535348,0.25275152835465464,202303,0.02842950277399512,True,4.2075146211133085e-05,1.0,0.0,0.9883301333333334,0.0,0.0,0.0,8.331250520703157e-05,0.034482758620689655,0.07692307692307693,0.0,0.0,True,0.0002524508772667985,0.25,8.898512465332879e-05,0.9850479616915948,11.268098893555367,0.0,0.0002603488674824265,0.00024993751562109475,0.13793103448275862,0.15384615384615385,0.15384615384615385,0.0,True,0.002103757310556654,0.24509803921568626,0.0007613171775895907,0.9797151190550242,96.40484608930701,0.004149377593360996,0.002082790939859412,0.0020828126301757894,0.5172413793103449,0.6153846153846154,0.46153846153846156,0.3333333333333333,True,0.002524508772667985,0.24,0.0009392874268962483,0.9786059135206467,118.94104387641777,0.008298755186721992,0.0021695738956868872,0.002749312671832042,0.5517241379310345,0.6153846153846154,0.5384615384615384,0.3333333333333333,True,0.0441368283754786,0.3411382113821138,0.010015770141535785,0.9516961543604663,1268.287131019065,0.029045643153526972,0.01188926494836414,0.07539781721236358,0.896551724137931,1.0,0.7692307692307693,1.0,RandomForest,fleet,150000,75000,176.55,C_feature_ablation,ROAD_ORNL,FS-B,0
226048,23767,0.10514138590033975,0.7377061191146198,0.29061344259640576,202303,0.02842950277399512,True,0.010182185383094206,0.9958847736625515,4.943618036296043e-06,0.9999377978222822,0.6260054940864092,0.975103734439834,8.678295582747549e-05,0.0004998750312421895,0.2413793103448276,0.23076923076923078,0.07692307692307693,1.0,True,0.013590272226195986,0.9176136363636364,0.00014336492305258526,0.9998060805650991,18.154159328505866,0.991701244813278,8.678295582747549e-05,0.0069149379321836206,0.4827586206896552,0.7692307692307693,0.07692307692307693,1.0,True,0.018470989186687423,0.6157082748948106,0.001354551341945116,0.9997492230690497,171.52550537967613,0.991701244813278,0.0009546125141022303,0.015746063484128967,0.6206896551724138,0.8461538461538461,0.3076923076923077,1.0,True,0.01981739386544368,0.593198992443325,0.001596788625723622,0.999742412585721,202.1997745899102,0.991701244813278,0.0012149613815846567,0.018162126135132885,0.7241379310344828,1.0,0.38461538461538464,1.0,True,0.08200445996549838,0.42835164835164835,0.01285835051240601,0.9995285979338121,1628.2402901187504,1.0,0.010413954699297057,0.13230025826876615,0.8620689655172413,1.0,0.6923076923076923,1.0,HistGB,fleet,150000,75000,43.91,C_feature_ablation,ROAD_ORNL,FS-B,0
226048,23767,0.10514138590033975,0.7505232833835654,0.31498542612997027,202303,0.02842950277399512,True,0.0013464046787562587,1.0,0.0,0.9999972581863403,0.0,0.07053941908713693,0.0,0.0012496875781054736,0.3103448275862069,0.46153846153846156,0.0,1.0,True,0.005806370177136365,0.8466257668711656,0.0001235904509074011,0.9999954700469971,15.650137352160232,0.12033195020746888,0.00017356591165495098,0.008914438057152379,0.5172413793103449,0.7692307692307693,0.15384615384615385,1.0,True,0.021963226322211468,0.7044534412955465,0.0010826523499488335,0.9999910593032837,137.09520320492362,0.1825726141078838,0.0011281784257571813,0.03874031492126968,0.6896551724137931,0.9230769230769231,0.38461538461538464,1.0,True,0.024740185972146254,0.6869158878504673,0.0013248896337273396,0.9999904632568359,167.76947241515768,0.1908713692946058,0.0014753102490670832,0.04373906523369158,0.7241379310344828,0.9230769230769231,0.46153846153846156,1.0,True,0.11924096436235115,0.4990315196337383,0.014064593313262245,0.9999634027481079,1780.9856306758343,0.6016597510373444,0.013711707020741126,0.2108639506789969,0.9310344827586207,1.0,0.8461538461538461,1.0,XGBoost,fleet,150000,75000,33.9,C_feature_ablation,ROAD_ORNL,FS-B,0
