n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
125812,27607,0.2194305789590818,0.9909851442550885,0.9735525921833864,98229,0.039665574882341466,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.9692469301264172,0.9780685722640544,0.006109668550481137,0.9535241723060608,554.5061894848235,1.0,0.9990267639902677,0.8721804511278195,0.9912021915498894,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.74,C_feature_ablation,CTT_Forester,FS-B34,0
125812,27607,0.2194305789590818,0.9996684191159962,0.9994451164227777,98229,0.039665574882341466,True,0.796573332850364,0.9998635991634082,3.054834275240568e-05,0.8539029504509595,2.772530947424117,0.9976,0.9017031630170317,0.7821428571428571,0.7759983141923928,1.0,1.0,1.0,1.0,1.0,True,0.9203825116818198,0.999449317547103,0.00014255893284455986,0.7816936702431708,12.93847775464588,1.0,0.9635036496350365,0.8695488721804512,0.9247181540406701,1.0,1.0,1.0,1.0,1.0,True,0.9973919658057739,0.9959849526152066,0.0011302886818390103,0.4380852599211298,102.58364505469234,1.0,1.0,0.9864661654135338,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9972470750172058,0.996272707534197,0.0010488264344992618,0.46651712892229036,95.1902291948947,1.0,1.0,0.9857142857142858,1.0,1.0,1.0,1.0,1.0,1.0,True,0.998695982902887,0.9833791061811178,0.004745175907540349,0.14386085107613786,430.66647383321293,1.0,1.0,0.9932330827067669,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,138.33,C_feature_ablation,CTT_Forester,FS-B34,0
125812,27607,0.2194305789590818,0.9997493269851088,0.9995945979701599,98229,0.039665574882341466,True,0.7817582497192741,1.0,0.0,0.997222239149816,0.0,0.9976,1.0,0.6526315789473685,0.7801074702349594,0.9473684210526315,1.0,0.9090909090909091,1.0,1.0,True,0.9307422030644402,0.9995720843382868,0.00011201059009215417,0.9865672496042894,10.165946807221763,0.9992,1.0,0.7849624060150376,0.9595932989147613,1.0,1.0,1.0,1.0,1.0,True,0.9965226210743652,0.9965226210743652,0.0009775469680769818,0.41597891975206863,88.72099031757175,1.0,1.0,0.9823308270676692,0.9998946370245496,1.0,1.0,1.0,1.0,1.0,True,0.996232839497229,0.9966660626925168,0.0009368158444071076,0.44708768554424033,85.02428238767294,1.0,1.0,0.9808270676691729,0.9998946370245496,1.0,1.0,1.0,1.0,1.0,True,0.9993479914514435,0.9755312754145893,0.007046484394888244,0.01381907827598074,639.5304718724964,1.0,1.0,0.9966165413533835,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,150000,75000,96.49,C_feature_ablation,CTT_Forester,FS-B34,0
125812,27607,0.2194305789590818,0.9998269117200641,0.9996750177481857,98229,0.039665574882341466,True,0.8900278914767994,0.9997965494791666,5.09139045873428e-05,0.9933318495750427,4.620884912373529,0.9256,1.0,0.718796992481203,0.9237698872616162,1.0,1.0,1.0,1.0,1.0,True,0.9455935088926721,0.9995405291572539,0.00012219337100962272,0.9841769933700562,11.090123789696468,0.9928,1.0,0.8342105263157895,0.9678116109998947,1.0,1.0,1.0,1.0,1.0,True,0.9973557431086318,0.9963091619626574,0.0010386436535817932,0.19982057809829712,94.26605221241999,1.0,1.0,0.9862781954887218,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9969935161372115,0.9966325089618713,0.0009469986253245762,0.2451825737953186,85.94845937014765,1.0,1.0,0.9843984962406015,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9993479914514435,0.9718200711543203,0.008146224733974848,0.005581301171332598,739.3415859797645,1.0,1.0,0.9966165413533835,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,150000,75000,83.26,C_feature_ablation,CTT_Forester,FS-B34,0
125812,27607,0.2194305789590818,0.9997962267192059,0.9996399242889451,98229,0.039665574882341466,True,0.8838700329626544,0.9997541688859753,6.109668550481136e-05,0.9954150808029054,5.545061894848234,0.9976,1.0,0.6753759398496241,0.9222421241175851,1.0,1.0,1.0,1.0,1.0,True,0.9406672220813562,0.9992688933353856,0.00019347283743190267,0.9868322207368468,17.55936266701941,0.9992,1.0,0.7770676691729324,0.9762406490359288,1.0,1.0,1.0,1.0,1.0,True,0.9967761799543594,0.9964152514755404,0.0010080953108293875,0.3073887131552973,91.49352126499588,1.0,1.0,0.9832706766917293,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9960155033143768,0.9967014644048137,0.0009266330634896391,0.3869958648985567,84.10010540519822,1.0,1.0,0.9793233082706767,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9993842141485855,0.9767063154913622,0.006700269843694313,0.00564877676499402,608.1084544683564,1.0,1.0,0.9968045112781955,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,fleet,150000,75000,45.82,C_feature_ablation,CTT_Forester,FS-B34,0
125812,27607,0.2194305789590818,0.96614977001409,0.941426125936033,98229,0.039665574882341466,True,0.14594124678523562,1.0,0.0,46591.887574451735,0.0,0.3608,0.991727493917275,0.0,0.08112949109682857,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.14735393197377478,0.9990176817288802,4.073112366987424e-05,45.00705404441029,3.696707929898823,0.3608,1.0,0.0,0.08228848382678326,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.14735393197377478,0.9878581835842642,0.000509139045873428,42.74808552685752,46.208849123735284,0.3608,1.0,0.0,0.08228848382678326,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.14735393197377478,0.9880981297060967,0.0004989562649559595,42.81761040814646,45.284672141260586,0.3608,1.0,0.0,0.08228848382678326,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.7401021480059405,0.9456632416921226,0.01195458479710809,2.1391422207513564,1084.9837774253047,1.0,1.0,0.8281954887218045,0.6701612053524392,0.9473684210526315,1.0,0.9090909090909091,1.0,1.0,Rule:Combined,fleet,150000,75000,0.41,C_feature_ablation,CTT_Forester,FS-B34,0
125812,27607,0.2194305789590818,0.9910202530319072,0.9734310556272667,98229,0.039665574882341466,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.9691020393378491,0.9776364832273624,0.006231861921490759,0.9497330188751221,565.59631327452,1.0,0.9995133819951338,0.8706766917293233,0.991360236013065,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.25,C_feature_ablation,CTT_Forester,FS-B,0
125812,27607,0.2194305789590818,0.9996313862446853,0.9994175265536178,98229,0.039665574882341466,True,0.769152751113848,0.9997645840199633,5.09139045873428e-05,0.8630069253724351,4.620884912373529,0.9976,0.9090024330900244,0.780827067669173,0.7356969760826045,1.0,1.0,1.0,1.0,1.0,True,0.8736914550657442,0.9994199055274716,0.00014255893284455986,0.8203577181437391,12.93847775464588,1.0,0.9586374695863747,0.8404135338345865,0.8655041618375303,1.0,1.0,1.0,1.0,1.0,True,0.9968124026515014,0.996523628462792,0.0009775469680769818,0.5030326124187691,88.72099031757175,1.0,1.0,0.9834586466165414,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9967037345600753,0.9966676325702695,0.0009368158444071076,0.506808286177995,85.02428238767294,1.0,1.0,0.9828947368421053,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9986597602057449,0.984467059453669,0.004429509699098824,0.13968628532996866,402.016987376497,1.0,1.0,0.9930451127819548,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,159.36,C_feature_ablation,CTT_Forester,FS-B,0
125812,27607,0.2194305789590818,0.9998297730567891,0.9996436747376951,98229,0.039665574882341466,True,0.8777483971456514,0.9998762120899526,3.054834275240568e-05,0.9931138036197793,2.772530947424117,0.9976,1.0,0.7003759398496241,0.9063323148245707,1.0,1.0,1.0,1.0,1.0,True,0.9341109138986489,0.9994186722474131,0.0001527417137620284,0.9837651343155059,13.862654737120586,0.9984,1.0,0.799812030075188,0.9603835212306395,1.0,1.0,1.0,1.0,1.0,True,0.9959792806172347,0.9965568482476169,0.0009673641871595132,0.408583736534876,87.79681333509704,1.0,1.0,0.9791353383458646,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9949650450972579,0.996842678279804,0.0008859019398197648,0.49253521833758285,80.4033974752994,1.0,1.0,0.9738721804511278,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9993479914514435,0.9766017699115044,0.006730818186446719,0.00230130468763664,610.8809854157805,1.0,1.0,0.9966165413533835,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,150000,75000,70.62,C_feature_ablation,CTT_Forester,FS-B,0
125812,27607,0.2194305789590818,0.9998186190996426,0.9996616844598186,98229,0.039665574882341466,True,0.8766979389285326,0.9997934567085262,5.09139045873428e-05,0.9976258873939514,4.620884912373529,0.6568,0.9931873479318735,0.7287593984962406,0.9200295016331261,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9445068279784112,0.9995783178716553,0.00011201059009215417,0.9922798871994019,10.165946807221763,0.9216,1.0,0.8360902255639098,0.9703930038984301,1.0,1.0,1.0,1.0,1.0,True,0.9973919658057739,0.9962372010564782,0.0010590092154167303,0.31128764152526855,96.1144061773694,1.0,1.0,0.9864661654135338,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9969210707429276,0.996560089799761,0.0009673641871595132,0.40097150206565857,87.79681333509704,1.0,1.0,0.9840225563909775,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9994204368457276,0.9719589953147567,0.008105493610304975,0.0032485087867826223,735.6448780498658,1.0,1.0,0.9969924812030075,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,150000,75000,34.46,C_feature_ablation,CTT_Forester,FS-B,0
125812,27607,0.2194305789590818,0.9997631248432086,0.9996247635943011,98229,0.039665574882341466,True,0.8517405005976745,0.9998724327082537,3.054834275240568e-05,0.9979787049002289,2.772530947424117,0.9976,0.9995133819951338,0.6830827067669173,0.8734063849963123,1.0,1.0,1.0,1.0,1.0,True,0.9270474879559532,0.9993752196493421,0.00016292449467949696,0.9942350556808763,14.786831719595291,0.9984,1.0,0.7571428571428571,0.9620693288378463,1.0,1.0,1.0,1.0,1.0,True,0.9964501756800811,0.9965223691360261,0.0009775469680769818,0.3952615514351105,88.72099031757175,1.0,1.0,0.9815789473684211,1.0,1.0,1.0,1.0,1.0,1.0,True,0.996196616800087,0.9965937092332222,0.0009571814062420447,0.4283468130599842,86.87263635262234,1.0,1.0,0.9802631578947368,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9993842141485855,0.973776162072495,0.007565806221679141,0.002171182202320373,686.6634979787065,1.0,1.0,0.9968045112781955,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,fleet,150000,75000,57.27,C_feature_ablation,CTT_Forester,FS-B,0
