n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
9085,864,0.09510181618051734,0.8603719809701442,0.7886370308657956,8224,0.0455447607482506,False,0.7256944444444444,0.9843014128728415,0.001216397031991242,0.5596486926078797,96.14781685589757,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9843014128728415,0.001216397031991242,0.5596486926078796,96.14781685589757,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9736024844720497,0.0020678749543851112,0.45352643728256226,163.45128865502588,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9766355140186916,0.001824595547986863,0.47183042764663696,144.22172528384638,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7326388888888888,0.8940677966101694,0.009122977739934314,0.30216139554977417,721.1086264192319,0.0,1.0,0.0,0.6666666666666666,0.02358490566037736,0.5,0.0,1.0,0.0,1.0,1.0,LogReg,fleet,8657,433,0.62,A_volume_matched,CIDv2_RenaultClio,FS-A,0,cross,8657,433
4540,431,0.09493392070484581,0.86325416619847,0.7914781623010256,4112,0.0455447607482506,False,0.7262180974477959,1.0,0.0,0.8605698943138124,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.7262180974477959,1.0,0.0,0.8605698943138124,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9936507936507937,0.0004867364322219518,0.6162853240966797,38.473166335961736,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9936507936507937,0.0004867364322219518,0.6162853240966797,38.473166335961736,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7331786542923434,0.8586956521739131,0.012655147237770748,0.2943345010280609,1000.3023247350053,0.0,1.0,0.0,1.0,0.018867924528301886,0.5,0.0,1.0,0.0,1.0,1.0,LogReg,fleet,8657,433,0.62,A_volume_matched,CIDv2_RenaultClio,FS-A,0,in_f0,8657,433
9085,864,0.09510181618051734,0.8421927583830029,0.7774349487083866,8224,0.0455447607482506,False,0.7245370370370371,0.9984051036682615,0.0001216397031991242,0.24801232156635264,9.614781685589758,0.0,0.9984025559105432,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7245370370370371,0.9984051036682615,0.0001216397031991242,0.2480123215663526,9.614781685589758,0.0,0.9984025559105432,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9874015748031496,0.0009731176255929935,0.23566486344408213,76.91825348471806,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.990521327014218,0.0007298382191947452,0.2368771656101987,57.68869011353854,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.920704845814978,0.006568543972752706,0.22239817444534016,519.1982110218469,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,RandomForest,fleet,8657,433,15.27,A_volume_matched,CIDv2_RenaultClio,FS-A,0,cross,8657,433
4540,431,0.09493392070484581,0.8461156230536895,0.7770552519456259,4112,0.0455447607482506,False,0.7262180974477959,1.0,0.0,0.2498461306597529,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.7262180974477959,1.0,0.0,0.2498461306597529,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9873817034700315,0.0009734728644439036,0.23572743706537333,76.94633267192347,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9873817034700315,0.0009734728644439036,0.23572743706537333,76.94633267192347,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9343283582089552,0.00535410075444147,0.22172673385031472,423.2048296955791,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,RandomForest,fleet,8657,433,11.21,A_volume_matched,CIDv2_RenaultClio,FS-A,0,in_f0,8657,433
9085,864,0.09510181618051734,0.8706235048453148,0.8012203098116341,8224,0.0455447607482506,False,0.7233796296296297,1.0,0.0,0.7703389166705182,0.0,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7233796296296297,1.0,0.0,0.7703389166705181,0.0,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7233796296296297,0.9796238244514106,0.0015813161415886145,0.5037077386558952,124.99216191266684,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7233796296296297,0.9952229299363057,0.0003649191095973726,0.5262232278615524,28.84434505676927,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7418981481481481,0.7488317757009346,0.0261525361878117,0.20886831463407604,2067.178062401798,0.1,1.0,0.0,0.0,0.0660377358490566,0.5,1.0,1.0,0.0,0.0,1.0,HistGB,fleet,8657,433,32.5,A_volume_matched,CIDv2_RenaultClio,FS-A,0,cross,8657,433
4540,431,0.09493392070484581,0.9123117778358749,0.8263944978338903,4112,0.0455447607482506,False,0.7262180974477959,1.0,0.0,0.6459089780955728,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.7262180974477959,1.0,0.0,0.6459089780955728,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9968152866242038,0.0002433682161109759,0.5200049661475772,19.236583167980868,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9968152866242038,0.0002433682161109759,0.5204155620608942,19.236583167980868,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7447795823665894,0.8966480446927374,0.009004623996106109,0.3396554356177396,711.7535772152922,0.0,1.0,0.0,0.0,0.07547169811320754,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,HistGB,fleet,8657,433,54.98,A_volume_matched,CIDv2_RenaultClio,FS-A,0,in_f0,8657,433
9085,864,0.09510181618051734,0.8298784278744138,0.769551683947437,8224,0.0455447607482506,False,0.7233796296296297,0.9968102073365231,0.0002432794063982484,0.675064504146576,19.229563371179516,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7233796296296297,0.9968102073365231,0.0002432794063982484,0.6750645041465759,19.229563371179516,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7233796296296297,0.9765625,0.001824595547986863,0.5825104117393494,144.22172528384638,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7233796296296297,0.9780907668231612,0.0017029558447877388,0.5934178233146667,134.6069435982566,0.0,0.9984025559105432,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7256944444444444,0.8007662835249042,0.018975793699063374,0.47376155853271484,1499.9059429520023,0.0,0.9984025559105432,0.07692307692307693,0.0,0.0047169811320754715,0.5,0.0,1.0,0.5,0.0,1.0,XGBoost,fleet,8657,433,8.07,A_volume_matched,CIDv2_RenaultClio,FS-A,0,cross,8657,433
4540,431,0.09493392070484581,0.8478959942495083,0.7757677911950269,4112,0.0455447607482506,False,0.7262180974477959,1.0,0.0,0.7302202582359315,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.7262180974477959,1.0,0.0,0.7302202582359315,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9811912225705329,0.0014602092966658554,0.6147425770759583,115.41949900788521,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9811912225705329,0.0014602092966658554,0.6147425770759583,115.41949900788521,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7262180974477959,0.9125364431486881,0.007301046483329277,0.5258165597915649,577.0974950394261,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,XGBoost,fleet,8657,433,5.82,A_volume_matched,CIDv2_RenaultClio,FS-A,0,in_f0,8657,433
9085,864,0.09510181618051734,0.8872404174944925,0.812155013928869,8224,0.0455447607482506,False,0.7256944444444444,0.9889589905362776,0.0008514779223938694,0.301443667400013,67.3034717991283,0.0,0.9984025559105432,0.0,0.0,0.009433962264150943,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.7256944444444444,0.9889589905362776,0.0008514779223938694,0.30144366740001294,67.3034717991283,0.0,0.9984025559105432,0.0,0.0,0.009433962264150943,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.7314814814814815,0.9446935724962631,0.004500669018367595,0.24151620799091647,355.7469223668211,0.1,0.9984025559105432,0.0,0.0,0.02830188679245283,0.5,1.0,1.0,0.0,0.0,1.0,True,0.7303240740740741,0.956060606060606,0.0035275513927746018,0.24889114061062617,278.828668882103,0.1,0.9984025559105432,0.0,0.0,0.02358490566037736,0.5,1.0,1.0,0.0,0.0,1.0,True,0.7442129629629629,0.8630872483221477,0.012407249726310668,0.1605066758796635,980.7077319301553,0.1,0.9984025559105432,0.0,0.0,0.08018867924528301,0.5,1.0,1.0,0.0,0.0,1.0,LightGBM,fleet,8657,433,14.14,A_volume_matched,CIDv2_RenaultClio,FS-A,0,cross,8657,433
4540,431,0.09493392070484581,0.9279116240226452,0.8418371425214126,4112,0.0455447607482506,False,0.7262180974477959,1.0,0.0,0.4355560798692504,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.7262180974477959,1.0,0.0,0.4355560798692504,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.728538283062645,1.0,0.0,0.3187588338557355,0.0,0.0,1.0,0.0,0.0,0.009433962264150943,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.728538283062645,1.0,0.0,0.3187588338557355,0.0,0.0,1.0,0.0,0.0,0.009433962264150943,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.7424593967517401,0.9523809523809523,0.0038938914577756143,0.1878574022821476,307.7853306876939,0.2,1.0,0.0,0.0,0.05660377358490566,0.5,1.0,1.0,0.0,0.0,1.0,LightGBM,fleet,8657,433,11.96,A_volume_matched,CIDv2_RenaultClio,FS-A,0,in_f0,8657,433
