n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
5994,1058,0.17650984317650983,0.9240961050022518,0.8943502106722849,4940,0.05043064462733162,False,0.5916824196597353,1.0,0.0,9.84379767032806e-07,0.0,0.0,0.9968102073365231,0.0,0.0028089887640449437,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.5916824196597353,1.0,0.0,9.84379767032806e-07,0.0,0.0,0.9968102073365231,0.0,0.0028089887640449437,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6049149338374291,0.9922480620155039,0.001012965964343598,1.52441529621683e-07,72.31074475816997,0.0,0.9968102073365231,0.0,0.042134831460674156,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6011342155009451,0.99375,0.0008103727714748784,1.780711613719177e-07,57.848595806535975,0.0,0.9968102073365231,0.0,0.03089887640449438,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7164461247637051,0.9381188118811881,0.01012965964343598,1.9199289269522524e-08,723.1074475816997,0.0,0.9968102073365231,0.0,0.37359550561797755,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,LogReg,fleet,5470,530,0.48,A_volume_matched,CIDv2_Prototype,FS-A,0,cross,5470,530
2994,528,0.17635270541082165,0.9307514008700141,0.9119682699312679,2470,0.05043064462733162,False,0.5946969696969697,1.0,0.0,4.140407838804095e-07,0.0,0.0,0.9968051118210862,0.0,0.011235955056179775,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.5946969696969697,1.0,0.0,4.140407838804095e-07,0.0,0.0,0.9968051118210862,0.0,0.011235955056179775,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.5965909090909091,1.0,0.0,2.9706882287428016e-07,0.0,0.0,0.9968051118210862,0.0,0.016853932584269662,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.5946969696969697,1.0,0.0,3.631279241744778e-07,0.0,0.0,0.9968051118210862,0.0,0.011235955056179775,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7746212121212122,0.9423963133640553,0.01013787510137875,1.970067664558428e-08,723.6939094207764,0.0,0.9968051118210862,0.0,0.5449438202247191,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,LogReg,fleet,5470,530,0.42,A_volume_matched,CIDv2_Prototype,FS-A,0,in_f0,5470,530
5994,1058,0.17650984317650983,0.9368329552104364,0.9204283700920395,4940,0.05043064462733162,False,0.8525519848771267,0.9955849889624724,0.0008103727714748784,0.3172706384637908,57.848595806535975,0.0,0.9984051036682615,0.0,0.7752808988764045,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.8525519848771267,0.9955849889624724,0.0008103727714748784,0.3172706384637908,57.848595806535975,0.0,0.9984051036682615,0.0,0.7752808988764045,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8610586011342155,0.9945414847161572,0.001012965964343598,0.3084872213127404,72.31074475816997,0.0,0.9984051036682615,0.0,0.800561797752809,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8601134215500945,0.994535519125683,0.001012965964343598,0.3106005896389727,72.31074475816997,0.0,0.9984051036682615,0.0,0.797752808988764,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8676748582230623,0.9592476489028213,0.007901134521880064,0.29586075045971466,564.0238091137257,0.0,0.9984051036682615,0.0,0.8202247191011236,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,RandomForest,fleet,5470,530,10.85,A_volume_matched,CIDv2_Prototype,FS-A,0,cross,5470,530
2994,528,0.17635270541082165,0.9548534309027009,0.9402455916822687,2470,0.05043064462733162,False,0.8787878787878788,1.0,0.0,0.3222748625259033,0.0,0.0,1.0,0.0,0.848314606741573,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.8787878787878788,1.0,0.0,0.3222748625259033,0.0,0.0,1.0,0.0,0.848314606741573,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8958333333333334,0.9936974789915967,0.0012165450121654502,0.30821169166580153,86.84326913049318,0.0,1.0,0.0,0.898876404494382,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8806818181818182,1.0,0.0,0.31940820009062565,0.0,0.0,1.0,0.0,0.8539325842696629,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9053030303030303,0.9484126984126984,0.010543390105433901,0.29375463904623333,752.6416657976077,0.0,1.0,0.0,0.9269662921348315,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,RandomForest,fleet,5470,530,8.73,A_volume_matched,CIDv2_Prototype,FS-A,0,in_f0,5470,530
5994,1058,0.17650984317650983,0.9263554595227227,0.9103061704124226,4940,0.05043064462733162,False,0.8081285444234405,0.9988317757009346,0.0002025931928687196,0.08278152836242506,14.462148951633994,0.0,0.9968102073365231,0.0,0.6460674157303371,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.8081285444234405,0.9988317757009346,0.0002025931928687196,0.08278152836242506,14.462148951633994,0.0,0.9968102073365231,0.0,0.6460674157303371,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8223062381852552,0.9942857142857143,0.001012965964343598,0.05940127177287204,72.31074475816997,0.0,0.9968102073365231,0.0,0.6882022471910112,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8185255198487713,0.9954022988505747,0.0008103727714748784,0.06582069846882041,57.848595806535975,0.0,0.9968102073365231,0.0,0.6769662921348315,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8402646502835539,0.961081081081081,0.007293354943273906,0.042606822486090726,520.6373622588238,0.0,0.9968102073365231,0.0,0.7415730337078652,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,HistGB,fleet,5470,530,21.51,A_volume_matched,CIDv2_Prototype,FS-A,0,cross,5470,530
2994,528,0.17635270541082165,0.9414660596229939,0.9265823030809323,2470,0.05043064462733162,False,0.8371212121212122,0.9954954954954955,0.0008110300081103001,0.08068516911916634,57.895512753662125,0.0,0.9968051118210862,0.0,0.7303370786516854,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.8371212121212122,0.9954954954954955,0.0008110300081103001,0.08068516911916634,57.895512753662125,0.0,0.9968051118210862,0.0,0.7303370786516854,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8390151515151515,0.9955056179775281,0.0008110300081103001,0.07260550609430785,57.895512753662125,0.0,0.9968051118210862,0.0,0.7359550561797753,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8390151515151515,0.9955056179775281,0.0008110300081103001,0.07260550609430785,57.895512753662125,0.0,0.9968051118210862,0.0,0.7359550561797753,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.875,0.9486652977412731,0.01013787510137875,0.03922672097253371,723.6939094207764,0.0,0.9968051118210862,0.0,0.8426966292134831,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,HistGB,fleet,5470,530,21.99,A_volume_matched,CIDv2_Prototype,FS-A,0,in_f0,5470,530
5994,1058,0.17650984317650983,0.9356180662575484,0.9341477411579748,4940,0.05043064462733162,False,0.8761814744801513,0.9989224137931034,0.0002025931928687196,0.07233708351850511,14.462148951633994,0.0,0.9968102073365231,0.0,0.848314606741573,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.8761814744801513,0.9989224137931034,0.0002025931928687196,0.07233708351850511,14.462148951633994,0.0,0.9968102073365231,0.0,0.848314606741573,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8998109640831758,0.9916666666666667,0.0016207455429497568,0.05392951890826225,115.69719161307195,0.0,0.9968102073365231,0.0,0.9185393258426966,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8818525519848771,0.9978609625668449,0.0004051863857374392,0.06602456420660019,28.924297903267988,0.0,0.9968102073365231,0.0,0.8651685393258427,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9111531190926276,0.9582504970178927,0.008508914100486223,0.037704210728406906,607.4102559686278,0.0,0.9968102073365231,0.0,0.952247191011236,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,XGBoost,fleet,5470,530,9.8,A_volume_matched,CIDv2_Prototype,FS-A,0,cross,5470,530
2994,528,0.17635270541082165,0.9417982286367322,0.9393244675014616,2470,0.05043064462733162,False,0.9034090909090909,0.9916839916839917,0.0016220600162206002,0.05994224920868874,115.79102550732425,0.0,0.9968051118210862,0.0,0.9269662921348315,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.9034090909090909,0.9916839916839917,0.0016220600162206002,0.05994224920868874,115.79102550732425,0.0,0.9968051118210862,0.0,0.9269662921348315,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9090909090909091,0.9917355371900827,0.0016220600162206002,0.055363982915878296,115.79102550732425,0.0,0.9968051118210862,0.0,0.9438202247191011,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9071969696969697,0.9917184265010351,0.0016220600162206002,0.0573410838842392,115.79102550732425,0.0,0.9968051118210862,0.0,0.9382022471910112,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9166666666666666,0.9603174603174603,0.008110300081103,0.03711388632655144,578.9551275366211,0.0,0.9968051118210862,0.0,0.9662921348314607,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,XGBoost,fleet,5470,530,24.3,A_volume_matched,CIDv2_Prototype,FS-A,0,in_f0,5470,530
5994,1058,0.17650984317650983,0.9302677293937063,0.9083235333191899,4940,0.05043064462733162,False,0.7731568998109641,0.9975609756097561,0.0004051863857374392,0.32503579614225653,28.924297903267988,0.0,0.9968102073365231,0.0,0.5421348314606742,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.7731568998109641,0.9975609756097561,0.0004051863857374392,0.32503579614225653,28.924297903267988,0.0,0.9968102073365231,0.0,0.5421348314606742,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.781663516068053,0.9951865222623345,0.0008103727714748784,0.30194582056182906,57.848595806535975,0.0,0.9968102073365231,0.0,0.5674157303370787,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.77882797731569,0.9963724304715841,0.0006077795786061589,0.3128302308392278,43.386446854902,0.0,0.9968102073365231,0.0,0.5589887640449438,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8478260869565217,0.9593582887700535,0.007698541329011345,0.19291313172518218,549.5616601620918,0.0,0.9968102073365231,0.0,0.7640449438202247,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,LightGBM,fleet,5470,530,35.66,A_volume_matched,CIDv2_Prototype,FS-A,0,cross,5470,530
2994,528,0.17635270541082165,0.9444310040797267,0.9241641241645069,2470,0.05043064462733162,False,0.8143939393939394,0.9976798143851509,0.00040551500405515005,0.3314552474689011,28.947756376831062,0.0,0.9968051118210862,0.0,0.6629213483146067,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.8143939393939394,0.9976798143851509,0.00040551500405515005,0.3314552474689011,28.947756376831062,0.0,0.9968051118210862,0.0,0.6629213483146067,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8257575757575758,0.9954337899543378,0.0008110300081103001,0.29422961603579617,57.895512753662125,0.0,0.9968051118210862,0.0,0.6966292134831461,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.821969696969697,0.9954128440366973,0.0008110300081103001,0.3123420968882052,57.895512753662125,0.0,0.9968051118210862,0.0,0.6853932584269663,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.8768939393939394,0.9278557114228457,0.014598540145985401,0.1875513478267478,1042.1192295659182,0.0,0.9968051118210862,0.0,0.848314606741573,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,LightGBM,fleet,5470,530,10.14,A_volume_matched,CIDv2_Prototype,FS-A,0,in_f0,5470,530
