n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
9085,864,0.09510181618051734,0.8409089245248168,0.7873017586046919,8224,0.0455447607482506,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7280092592592593,1.0,0.0,1.0,0.0,0.0,0.9984025559105432,0.23076923076923078,0.3333333333333333,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7303240740740741,0.9692780337941628,0.002432794063982484,0.9997949004173279,192.29563371179515,0.0,1.0,0.23076923076923078,0.6666666666666666,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7303240740740741,0.9692780337941628,0.002432794063982484,0.9997949004173279,192.29563371179515,0.0,1.0,0.23076923076923078,0.6666666666666666,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7476851851851852,0.7755102040816326,0.022746624498236223,0.8713387250900269,1797.9641752052844,0.7,1.0,0.7692307692307693,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,LogReg,fleet,150000,75000,1.93,C_feature_ablation,CIDv2_RenaultClio,FS-B34,0
9085,864,0.09510181618051734,0.9054439961796124,0.8136317318790341,8224,0.0455447607482506,False,0.7233796296296297,0.9968102073365231,0.0002432794063982484,0.9503021778261557,19.229563371179516,0.0,0.9968051118210862,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7233796296296297,0.9968102073365231,0.0002432794063982484,0.9503021778261557,19.229563371179516,0.0,0.9968051118210862,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9952380952380953,0.0003649191095973726,0.9368443168894328,28.84434505676927,0.0,0.9968051118210862,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,0.9968203497615262,0.0002432794063982484,0.9465544013496393,19.229563371179516,0.0,0.9968051118210862,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7476851851851852,0.8260869565217391,0.01654299963508089,0.7578372404743201,1307.610309240207,0.8,0.9984025559105432,0.6153846153846154,1.0,0.009433962264150943,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,RandomForest,fleet,150000,75000,124.94,C_feature_ablation,CIDv2_RenaultClio,FS-B34,0
9085,864,0.09510181618051734,0.8941644478683768,0.8111202720606323,8224,0.0455447607482506,False,0.7384259259259259,0.996875,0.0002432794063982484,0.9996384028728769,19.229563371179516,0.5,1.0,0.3076923076923077,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7384259259259259,0.996875,0.0002432794063982484,0.9996384028728769,19.229563371179516,0.5,1.0,0.3076923076923077,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7476851851851852,0.9892802450229708,0.0008514779223938694,0.9992474982792396,67.3034717991283,0.8,1.0,0.6923076923076923,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7465277777777778,0.9907834101382489,0.0007298382191947452,0.9994036008648031,57.68869011353854,0.8,1.0,0.6153846153846154,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7523148148148148,0.8620689655172413,0.012650529132708916,0.964720031452943,999.9372953013348,1.0,1.0,0.7692307692307693,1.0,0.0047169811320754715,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,150000,75000,49.95,C_feature_ablation,CIDv2_RenaultClio,FS-B34,0
9085,864,0.09510181618051734,0.889665609077025,0.8093667213951822,8224,0.0455447607482506,False,0.7245370370370371,0.9968152866242038,0.0002432794063982484,0.9998036026954652,19.229563371179516,0.0,0.9968051118210862,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7245370370370371,0.9968152866242038,0.0002432794063982484,0.9998036026954652,19.229563371179516,0.0,0.9968051118210862,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7326388888888888,0.9798761609907121,0.0015813161415886145,0.9993025064468384,124.99216191266684,0.2,0.9984025559105432,0.23076923076923078,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7303240740740741,0.9921383647798742,0.000608198515995621,0.9994623064994812,48.07390842794879,0.1,0.9984025559105432,0.15384615384615385,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7534722222222222,0.846553966189857,0.014353484977496654,0.9654802680015564,1134.5442388995914,1.0,1.0,0.7692307692307693,1.0,0.009433962264150943,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,150000,75000,20.5,C_feature_ablation,CIDv2_RenaultClio,FS-B34,0
9085,864,0.09510181618051734,0.8929550901710614,0.8099908080084798,8224,0.0455447607482506,False,0.7337962962962963,0.9952904238618524,0.0003649191095973726,0.9996058884220985,28.84434505676927,0.2,0.9984025559105432,0.3076923076923077,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7337962962962963,0.9952904238618524,0.0003649191095973726,0.9996058884220985,28.84434505676927,0.2,0.9984025559105432,0.3076923076923077,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7372685185185185,0.98,0.0015813161415886145,0.9989256062075359,124.99216191266684,0.3,0.9984025559105432,0.46153846153846156,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7361111111111112,0.9906542056074766,0.0007298382191947452,0.9993714958414208,57.68869011353854,0.3,0.9984025559105432,0.38461538461538464,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7523148148148148,0.8238276299112801,0.016907918744678264,0.9292014645674155,1336.4546542969763,1.0,1.0,0.7692307692307693,1.0,0.0047169811320754715,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,LightGBM,fleet,150000,75000,52.44,C_feature_ablation,CIDv2_RenaultClio,FS-B34,0
9085,864,0.09510181618051734,0.9050013628151932,0.804563781827819,8224,0.0455447607482506,False,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7256944444444444,1.0,0.0,93750.00000000001,0.0,0.0,0.9984025559105432,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7303240740740741,0.7987341772151899,0.019340712808660745,46875.0,1528.7502880087713,0.0,1.0,0.15384615384615385,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,Rule:Combined,fleet,150000,75000,0.11,C_feature_ablation,CIDv2_RenaultClio,FS-B34,0
9085,864,0.09510181618051734,0.8325163481508512,0.7835933756106344,8224,0.0455447607482506,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7303240740740741,1.0,0.0,1.0,0.0,0.0,1.0,0.23076923076923078,0.6666666666666666,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7303240740740741,0.9677914110429447,0.0025544337671816082,0.9999812841415405,201.9104153973849,0.0,1.0,0.23076923076923078,0.6666666666666666,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7303240740740741,0.9677914110429447,0.0025544337671816082,0.9999812841415405,201.9104153973849,0.0,1.0,0.23076923076923078,0.6666666666666666,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7361111111111112,0.7920298879202988,0.020313830434253742,0.9940487146377563,1605.6685414934896,0.2,1.0,0.38461538461538464,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,LogReg,fleet,150000,75000,2.66,C_feature_ablation,CIDv2_RenaultClio,FS-B,0
9085,864,0.09510181618051734,0.9793824926678291,0.8821973463643411,8224,0.0455447607482506,False,0.7222222222222222,1.0,0.0,0.9786808334479516,0.0,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7222222222222222,1.0,0.0,0.9786808334479515,0.0,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.7245370370370371,0.9920760697305864,0.000608198515995621,0.935433919866833,48.07390842794879,0.0,0.9968051118210862,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7245370370370371,0.9952305246422893,0.0003649191095973726,0.9456139307590793,28.84434505676927,0.0,0.9968051118210862,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7430555555555556,0.8337662337662337,0.015569882009487897,0.7814678814642539,1230.692055755489,0.6,0.9984025559105432,0.5384615384615384,1.0,0.0047169811320754715,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,RandomForest,fleet,150000,75000,163.48,C_feature_ablation,CIDv2_RenaultClio,FS-B,0
9085,864,0.09510181618051734,0.9737239938819735,0.8714023701122193,8224,0.0455447607482506,False,0.7372685185185185,1.0,0.0,0.9996403585492736,0.0,0.6,0.9968051118210862,0.38461538461538464,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7372685185185185,1.0,0.0,0.9996403585492735,0.0,0.6,0.9968051118210862,0.38461538461538464,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7511574074074074,0.9759398496240601,0.001946235251185987,0.998438252846601,153.83650696943613,1.0,1.0,0.7692307692307693,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.75,0.9923430321592649,0.000608198515995621,0.9992310390686235,48.07390842794879,1.0,0.9984025559105432,0.7692307692307693,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.7523148148148148,0.8217446270543616,0.017151198151076512,0.9700760802946984,1355.6842176681557,1.0,1.0,0.7692307692307693,1.0,0.0047169811320754715,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,150000,75000,80.68,C_feature_ablation,CIDv2_RenaultClio,FS-B,0
9085,864,0.09510181618051734,0.9681402528303756,0.8646059903789303,8224,0.0455447607482506,False,0.7268518518518519,0.9968253968253968,0.0002432794063982484,0.9997712969779969,19.229563371179516,0.0,0.9968051118210862,0.07692307692307693,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7268518518518519,0.9968253968253968,0.0002432794063982484,0.9997712969779968,19.229563371179516,0.0,0.9968051118210862,0.07692307692307693,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7314814814814815,0.9828926905132193,0.0013380367351903662,0.9993763566017151,105.76259854148734,0.0,0.9968051118210862,0.38461538461538464,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7268518518518519,0.9968253968253968,0.0002432794063982484,0.9996703863143921,19.229563371179516,0.0,0.9968051118210862,0.07692307692307693,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7581018518518519,0.8301647655259823,0.016299720228682642,0.9605585932731628,1288.3807458690274,1.0,1.0,0.7692307692307693,1.0,0.02830188679245283,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,150000,75000,31.82,C_feature_ablation,CIDv2_RenaultClio,FS-B,0
