n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[dos]@fa1,event_recall[spoofing]@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[dos]@fa10,event_recall[spoofing]@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[dos]@fa100,event_recall[spoofing]@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[dos]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[dos]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
98401,12610,0.12814910417577058,0.9821181066603861,0.9416513514144065,85805,0.04424300176620483,True,0.6204599524187153,1.0,0.0,0.9849054217338562,0.0,0.9980013324450366,0.9546716003700277,0.7527862208713273,0.11928651059085842,0.75,1.0,0.8571428571428571,0.5,0.5,True,0.7570182394924663,0.9995811518324608,4.662493734774044e-05,0.24668006598949432,3.7938152419865463,0.9996668887408394,1.0,0.900709219858156,0.3826086956521739,1.0,1.0,1.0,1.0,1.0,True,0.787390959555908,0.9888457324967632,0.0013054982457367324,0.15529027581214905,106.22682677562331,0.9996668887408394,1.0,0.9311043566362716,0.4479375696767001,1.0,1.0,1.0,1.0,1.0,True,0.7841395717684377,0.9909801563439568,0.0010490610903241598,0.16154125332832336,85.36084294469728,0.9996668887408394,1.0,0.9290780141843972,0.44013377926421404,1.0,1.0,1.0,1.0,1.0,True,0.8474226804123711,0.9052096569250317,0.013043326223030388,0.08653213828802109,1061.3198139457363,1.0,1.0,0.9709557581898007,0.5901895206243032,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.36,C_feature_ablation,CTT_Impala,FS-B34,0
98401,12610,0.12814910417577058,0.9999228137288182,0.9997186253436122,85805,0.04424300176620483,True,0.7751784298176051,1.0,0.0,0.8601498718211652,0.0,0.9996668887408394,0.952358926919519,0.8362039851401554,0.4992196209587514,1.0,1.0,1.0,1.0,1.0,True,0.9749405233941316,0.9997560380580629,3.4968703010805326e-05,0.6245166157238877,2.845361431489909,1.0,1.0,0.9972982100641675,0.9313266443701226,1.0,1.0,1.0,1.0,1.0,True,0.9967486122125297,0.9935182989486997,0.000955811215628679,0.535460611637566,77.7732124607242,1.0,1.0,0.9989868287740629,0.9915273132664437,1.0,1.0,1.0,1.0,1.0,True,0.9963521015067407,0.9942233124950542,0.0008509051065962631,0.5381227415975277,69.23712816625448,1.0,1.0,0.9989868287740629,0.9904124860646599,1.0,1.0,1.0,1.0,1.0,True,0.9991276764472641,0.944594391962813,0.008613957174995046,0.4805426443443427,700.9073659570145,1.0,1.0,0.9993245525160419,0.9979933110367893,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,184.07,C_feature_ablation,CTT_Impala,FS-B34,0
98401,12610,0.12814910417577058,0.9875992401022602,0.967274644896273,85805,0.04424300176620483,True,0.7692307692307693,1.0,0.0,0.9958967169828201,0.0,0.9986675549633578,1.0,0.8243836541708882,0.46800445930880713,1.0,1.0,1.0,1.0,1.0,True,0.8447264076130055,0.999906129728715,1.165623433693511e-05,0.9588288607545533,0.9484538104966366,0.9996668887408394,1.0,0.9425869638635596,0.6015607580824972,1.0,1.0,1.0,1.0,1.0,True,0.889452815226011,0.9907252009539793,0.0012239046053781864,0.8656797050143277,99.58765010214684,0.9996668887408394,1.0,0.9861533265788585,0.6985507246376812,1.0,1.0,1.0,1.0,1.0,True,0.8858049167327517,0.9928006399431162,0.0009441549812917439,0.8769182516367422,76.82475865022757,0.9996668887408394,1.0,0.9841269841269841,0.6896321070234114,1.0,1.0,1.0,1.0,1.0,True,0.9221252973830294,0.9350273399807012,0.009418237344243569,0.6929947709715493,766.3506788812823,1.0,1.0,0.9949341438703141,0.7843924191750279,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,150000,75000,62.88,C_feature_ablation,CTT_Impala,FS-B34,0
98401,12610,0.12814910417577058,0.9951870262211012,0.9810568821340472,85805,0.04424300176620483,True,0.7876288659793814,1.0,0.0,0.9933564066886902,0.0,0.9996668887408394,1.0,0.8676122931442081,0.49052396878483834,1.0,1.0,1.0,1.0,1.0,True,0.8597938144329897,0.9995390430533788,5.828117168467555e-05,0.9632506370544434,4.7422690524831825,0.9996668887408394,1.0,0.9601485984464708,0.632329988851728,1.0,1.0,1.0,1.0,1.0,True,0.897065820777161,0.9928032297700544,0.000955811215628679,0.919248104095459,77.7732124607242,1.0,1.0,0.9824383654170888,0.7221850613154961,1.0,1.0,1.0,1.0,1.0,True,0.8916732751784299,0.9945161860958783,0.0007226865288899768,0.9271710515022278,58.804136250791466,1.0,1.0,0.9787234042553191,0.7094760312151617,1.0,1.0,1.0,1.0,1.0,True,0.9332275971451229,0.936346276257161,0.009324987469548088,0.7883824706077576,758.7630483973093,1.0,1.0,0.9952718676122931,0.8153846153846154,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,150000,75000,20.29,C_feature_ablation,CTT_Impala,FS-B34,0
98401,12610,0.12814910417577058,0.9923642273551373,0.9751798428880892,85805,0.04424300176620483,True,0.7880253766851705,1.0,0.0,0.9924750678133148,0.0,0.9996668887408394,1.0,0.8483620398514016,0.5043478260869565,1.0,1.0,1.0,1.0,1.0,True,0.8447264076130055,0.9997184420459878,3.4968703010805326e-05,0.9672115592237439,2.845361431489909,0.9996668887408394,1.0,0.9439378588314759,0.6006688963210702,1.0,1.0,1.0,1.0,1.0,True,0.8975416336241079,0.9910683012259195,0.0011889359023673812,0.8756873506376095,96.74228867065693,0.9996668887408394,1.0,0.9864910503208375,0.7210702341137124,1.0,1.0,1.0,1.0,1.0,True,0.8936558287073751,0.9936513534961644,0.0008392488722593279,0.8871561596043114,68.28867435575783,0.9996668887408394,1.0,0.9861533265788585,0.7103678929765886,1.0,1.0,1.0,1.0,1.0,True,0.9333068992862807,0.932863031071655,0.009872830483384038,0.6715097393420532,803.3403774906511,1.0,1.0,0.9956095913542722,0.8153846153846154,1.0,1.0,1.0,1.0,1.0,LightGBM,fleet,150000,75000,37.87,C_feature_ablation,CTT_Impala,FS-B34,0
98401,12610,0.12814910417577058,0.8627919434918331,0.806599625405479,85805,0.04424300176620483,True,0.30951625693893736,0.9994878361075544,2.331246867387022e-05,57.9457761972984,1.8969076209932731,0.1022651565622918,1.0,0.1337386018237082,0.231438127090301,0.25,0.25,0.14285714285714285,0.25,1.0,True,0.7068992862807296,0.9988794262662484,0.0001165623433693511,5.148587785495526,9.484538104966365,0.9996668887408394,1.0,0.7382640999662277,0.34894091415830547,0.8928571428571429,1.0,0.8571428571428571,0.875,1.0,True,0.7177636796193497,0.9906961471103327,0.0009907799186394844,4.960090439682889,80.61857389221412,0.9996668887408394,1.0,0.7723741979061128,0.35696767001114826,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,True,0.7177636796193497,0.9929786066922655,0.0007459989975638471,4.982894177881867,60.70104387178474,0.9996668887408394,1.0,0.7723741979061128,0.35696767001114826,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,True,0.7178429817605075,0.9225438238891154,0.008858738096070684,4.6290692535262865,720.8248959774438,0.9996668887408394,1.0,0.7723741979061128,0.35719063545150503,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,Rule:Combined,fleet,150000,75000,0.33,C_feature_ablation,CTT_Impala,FS-B34,0
98401,12610,0.12814910417577058,0.9878948837090038,0.959616585499019,85805,0.04424300176620483,True,0.5839016653449643,0.9998642042368278,1.165623433693511e-05,0.9950138926506042,0.9484538104966366,0.9980013324450366,0.8052728954671601,0.7342114150624789,0.1007803790412486,0.7142857142857143,1.0,0.7857142857142857,0.5,0.5,True,0.7670896114195084,0.9993801012501291,6.993740602161065e-05,0.1849895566701889,5.690722862979818,0.9996668887408394,1.0,0.9050996285038838,0.4080267558528428,1.0,1.0,1.0,1.0,1.0,True,0.8245836637589214,0.9884030418250951,0.0014220605891060833,0.10932167619466782,115.71136488058964,0.9996668887408394,1.0,0.9459642012833502,0.5426978818283166,1.0,1.0,1.0,1.0,1.0,True,0.8183187946074544,0.9911631927768706,0.00107237355899803,0.1148887574672699,87.25775056569057,0.9996668887408394,1.0,0.9432624113475178,0.5268673355629877,1.0,1.0,1.0,1.0,1.0,True,0.8850118953211736,0.9261410788381743,0.010374048559872248,0.07243582606315613,844.1238913420066,1.0,1.0,0.9726443768996961,0.6947603121516165,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.82,C_feature_ablation,CTT_Impala,FS-B,0
98401,12610,0.12814910417577058,0.9999546026184968,0.9998353163550128,85805,0.04424300176620483,True,0.7525773195876289,1.0,0.0,0.8827561818535188,0.0,0.9996668887408394,0.9264569842738205,0.8166160081053698,0.461092530657748,1.0,1.0,1.0,1.0,1.0,True,0.986994448850119,0.9995984258292506,5.828117168467555e-05,0.6166489402995174,4.7422690524831825,1.0,1.0,0.9986491050320837,0.9643255295429208,1.0,1.0,1.0,1.0,1.0,True,0.9996827914353688,0.9923640085019286,0.0011306547306827056,0.39709551297092105,92.00001961817374,1.0,1.0,0.9993245525160419,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,True,0.9996827914353688,0.9940856399337592,0.0008742175752701332,0.40353173406949033,71.13403578724774,1.0,1.0,0.9993245525160419,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,True,0.9996827914353688,0.9369704177196373,0.009884486717720973,0.35273176424208114,804.2888313011478,1.0,1.0,0.9993245525160419,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,157.13,C_feature_ablation,CTT_Impala,FS-B,0
98401,12610,0.12814910417577058,0.997336297178181,0.9905501736677603,85805,0.04424300176620483,True,0.7730372720063442,1.0,0.0,0.9925789151981508,0.0,0.9993337774816788,1.0,0.8321513002364066,0.47313266443701224,1.0,1.0,1.0,1.0,1.0,True,0.8914353687549564,0.9999110478562533,1.165623433693511e-05,0.8113970233608446,0.9484538104966366,1.0,1.0,0.977710233029382,0.7094760312151617,1.0,1.0,1.0,1.0,1.0,True,0.9467089611419508,0.9920226026258933,0.0011189984963457704,0.4093152260561571,91.0515658076771,1.0,1.0,0.9966227625802094,0.852396878483835,1.0,1.0,1.0,1.0,1.0,True,0.9440126883425852,0.9943200801871033,0.0007926239349115875,0.43930501427084057,64.49485911377128,1.0,1.0,0.9966227625802094,0.8448160535117056,1.0,1.0,1.0,1.0,1.0,True,0.970182394924663,0.9229028364514182,0.011912671492347681,0.1850361099477289,969.3197943275626,1.0,1.0,0.9986491050320837,0.9170568561872909,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,150000,75000,57.19,C_feature_ablation,CTT_Impala,FS-B,0
98401,12610,0.12814910417577058,0.999820094665816,0.999021475564985,85805,0.04424300176620483,True,0.8068992862807296,1.0,0.0,0.9875147342681885,0.0,0.9996668887408394,1.0,0.8635596082404593,0.5473801560758083,1.0,1.0,1.0,1.0,1.0,True,0.9047581284694687,0.9999123575810692,1.165623433693511e-05,0.8851503729820251,0.9484538104966366,1.0,1.0,0.9696048632218845,0.7522853957636566,1.0,1.0,1.0,1.0,1.0,True,0.9851704996034893,0.9901960784313726,0.0014337168234430184,0.4301704168319702,116.65981869108629,1.0,1.0,0.9976359338061466,0.959866220735786,1.0,1.0,1.0,1.0,1.0,True,0.9826328310864393,0.9919942358498118,0.001165623433693511,0.4744885265827179,94.84538104966366,1.0,1.0,0.9976359338061466,0.9527313266443701,1.0,1.0,1.0,1.0,1.0,True,0.9972244250594766,0.9225972120322817,0.012297327225466542,0.18871034681797028,1000.6187700739516,1.0,1.0,0.999662276258021,0.9924191750278707,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,150000,75000,39.55,C_feature_ablation,CTT_Impala,FS-B,0
