n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources
123099,23756,0.19298288369523717,0.9379975102020544,0.8354025880754604,99363,0.031993395843505856,False,0.0,0.0,0.0,0.9934795769747364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934795769747364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934795769747364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934795769747364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7336251894258292,0.957056562328391,0.007871717181884985,0.17744609731468636,885.7509841531291,1.0,0.8054298642533937,0.6318681318681318,0.6706599869309519,0.90625,1.0,1.0,0.7,1.0,HistGB,fleet,40000,952,8.48,B_fleet_size,CTT_Traverse,FS-B,0,1,CIDv2_OpelAstra
123099,23756,0.19298288369523717,0.9712562643657566,0.860612832579831,99363,0.031993395843505856,False,0.0008418925745074928,1.0,0.0,0.9998773336410524,0.0,0.0,0.0004891769597651951,0.0,0.0011616931677920568,0.0625,0.0625,0.25,0.0,0.0,True,0.0027361508671493516,1.0,0.0,0.9992386102676392,0.0,0.0,0.00599241775712364,0.0,0.0011616931677920568,0.0625,0.0625,0.25,0.0,0.0,True,0.003367570298029971,0.28368794326241137,0.0020333591697452263,0.987041711807251,228.8001263413454,0.0,0.007093065916595328,0.0,0.0015973281057140782,0.0625,0.0625,0.25,0.0,0.0,True,0.003409664926755346,0.2755102040816326,0.0021440866492858078,0.9859710335731506,241.2595391619137,0.0,0.007093065916595328,0.0,0.001669933928701082,0.09375,0.125,0.25,0.0,0.0,True,0.8863445024414884,0.9479560597875023,0.01163645148626476,0.002607951173558831,1309.3710200524517,1.0,0.9992662345603522,0.6373626373626373,0.8187758658244392,0.9375,1.0,1.0,0.8,1.0,XGBoost,fleet,40000,952,5.63,B_fleet_size,CTT_Traverse,FS-B,0,1,CIDv2_OpelAstra
123099,23756,0.19298288369523717,0.9992046183821715,0.9988969920639611,99363,0.031993395843505856,False,0.0,0.0,0.0,730242.0581327394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8578043441656844,0.9999509298787967,1.0066134503689238e-05,31250.0,1.1326738927789375,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982320255935343,0.9990731378496798,0.00022145495908116325,4343.182658414795,24.91882564113663,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9986103507811513,0.00033218243862174487,4124.211571601972,37.37823846170494,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9576384121471551,0.010559375094370011,7.534170508715582,1188.1749135251055,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,952,0.31,B_fleet_size,CTT_Traverse,FS-B,0,1,CIDv2_OpelAstra
123099,23756,0.19298288369523717,0.9426851042939923,0.863537636606928,99363,0.031993395843505856,False,0.002104731436268732,1.0,0.0,0.9998807382657809,0.0,0.0,0.00489176959765195,0.0,0.0007260582298700356,0.0625,0.0625,0.25,0.0,0.0,True,0.002104731436268732,1.0,0.0,0.9998807382657809,0.0,0.0,0.00489176959765195,0.0,0.0007260582298700356,0.0625,0.0625,0.25,0.0,0.0,True,0.002104731436268732,1.0,0.0,0.9998807382657809,0.0,0.0,0.00489176959765195,0.0,0.0007260582298700356,0.0625,0.0625,0.25,0.0,0.0,True,0.002104731436268732,1.0,0.0,0.9998807382657809,0.0,0.0,0.00489176959765195,0.0,0.0007260582298700356,0.0625,0.0625,0.25,0.0,0.0,True,0.8149520121232531,0.9598889384699291,0.008143502813484594,0.020100058133310367,916.3331792581605,1.0,0.9992662345603522,0.63003663003663,0.695926813330429,0.875,1.0,1.0,0.6,1.0,HistGB,fleet,40000,952,15.12,B_fleet_size,CTT_Traverse,FS-B,1,1,CIDv2_OpelAstra
123099,23756,0.19298288369523717,0.9789872815127835,0.8730026189434354,99363,0.031993395843505856,False,0.002694056238423977,1.0,0.0,0.9993176460266114,0.0,0.0,0.005870123517182341,0.0,0.0011616931677920568,0.0625,0.0625,0.25,0.0,0.0,True,0.0027361508671493516,0.9420289855072463,4.026453801475695e-05,0.9982033967971802,4.53069557111575,0.0,0.00599241775712364,0.0,0.0011616931677920568,0.0625,0.0625,0.25,0.0,0.0,True,0.002946624010776225,0.5263157894736842,0.000634166473732422,0.9937697052955627,71.35845524507306,0.0,0.006237006237006237,0.0,0.0013795106367530676,0.0625,0.0625,0.25,0.0,0.0,True,0.0029887186395015997,0.5071428571428571,0.0006945632807545574,0.9931694269180298,78.15449860174668,0.0,0.006359300476947536,0.0,0.0013795106367530676,0.0625,0.0625,0.25,0.0,0.0,True,0.9020037043273278,0.9495280719634865,0.011465327199702042,0.003222312545403838,1290.11556387521,1.0,0.9992662345603522,0.6446886446886447,0.8454948086836565,0.9375,1.0,1.0,0.8,1.0,XGBoost,fleet,40000,952,7.82,B_fleet_size,CTT_Traverse,FS-B,1,1,CIDv2_OpelAstra
123099,23756,0.19298288369523717,0.9992143198968426,0.9989059262009796,99363,0.031993395843505856,False,0.0,0.0,0.0,729105.1663240668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8578043441656844,0.9999509298787967,1.0066134503689238e-05,31250.0,1.1326738927789375,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982320255935343,0.9990731378496798,0.00022145495908116325,4336.424293153679,24.91882564113663,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9986103507811513,0.00033218243862174487,4117.794115813492,37.37823846170494,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982320255935343,0.9576384121471551,0.010559375094370011,7.525667571308045,1188.1749135251055,1.0,0.9998777057600587,0.924908424908425,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,952,0.32,B_fleet_size,CTT_Traverse,FS-B,1,1,CIDv2_OpelAstra
123099,23756,0.19298288369523717,0.9792593459588514,0.9749886569078905,99363,0.031993395843505856,False,0.3480804849301229,1.0,0.0,0.999908201073819,0.0,0.5182539682539683,0.22930169988993518,0.43956043956043955,0.3994046322515066,0.6875,0.9375,1.0,0.1,1.0,True,0.7533675702980299,1.0,0.0,0.999830151446811,0.0,0.9087301587301587,0.7627491745138804,0.684981684981685,0.7362956509112031,1.0,1.0,1.0,1.0,1.0,True,0.8763259808048492,0.9975561838133116,0.0005133728596881512,0.9996872842088941,57.76636853172582,1.0,0.9615996086584322,0.8186813186813187,0.816670296957816,1.0,1.0,1.0,1.0,1.0,True,0.8778834820676882,0.9973696795791487,0.0005536373977029081,0.9996762416456232,62.29706410284157,1.0,0.9640454934572582,0.8205128205128205,0.817831990125608,1.0,1.0,1.0,1.0,1.0,True,0.9525172587977774,0.9598710443709171,0.00952256324049002,0.9955400084434993,1071.509502568875,1.0,0.998777057600587,0.9120879120879121,0.9223117694039062,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,40000,20000,12.61,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Forester
123099,23756,0.19298288369523717,0.9886862569808004,0.9827752644627618,99363,0.031993395843505856,False,0.3823876073413032,1.0,0.0,0.9999871253967286,0.0,0.6071428571428571,0.23101381924911338,0.5274725274725275,0.44594496478617585,0.84375,0.9375,0.75,0.7,1.0,True,0.6197592187236909,0.999932083672915,1.0066134503689238e-05,0.9999624490737915,1.1326738927789375,1.0,0.4836737189678366,0.652014652014652,0.6644884919770565,0.96875,1.0,1.0,0.9,1.0,True,0.9261239265869675,0.9980040825584032,0.0004429099181623265,0.9992384910583496,49.83765128227326,1.0,0.9904610492845787,0.8717948717948718,0.8833224424598853,1.0,1.0,1.0,1.0,1.0,True,0.9300808216871527,0.9974718974312672,0.0005637035322065973,0.9991611242294312,63.42973799562049,1.0,0.9915616974440504,0.8754578754578755,0.8893487257678065,1.0,1.0,1.0,1.0,1.0,True,0.9608099006566763,0.9551408126543081,0.010790896187954863,0.9946364760398865,1214.226413059021,1.0,0.9995108230402348,0.9065934065934066,0.9363972990633849,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,20000,5.4,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Forester
123099,23756,0.19298288369523717,0.999251307093667,0.9985141929789602,99363,0.031993395843505856,False,0.0,0.0,0.0,514509.80710145395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3550681932985351,1.0,0.0,296875.0,0.0,0.9976190476190476,0.5389507154213037,0.0,0.20119073549698685,0.25,0.25,0.5,0.0,1.0,True,0.8578043441656844,0.9990684904642839,0.00019125655557009552,31250.0,21.52080396279981,1.0,0.9737067384126208,0.6062271062271062,0.7859580338343135,0.625,0.8125,0.75,0.2,1.0,True,0.9982741202222596,0.9985683607730852,0.0003422485731254341,2918.2312788224544,38.51091235448388,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9982741202222596,0.9701370423399468,0.007348278187693144,10.962974694310414,826.8519417286244,1.0,0.9998777057600587,0.9267399267399268,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,20000,0.29,B_fleet_size,CTT_Traverse,FS-B,0,1,CTT_Forester
123099,23756,0.19298288369523717,0.9913135850356339,0.9872840796819818,99363,0.031993395843505856,False,0.39484761744401414,1.0,0.0,0.9999576122255628,0.0,0.8222222222222222,0.23260364436835024,0.47802197802197804,0.448776591882669,0.9375,0.9375,1.0,0.9,1.0,True,0.534265027782455,0.9999212164184984,1.0066134503689238e-05,0.9999340491583958,1.1326738927789375,0.9714285714285714,0.33802127919774977,0.5842490842490843,0.6087998257460249,0.96875,0.9375,1.0,1.0,1.0,True,0.9336167705000842,0.9973020369620936,0.0006039680702213543,0.9995645071551222,67.96043356673626,1.0,0.9889935184052832,0.8388278388278388,0.8984244536411821,1.0,1.0,1.0,1.0,1.0,True,0.9428775888196667,0.996751512993948,0.0007348278187693144,0.9994661246944767,82.68519417286242,1.0,0.9921731686437569,0.8498168498168498,0.9120743483627387,1.0,1.0,1.0,1.0,1.0,True,0.9745327496211483,0.9612605879422023,0.00939170349194206,0.9930265830563699,1056.7847419627487,1.0,0.9991439403204109,0.9029304029304029,0.9604298264720831,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,40000,20000,14.35,B_fleet_size,CTT_Traverse,FS-B,1,1,CTT_Forester
