n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[dos]@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[dos]@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[dos]@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[dos]@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[dos]@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos
118722,21816,0.18375701217971396,0.8651295174268697,0.7575421105567158,96923,0.024890421752929687,False,0.12211221122112212,0.999624765478424,1.0319278476048955e-05,0.9988603591918946,1.492518000800996,0.09617612977983778,0.31989389920424405,0.12356227407163983,0.0007928118393234672,0.2647058823529412,0.75,0.08333333333333333,0.21428571428571427,0.5,True,0.17757609094242757,0.9987110079917505,5.159639238024477e-05,0.9980888962745667,7.46259000400498,0.16962296104822178,0.40318302387267907,0.14590864278672364,0.0018498942917547568,0.29411764705882354,0.75,0.08333333333333333,0.2857142857142857,0.5,True,0.2830949761642831,0.9900609169605643,0.0006397952655150352,0.9959391355514526,92.53611604966174,0.31829931366431946,0.529973474801061,0.19257311863292803,0.005549682875264271,0.4117647058823529,1.0,0.25,0.35714285714285715,0.5,True,0.3045012834616795,0.9864864864864865,0.0009390543413204549,0.9953919649124146,135.81913807289064,0.3505660041001872,0.5493368700265252,0.20177456457443313,0.0066067653276955605,0.5,1.0,0.3333333333333333,0.5,0.5,True,0.4948203153648698,0.9241503295950689,0.009142880729779373,0.9859078526496887,1322.3709487096821,0.6283091184597558,0.7251989389920425,0.27571475517581334,0.045718816067653274,0.7941176470588235,1.0,0.75,0.7142857142857143,1.0,LogReg,fleet,107839,10916,3.12,A_volume_matched,CTT_Silverado,FS-A,0,cross,107839,10916
59344,10900,0.18367484497169048,0.8673033442946323,0.7582750452074805,48462,0.024890421752929687,False,0.11752293577981651,1.0,0.0,0.998902201652527,0.0,0.09128186842574434,0.31210191082802546,0.11923583662714098,0.0,0.23529411764705882,0.75,0.0,0.21428571428571427,0.5,True,0.17779816513761468,0.9979402677651905,8.25695648583932e-05,0.9980732202529907,11.942362264521618,0.16937065430558032,0.40870488322717624,0.14361001317523056,0.0,0.23529411764705882,0.75,0.0,0.21428571428571427,0.5,True,0.29376146788990826,0.9873573851372186,0.0008463380397985302,0.9957119226455688,122.40921321134657,0.3341059012301658,0.5467091295116773,0.1963109354413702,0.0,0.29411764705882354,0.75,0.0,0.35714285714285715,0.5,True,0.30596330275229355,0.9858114099911321,0.0009908347783007183,0.9953480362892151,143.3083471742594,0.3526475307541451,0.5583864118895966,0.20092226613965744,0.0,0.3235294117647059,0.75,0.0,0.42857142857142855,0.5,True,0.4981651376146789,0.9240980258679373,0.009206506481710841,0.9855770468711853,1331.57339249416,0.6371902299875201,0.7319532908704883,0.274703557312253,0.03176283748014823,0.7058823529411765,1.0,0.6666666666666666,0.5714285714285714,1.0,LogReg,fleet,107839,10916,3.03,A_volume_matched,CTT_Silverado,FS-A,0,in_f0,107839,10916
118722,21816,0.18375701217971396,0.8958143217088308,0.8449062189959624,96923,0.024890421752929687,False,0.5052255225522553,1.0,0.0,0.8570003574600987,0.0,0.9081023264105536,0.2206896551724138,0.0006572461386789353,0.0,0.23529411764705882,1.0,0.0,0.14285714285714285,0.5,True,0.5887422075540888,0.999533073929961,6.191567085629373e-05,0.8309148756729932,8.955108004805975,0.9720117657545235,0.5098143236074271,0.0029576076240552087,0.0021141649048625794,0.4117647058823529,1.0,0.4166666666666667,0.21428571428571427,0.5,True,0.6591492482581591,0.9959138444490616,0.0006088374300868883,0.7754626537817964,88.05856204725876,0.9981281754167038,0.8111405835543767,0.02497535326979954,0.012684989429175475,0.5294117647058824,1.0,0.5833333333333334,0.2857142857142857,0.75,True,0.6662082874954162,0.9943897099069513,0.0008461808350360143,0.7625553279805776,122.38647606568166,0.9988412514484357,0.8312997347480106,0.040749260598093986,0.01849894291754757,0.5294117647058824,1.0,0.5833333333333334,0.2857142857142857,0.75,True,0.7246057939127246,0.9407843837409986,0.01026768208366871,0.5765834179949315,1485.055410796991,0.9998217309920671,0.8482758620689655,0.25336838646072957,0.16437632135306554,0.8823529411764706,1.0,1.0,0.7857142857142857,0.75,RandomForest,fleet,107839,10916,104.51,A_volume_matched,CTT_Silverado,FS-A,0,cross,107839,10916
59344,10900,0.18367484497169048,0.8941597344214335,0.8430467392222253,48462,0.024890421752929687,False,0.5410091743119266,1.0,0.0,0.8456633355682006,0.0,0.933143162774113,0.3487261146496815,0.002635046113306983,0.0010587612493382743,0.3235294117647059,1.0,0.16666666666666666,0.21428571428571427,0.5,True,0.5948623853211009,0.9992294652488827,0.0001032119560729915,0.827140200998995,14.927952830652023,0.9732572651096452,0.5392781316348195,0.0032938076416337285,0.0021175224986765486,0.35294117647058826,1.0,0.25,0.21428571428571427,0.5,True,0.6627522935779816,0.9953155139156793,0.0007018413012963422,0.7683951549081037,101.51007924843375,0.9987520057051168,0.8190021231422505,0.036231884057971016,0.01270513499205929,0.5,1.0,0.5,0.2857142857142857,0.75,True,0.6690825688073394,0.993190793953425,0.001032119560729915,0.7546753149270213,149.27952830652023,0.9991085755036548,0.8343949044585988,0.05138339920948617,0.020645844362096346,0.5294117647058824,1.0,0.5,0.35714285714285715,0.75,True,0.724954128440367,0.9360341151385928,0.011146891255883081,0.5757808115992217,1612.218905710418,0.9998217151007309,0.8487261146496815,0.2490118577075099,0.16781365802011647,0.7941176470588235,1.0,0.9166666666666666,0.6428571428571429,0.75,RandomForest,fleet,107839,10916,109.21,A_volume_matched,CTT_Silverado,FS-A,0,in_f0,107839,10916
118722,21816,0.18375701217971396,0.8593113387883757,0.8225173530170047,96923,0.024890421752929687,False,0.4136413641364136,0.9998891966759003,1.0319278476048955e-05,0.9991829794768062,1.492518000800996,0.6389161244317675,0.30450928381962866,0.18994413407821228,0.034355179704016914,0.47058823529411764,1.0,0.25,0.5,0.5,True,0.6187660432709937,0.998742231429417,0.00017542773409283223,0.9980919444695548,25.37280601361693,0.926374899723683,0.5753315649867374,0.25238251725271116,0.04466173361522199,0.5,1.0,0.3333333333333333,0.5,0.5,True,0.69004400440044,0.9934666402692536,0.0010216085691288465,0.996028782123386,147.7592820792986,0.9926909706747482,0.7488063660477453,0.2842589549786395,0.06051797040169133,0.5882352941176471,1.0,0.5,0.5714285714285714,0.5,True,0.69494866153282,0.9914334292440492,0.0013518254803624131,0.9954688584921632,195.51985810493048,0.9954541402977093,0.7652519893899205,0.2859020703253368,0.06289640591966174,0.6176470588235294,1.0,0.5833333333333334,0.5714285714285714,0.5,True,0.7206637330399707,0.9359447553280152,0.011103543640228676,0.9889114555313877,1605.9493688618716,0.999643461984134,0.8328912466843501,0.3348669076569175,0.0919661733615222,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,HistGB,fleet,107839,10916,45.46,A_volume_matched,CTT_Silverado,FS-A,0,cross,107839,10916
59344,10900,0.18367484497169048,0.8589011146133736,0.8223847632370693,48462,0.024890421752929687,False,0.33256880733944955,1.0,0.0,0.9993625785466249,0.0,0.5155999286860403,0.2223991507430998,0.1686429512516469,0.03070407623080995,0.4411764705882353,1.0,0.16666666666666666,0.5,0.5,True,0.4756880733944954,1.0,0.0,0.9989776310941461,0.0,0.7323943661971831,0.3678343949044586,0.20948616600790515,0.03493912122816305,0.4411764705882353,1.0,0.16666666666666666,0.5,0.5,True,0.6628440366972477,0.9993084370677732,0.0001032119560729915,0.9972935241395735,14.927952830652023,0.9743269745052594,0.667728237791932,0.26877470355731226,0.04976177871889889,0.5294117647058824,1.0,0.4166666666666667,0.5,0.5,True,0.676697247706422,0.9983757444504602,0.00024770869457517957,0.9967894908029052,35.82708679356485,0.9855589231592085,0.7038216560509554,0.2779973649538867,0.05293806246691371,0.5294117647058824,1.0,0.4166666666666667,0.5,0.5,True,0.7187155963302753,0.947279322853688,0.009000082569564858,0.9897559933243495,1301.7174868328564,0.9998217151007309,0.8354564755838642,0.3227931488801054,0.08575966119640022,0.7352941176470589,1.0,0.9166666666666666,0.5714285714285714,0.5,HistGB,fleet,107839,10916,25.9,A_volume_matched,CTT_Silverado,FS-A,0,in_f0,107839,10916
118722,21816,0.18375701217971396,0.8685573524666153,0.8363471102144072,96923,0.024890421752929687,False,0.5555555555555556,0.9999174985562247,1.0319278476048955e-05,0.9992895126342775,1.492518000800996,0.9286923968268117,0.2193633952254642,0.23233651002300362,0.04413319238900634,0.5,1.0,0.3333333333333333,0.5,0.5,True,0.6077191052438577,0.9996230113850562,5.159639238024477e-05,0.9987789988517761,7.46259000400498,0.9631874498618416,0.3679045092838196,0.2799868550772264,0.05628964059196617,0.5,1.0,0.3333333333333333,0.5,0.5,True,0.6861477814448111,0.9961402808278432,0.0005985181516108394,0.9963405728340149,86.56604404645778,0.9927801051787147,0.6496021220159152,0.34373973052908313,0.08879492600422834,0.5882352941176471,1.0,0.5833333333333334,0.5,0.5,True,0.6978364503116978,0.9943827563683867,0.0008874579489402101,0.9955305457115173,128.35654806888564,0.9949193332739104,0.6957559681697613,0.354912914886625,0.09487315010570825,0.5882352941176471,1.0,0.5833333333333334,0.5,0.5,True,0.7455995599559956,0.9418099704707313,0.010370874868429199,0.972764253616333,1499.9805908050007,0.9995543274801676,0.8450928381962864,0.4032205060795268,0.16886892177589852,0.9117647058823529,1.0,0.9166666666666666,0.8571428571428571,1.0,XGBoost,fleet,107839,10916,23.97,A_volume_matched,CTT_Silverado,FS-A,0,cross,107839,10916
59344,10900,0.18367484497169048,0.8679611282941658,0.8366182215733119,48462,0.024890421752929687,False,0.48385321100917433,1.0,0.0,0.9996058344841005,0.0,0.8477446960242467,0.1045647558386412,0.16666666666666666,0.036527263102170464,0.4117647058823529,1.0,0.08333333333333333,0.5,0.5,True,0.5906422018348624,0.9998446963814257,2.06423912145983e-05,0.9989804625511169,2.9855905661304045,0.9570333392761633,0.3073248407643312,0.2608695652173913,0.05029115934356802,0.5,1.0,0.3333333333333333,0.5,0.5,True,0.6858715596330275,0.9958705208472093,0.0006399141276525473,0.9961846470832825,92.55330755004253,0.9923337493314316,0.6464968152866242,0.34782608695652173,0.08681842244573848,0.5588235294117647,1.0,0.5,0.5,0.5,True,0.7006422018348624,0.9940127554340752,0.0009495499958715218,0.9951700568199158,137.33716604199861,0.9955428775182742,0.7032908704883227,0.36297760210803687,0.09370037056643726,0.5588235294117647,1.0,0.5,0.5,0.5,True,0.7438532110091743,0.9528734281349159,0.008277598877053918,0.9750471115112305,1197.2218170182923,0.999643430201462,0.8455414012738853,0.39789196310935443,0.16093170989941769,0.7352941176470589,1.0,0.75,0.6428571428571429,0.75,XGBoost,fleet,107839,10916,47.63,A_volume_matched,CTT_Silverado,FS-A,0,in_f0,107839,10916
118722,21816,0.18375701217971396,0.8690194880803859,0.8315533910997024,96923,0.024890421752929687,False,0.6956362302896957,0.9999341108255914,1.0319278476048955e-05,0.9978887488222565,1.492518000800996,0.9985738479365363,0.7989389920424403,0.2760433782451528,0.03197674418604651,0.5,1.0,0.3333333333333333,0.5,0.5,True,0.7061789512284562,0.9996755564207385,5.159639238024477e-05,0.9969159069695609,7.46259000400498,0.9993760584722347,0.8249336870026526,0.3066053236937233,0.039904862579281185,0.5294117647058824,1.0,0.4166666666666667,0.5,0.5,True,0.7196094609460946,0.9948038780812369,0.0008461808350360143,0.9932275130687593,122.38647606568166,0.9995543274801676,0.8440318302387267,0.34834045349983567,0.06421775898520085,0.6764705882352942,1.0,0.6666666666666666,0.6428571428571429,0.5,True,0.7217638430509717,0.9918740157480315,0.001331186923410315,0.9921288250974013,192.53482210332848,0.9995543274801676,0.8458885941644563,0.35359842260926716,0.07056025369978858,0.7352941176470589,1.0,0.8333333333333334,0.6428571428571429,0.5,True,0.7356068940227356,0.9363986462831135,0.01124801353889336,0.9792534111797409,1626.8446208730854,0.9998217309920671,0.8485411140583554,0.38317449884981925,0.12315010570824525,0.9117647058823529,1.0,0.9166666666666666,0.9285714285714286,0.75,LightGBM,fleet,107839,10916,30.34,A_volume_matched,CTT_Silverado,FS-A,0,cross,107839,10916
59344,10900,0.18367484497169048,0.8641891725544827,0.8284637308017152,48462,0.024890421752929687,False,0.694954128440367,1.0,0.0,0.9979979013455008,0.0,0.9982171510073097,0.7988322717622081,0.2753623188405797,0.028057173107464268,0.5,1.0,0.3333333333333333,0.5,0.5,True,0.7089908256880734,0.9996119518820333,6.192717364379489e-05,0.9967720244983642,8.956771698391213,0.9994651453021929,0.8317409766454352,0.31488801054018445,0.04076230809952356,0.5294117647058824,1.0,0.4166666666666667,0.5,0.5,True,0.718440366972477,0.9964372057513678,0.0005779869540087524,0.994031580225636,83.59653585165131,0.9994651453021929,0.8444798301486199,0.3425559947299078,0.06034939121228163,0.5588235294117647,1.0,0.5,0.5,0.5,True,0.720091743119266,0.9946774806741858,0.0008669804310131286,0.9930435995163778,125.39480377747698,0.9994651453021929,0.8466029723991507,0.34782608695652173,0.06352567496029646,0.6176470588235294,1.0,0.5,0.6428571428571429,0.5,True,0.7339449541284404,0.9390773564972414,0.010713401040376517,0.9803082112590111,1549.5215038216797,0.9998217151007309,0.8487261146496815,0.3801054018445323,0.11434621492853361,0.8235294117647058,1.0,0.9166666666666666,0.7142857142857143,0.75,LightGBM,fleet,107839,10916,60.0,A_volume_matched,CTT_Silverado,FS-A,0,in_f0,107839,10916
