n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[fuzzing]@fa1,recall[masquerade]@fa1,recall[spoofing]@fa1,event_recall@fa1,event_recall[spoofing]@fa1,event_recall[masquerade]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[fuzzing]@fa10,recall[masquerade]@fa10,recall[spoofing]@fa10,event_recall@fa10,event_recall[spoofing]@fa10,event_recall[masquerade]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[fuzzing]@fa100,recall[masquerade]@fa100,recall[spoofing]@fa100,event_recall@fa100,event_recall[spoofing]@fa100,event_recall[masquerade]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[fuzzing]@fpr0.001,recall[masquerade]@fpr0.001,recall[spoofing]@fpr0.001,event_recall@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[masquerade]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[fuzzing]@fpr0.01,recall[masquerade]@fpr0.01,recall[spoofing]@fpr0.01,event_recall@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[masquerade]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources
226048,23767,0.10514138590033975,0.6363786765921288,0.17490566649539774,202303,0.02842950277399512,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HistGB,fleet,40000,952,14.56,B_fleet_size,ROAD_ORNL,FS-B,0,1,CIDv2_OpelAstra
226048,23767,0.10514138590033975,0.7204840386048024,0.25481945831524494,202303,0.02842950277399512,True,0.010013884798249674,0.967479674796748,3.9548944290368346e-05,0.984166145324707,5.008043952691273,0.9875518672199171,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.8515901060070671,0.00020763195752443382,0.9517182111740112,26.292230751629187,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.6639118457300276,0.0006031214004281173,0.9094225168228149,76.37267027854192,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.6392572944297082,0.0006723320529362619,0.9068914651870728,85.13674719575165,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.45300751879699247,0.0014385928485621488,0.8924884796142578,182.1675987791451,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,XGBoost,fleet,40000,952,6.72,B_fleet_size,ROAD_ORNL,FS-B,0,1,CIDv2_OpelAstra
226048,23767,0.10514138590033975,0.7335639506498857,0.27977984151864316,202303,0.02842950277399512,True,0.0,0.0,0.0002718989919962824,703298.9113969528,34.430302174752505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00030156070021405864,700319.0989889335,38.18633513927096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0003312224084318349,668419.3536491508,41.94236810378942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0003312224084318349,658861.694049787,41.94236810378942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.000998610843331801,450717.26922715624,126.45310980545469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule:Combined,fleet,40000,952,0.51,B_fleet_size,ROAD_ORNL,FS-B,0,1,CIDv2_OpelAstra
226048,23767,0.10514138590033975,0.6381113064480539,0.17271079792616473,202303,0.02842950277399512,True,0.0,0.0,0.0,0.9944120701852189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9944120701852189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9944120701852189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9944120701852189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9944120701852189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HistGB,fleet,40000,952,10.43,B_fleet_size,ROAD_ORNL,FS-B,1,1,CIDv2_OpelAstra
226048,23767,0.10514138590033975,0.705484468840182,0.23043694775513154,202303,0.02842950277399512,True,0.00037867631590019776,1.0,0.0,0.996651828289032,0.0,0.03734439834024896,0.0,0.0,0.06896551724137931,0.0,0.0,0.6666666666666666,True,0.0022720578954011864,0.9473684210526315,1.4830854108888132e-05,0.9946855306625366,1.8780164822592278,0.22406639004149378,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.003450161989312913,0.9213483146067416,3.4605326254072306e-05,0.9934311509132385,4.382038458604865,0.34024896265560167,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.00504901754533597,0.916030534351145,5.437979839925648e-05,0.9916896820068359,6.886060434950501,0.4979253112033195,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.008835780704337947,0.7167235494880546,0.00041032029701257164,0.9870423078536987,51.95845600917197,0.8713692946058091,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,XGBoost,fleet,40000,952,7.53,B_fleet_size,ROAD_ORNL,FS-B,1,1,CIDv2_OpelAstra
226048,23767,0.10514138590033975,0.7335504332335725,0.2797193526012942,202303,0.02842950277399512,True,0.0,0.0,0.0002718989919962824,705506.5807033967,34.430302174752505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00030156070021405864,702517.414604812,38.18633513927096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0003312224084318349,670517.5353283365,41.94236810378942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0003312224084318349,660929.8740449134,41.94236810378942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.000998610843331801,452132.0797224271,126.45310980545469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule:Combined,fleet,40000,952,0.47,B_fleet_size,ROAD_ORNL,FS-B,1,1,CIDv2_OpelAstra
226048,23767,0.10514138590033975,0.5633186653022463,0.12697895795588932,202303,0.02842950277399512,True,0.010140110236883073,0.9958677685950413,4.943618036296043e-06,0.997766585428769,0.6260054940864092,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.9060150375939849,0.0001235904509074011,0.9966839437192515,15.650137352160232,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.5182795698924731,0.0011073704401303138,0.995670606817246,140.22523067535568,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.40099833610648916,0.0017797024930665756,0.9954384781049741,225.36197787110729,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010939538014894602,0.3303684879288437,0.002605286705128015,0.9947471786091268,329.9048953835377,1.0,0.0006074806907923284,0.000999750062484379,0.27586206896551724,0.15384615384615385,0.23076923076923078,1.0,HistGB,fleet,10934,1058,9.67,B_fleet_size,ROAD_ORNL,FS-B,0,1,CIDv2_Prototype
226048,23767,0.10514138590033975,0.526961381095511,0.12597367590820702,202303,0.02842950277399512,True,0.0,0.0,0.0,0.9976811408996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,2.9661708217776263e-05,0.9871307015419006,3.7560329645184556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0018933815795009888,0.4166666666666667,0.00031144793628665076,0.5927794575691223,39.43834612744378,0.16182572614107885,0.0004339147791373774,8.331250520703157e-05,0.27586206896551724,0.07692307692307693,0.3076923076923077,1.0,True,0.0023982833340345858,0.475,0.00031144793628665076,0.5729180574417114,39.43834612744378,0.21161825726141079,0.0004339147791373774,8.331250520703157e-05,0.27586206896551724,0.07692307692307693,0.3076923076923077,1.0,True,0.020490596204821812,0.20419287211740042,0.009382987032889891,0.3485657870769501,1188.1584277760048,0.7551867219917012,0.0037316671005814457,0.02182787636424227,0.8620689655172413,1.0,0.6923076923076923,1.0,XGBoost,fleet,10934,1058,4.66,B_fleet_size,ROAD_ORNL,FS-B,0,1,CIDv2_Prototype
226048,23767,0.10514138590033975,0.48401491643338507,0.11078977835346462,202303,0.02842950277399512,True,0.010140110236883073,1.0,0.0,2738.298717743001,0.0,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,1.0,0.0,2372.3778879510887,0.0,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,1.0,0.0,2264.2430154247613,0.0,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,1.0,0.0,2231.9791829565447,0.0,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,1.0,0.0,1522.6035485636464,0.0,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,Rule:Combined,fleet,10934,1058,0.47,B_fleet_size,ROAD_ORNL,FS-B,0,1,CIDv2_Prototype
226048,23767,0.10514138590033975,0.5633186653022463,0.12697895795588932,202303,0.02842950277399512,True,0.010140110236883073,0.9958677685950413,4.943618036296043e-06,0.997766585428769,0.6260054940864092,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.9060150375939849,0.0001235904509074011,0.9966839437192515,15.650137352160232,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.5182795698924731,0.0011073704401303138,0.995670606817246,140.22523067535568,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010140110236883073,0.40099833610648916,0.0017797024930665756,0.9954384781049741,225.36197787110729,1.0,0.0,0.0,0.10344827586206896,0.0,0.0,1.0,True,0.010939538014894602,0.3303684879288437,0.002605286705128015,0.9947471786091268,329.9048953835377,1.0,0.0006074806907923284,0.000999750062484379,0.27586206896551724,0.15384615384615385,0.23076923076923078,1.0,HistGB,fleet,10934,1058,9.61,B_fleet_size,ROAD_ORNL,FS-B,1,1,CIDv2_Prototype
