n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[dos]@fa1,event_recall[spoofing]@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[dos]@fa10,event_recall[spoofing]@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[dos]@fa100,event_recall[spoofing]@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[dos]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[dos]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources
98401,12610,0.12814910417577058,0.8234845252304368,0.5231874185730938,85805,0.04424300176620483,True,0.0,0.0,0.0,0.9934240776645941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934240776645941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3541633624107851,0.9252123472135902,0.004207900595633574,0.36537376685508166,342.39182558928576,0.9003997335109927,0.30249768732654947,0.024991556906450524,0.23076923076923078,0.7857142857142857,1.0,0.6428571428571429,0.875,1.0,True,0.35313243457573357,0.9294510540596953,0.003939807205884067,0.503433940136599,320.57738794786314,0.8974017321785477,0.30203515263644776,0.024991556906450524,0.23010033444816053,0.75,1.0,0.6428571428571429,0.75,1.0,True,0.3842981760507534,0.864430966821263,0.008858738096070684,0.3181156281981387,720.8248959774438,0.9027315123251166,0.30527289546716,0.13779128672745694,0.23812709030100335,0.8571428571428571,1.0,0.7857142857142857,0.875,1.0,HistGB,fleet,40000,952,9.19,B_fleet_size,CTT_Impala,FS-B,0,1,CIDv2_OpelAstra
98401,12610,0.12814910417577058,0.9224365548900348,0.7920490127835954,85805,0.04424300176620483,True,0.0,0.0,0.0,0.9986366629600525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0029341792228390166,0.8604651162790697,6.993740602161065e-05,0.9925826787948608,5.690722862979818,0.012325116588940706,0.0,0.0,0.0,0.03571428571428571,0.25,0.0,0.0,0.0,True,0.7417922283901666,0.9580090126997133,0.004779056078143395,0.015440578572452068,388.866062303621,0.9996668887408394,1.0,0.9165822357311719,0.32931995540691195,1.0,1.0,1.0,1.0,1.0,True,0.7379857256145916,0.9592825481909082,0.004604212563089368,0.016724295914173126,374.6392551461714,0.9996668887408394,1.0,0.9081391421816953,0.3241917502787068,0.9642857142857143,1.0,0.9285714285714286,1.0,1.0,True,0.7751784298176051,0.9005896443707389,0.012577076849552983,0.007025586441159248,1023.3816615258709,0.9996668887408394,1.0,0.9709557581898007,0.38729096989966555,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,952,5.29,B_fleet_size,CTT_Impala,FS-B,0,1,CIDv2_OpelAstra
98401,12610,0.12814910417577058,0.9997768399608546,0.998994453748655,85805,0.04424300176620483,True,0.45662172878667723,0.9996527777777777,2.331246867387022e-05,78125.0,1.8969076209932731,0.9996668887408394,0.0,0.7413036136440392,0.1253065774804905,0.75,1.0,0.9285714285714286,0.5,0.0,True,0.6801744647105472,0.9996503496503496,3.4968703010805326e-05,31250.0,2.845361431489909,0.9996668887408394,0.9708603145235892,0.9824383654170888,0.126644370122631,0.8214285714285714,1.0,1.0,0.5,0.5,True,0.999603489294211,0.9690935650034597,0.004685806203447914,12.791624657259039,381.27843181964784,1.0,1.0,0.9989868287740629,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,True,0.999603489294211,0.9711842206641498,0.004359431642013731,13.659216378315746,354.721725125742,1.0,1.0,0.9989868287740629,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,True,0.999603489294211,0.9091892671667628,0.014675199030201303,7.109219499309868,1194.1033474152655,1.0,1.0,0.9989868287740629,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,952,0.25,B_fleet_size,CTT_Impala,FS-B,0,1,CIDv2_OpelAstra
98401,12610,0.12814910417577058,0.8566139941680561,0.5826499907486963,85805,0.04424300176620483,True,0.0,0.0,0.0,0.9934795769747364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934795769747364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0038815260341993917,0.9934795769747363,315.83511889538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0038815260341993917,0.9934795769747363,315.83511889538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.3979381443298969,0.8489257316866858,0.010409017262883053,0.4976594835608944,846.9692527734966,0.896402398401066,0.562904717853839,0.0243161094224924,0.231438127090301,0.7857142857142857,1.0,0.6428571428571429,0.875,1.0,HistGB,fleet,40000,952,9.0,B_fleet_size,CTT_Impala,FS-B,1,1,CIDv2_OpelAstra
98401,12610,0.12814910417577058,0.927149087701849,0.7956737103445931,85805,0.04424300176620483,True,0.0,0.0,0.0,0.9989122152328491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0015860428231562252,0.8695652173913043,3.4968703010805326e-05,0.9931883811950684,2.845361431489909,0.006662225183211193,0.0,0.0,0.0,0.03571428571428571,0.25,0.0,0.0,0.0,True,0.7617763679619349,0.9606,0.0045925563287524335,0.009210053831338882,373.6908013356748,0.9996668887408394,1.0,0.9567713610266801,0.358974358974359,1.0,1.0,1.0,1.0,1.0,True,0.7578905630452022,0.9619526925012581,0.004406056579361471,0.010293036699295044,358.5155403677286,0.9996668887408394,1.0,0.9506923336710571,0.35206243032329987,0.9642857142857143,1.0,0.9285714285714286,1.0,1.0,True,0.7938937351308485,0.9031937928545651,0.012507139443531374,0.003921376075595617,1017.6909386628911,0.9996668887408394,1.0,0.9848024316109423,0.4307692307692308,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,952,5.24,B_fleet_size,CTT_Impala,FS-B,1,1,CIDv2_OpelAstra
98401,12610,0.12814910417577058,0.9997784705395518,0.9989565611970554,85805,0.04424300176620483,True,0.45662172878667723,0.9996527777777777,2.331246867387022e-05,78125.0,1.8969076209932731,0.9996668887408394,0.0,0.7413036136440392,0.1253065774804905,0.75,1.0,0.9285714285714286,0.5,0.0,True,0.6801744647105472,0.9996503496503496,3.4968703010805326e-05,31250.0,2.845361431489909,0.9996668887408394,0.9708603145235892,0.9824383654170888,0.126644370122631,0.8214285714285714,1.0,1.0,0.5,0.5,True,0.999603489294211,0.9690935650034597,0.004685806203447914,13.032298770258597,381.27843181964784,1.0,1.0,0.9989868287740629,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,True,0.999603489294211,0.9711842206641498,0.004359431642013731,13.91628391244521,354.721725125742,1.0,1.0,0.9989868287740629,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,True,0.999603489294211,0.9091892671667628,0.014675199030201303,7.2425227620302755,1194.1033474152655,1.0,1.0,0.9989868287740629,0.9995540691192865,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,952,0.25,B_fleet_size,CTT_Impala,FS-B,1,1,CIDv2_OpelAstra
98401,12610,0.12814910417577058,0.8984705999127345,0.7337793574725447,85805,0.04424300176620483,True,0.0,0.0,0.0011189984963457704,0.9996733594343621,91.0515658076771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0012472170740520567,0.9995102534713202,101.48455772314011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6682791435368755,0.961437535653166,0.003939807205884067,0.17325928624046935,320.57738794786314,0.9996668887408394,1.0,0.7264437689969605,0.24816053511705685,0.8571428571428571,1.0,0.7857142857142857,0.875,1.0,True,0.6655828707375099,0.96172797066575,0.0038931822685363267,0.2151441003274843,316.7835727058766,0.9996668887408394,1.0,0.7220533603512327,0.24347826086956523,0.8571428571428571,1.0,0.7857142857142857,0.875,1.0,True,0.7167327517842982,0.9229041151843154,0.008800456924386009,0.03836383553516513,716.0826269249607,0.9996668887408394,1.0,0.7781155015197568,0.3502787068004459,0.9642857142857143,1.0,1.0,0.875,1.0,HistGB,fleet,17309,864,10.97,B_fleet_size,CTT_Impala,FS-B,0,1,CIDv2_RenaultClio
98401,12610,0.12814910417577058,0.9106538675112843,0.7491129467850782,85805,0.04424300176620483,True,0.00951625693893735,0.8695652173913043,0.00020981221806483198,0.9976257681846619,17.07216858893946,0.039973351099267154,0.0,0.0,0.0,0.03571428571428571,0.25,0.0,0.0,0.0,True,0.027121332275971452,0.5757575757575758,0.0029373710529076477,0.977686882019043,239.01036024515244,0.1022651565622918,0.005550416281221091,0.0,0.005128205128205128,0.10714285714285714,0.25,0.0,0.125,0.5,True,0.6656621728786677,0.9544059124502559,0.004674149969110979,0.030461005866527557,380.3299780091512,0.9996668887408394,1.0,0.7149611617696724,0.2483835005574136,0.7857142857142857,1.0,0.7142857142857143,0.75,1.0,True,0.6641554321966693,0.9573616826703246,0.004347775407676796,0.035055216401815414,353.77327131524544,0.9993337774816788,1.0,0.712597095575819,0.2459308807134894,0.7857142857142857,1.0,0.7142857142857143,0.75,1.0,True,0.6946074544012688,0.8952371218315618,0.011947640195358487,0.008617364801466465,972.1651557590525,0.9996668887408394,1.0,0.7551502870651807,0.3032329988851728,0.9285714285714286,1.0,0.9285714285714286,0.875,1.0,XGBoost,fleet,17309,864,3.51,B_fleet_size,CTT_Impala,FS-B,0,1,CIDv2_RenaultClio
98401,12610,0.12814910417577058,0.9630218319790147,0.804172724010322,85805,0.04424300176620483,True,0.45662172878667723,0.9996527777777777,2.331246867387022e-05,78125.0,1.8969076209932731,0.9996668887408394,0.0,0.7413036136440392,0.1253065774804905,0.75,1.0,0.9285714285714286,0.5,0.0,True,0.6803330689928628,0.9996504311349336,3.4968703010805326e-05,31250.0,2.845361431489909,0.9996668887408394,0.9708603145235892,0.9827760891590679,0.12686733556298774,0.8571428571428571,1.0,1.0,0.625,0.5,True,0.6803330689928628,0.9996504311349336,3.4968703010805326e-05,31250.0,2.845361431489909,0.9996668887408394,0.9708603145235892,0.9827760891590679,0.12686733556298774,0.8571428571428571,1.0,1.0,0.625,0.5,True,0.6803330689928628,0.9996504311349336,3.4968703010805326e-05,31250.0,2.845361431489909,0.9996668887408394,0.9708603145235892,0.9827760891590679,0.12686733556298774,0.8571428571428571,1.0,1.0,0.625,0.5,True,0.6803330689928628,0.9996504311349336,3.4968703010805326e-05,31250.0,2.845361431489909,0.9996668887408394,0.9708603145235892,0.9827760891590679,0.12686733556298774,0.8571428571428571,1.0,1.0,0.625,0.5,Rule:Combined,fleet,17309,864,0.21,B_fleet_size,CTT_Impala,FS-B,0,1,CIDv2_RenaultClio
98401,12610,0.12814910417577058,0.8984705999127345,0.7337793574725447,85805,0.04424300176620483,True,0.0,0.0,0.0011189984963457704,0.9996733594343621,91.0515658076771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0012472170740520567,0.9995102534713202,101.48455772314011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6682791435368755,0.961437535653166,0.003939807205884067,0.17325928624046935,320.57738794786314,0.9996668887408394,1.0,0.7264437689969605,0.24816053511705685,0.8571428571428571,1.0,0.7857142857142857,0.875,1.0,True,0.6655828707375099,0.96172797066575,0.0038931822685363267,0.2151441003274843,316.7835727058766,0.9996668887408394,1.0,0.7220533603512327,0.24347826086956523,0.8571428571428571,1.0,0.7857142857142857,0.875,1.0,True,0.7167327517842982,0.9229041151843154,0.008800456924386009,0.03836383553516513,716.0826269249607,0.9996668887408394,1.0,0.7781155015197568,0.3502787068004459,0.9642857142857143,1.0,1.0,0.875,1.0,HistGB,fleet,17309,864,11.22,B_fleet_size,CTT_Impala,FS-B,1,1,CIDv2_RenaultClio
