n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[dos]@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[dos]@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[dos]@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[dos]@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[dos]@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
118722,21816,0.18375701217971396,0.9910626070587301,0.9897353350443262,96923,0.024890421752929687,False,0.7946919691969196,1.0,0.0,0.8349963426589967,0.0,1.0,0.8519893899204244,0.48176141965165953,0.38054968287526425,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.8661991199119912,0.9998941742949362,2.063855695209791e-05,0.687600314617157,2.985036001601992,1.0,0.8954907161803713,0.6467302004600723,0.6168076109936576,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.9254217088375504,0.9976281069328458,0.0004953253668503498,0.5626407861709595,71.6408640384478,1.0,0.956763925729443,0.7354584291817285,0.8258456659619451,0.8823529411764706,1.0,1.0,0.7142857142857143,1.0,True,0.9331224789145581,0.9967195456325891,0.00069139165789528,0.5400662422180176,99.99870605366672,1.0,0.9663129973474801,0.7469602366086099,0.8514799154334038,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9721763843050972,0.9612926619226759,0.008812663818545808,0.3344115614891052,1274.6103726840506,1.0,0.996551724137931,0.8462044035491292,0.9667019027484144,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,LogReg,fleet,150000,75000,2.66,C_feature_ablation,CTT_Silverado,FS-B34,0
118722,21816,0.18375701217971396,0.998058525857883,0.9960011608730036,96923,0.024890421752929687,False,0.579024569123579,1.0,0.0,0.9808355519764778,0.0,0.7891077636152954,0.7440318302387268,0.13177785080512652,0.15142706131078223,0.8235294117647058,1.0,1.0,0.5714285714285714,1.0,True,0.7705812247891456,0.9992866908399215,0.00012383134171258745,0.9527245724508121,17.91021600961195,0.9716552277386576,0.8790450928381963,0.39040420637528755,0.37209302325581395,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.8741290795746242,0.9957704558508694,0.0008358615565599653,0.9109107128932008,120.89395806488068,0.9980390409127373,0.9140583554376658,0.5885639171869865,0.6966173361522199,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.894068573524019,0.9943413539967374,0.001145439910841434,0.898611775976266,165.66949808891056,0.9991977894643016,0.9275862068965517,0.6302990469930989,0.7610993657505285,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9869361936193619,0.9588937383094326,0.009524694033393186,0.7200780573927975,1377.5941147393194,1.0,0.996816976127321,0.9211304633585278,0.9912790697674418,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,126.68,C_feature_ablation,CTT_Silverado,FS-B34,0
118722,21816,0.18375701217971396,0.9957852596671414,0.9947540422125205,96923,0.024890421752929687,False,0.8316831683168316,0.999944888399008,1.0319278476048955e-05,0.9954998748462861,1.492518000800996,1.0,0.9957559681697613,0.38218862964180084,0.5306553911205074,0.8823529411764706,1.0,1.0,0.7142857142857143,1.0,True,0.8857260726072608,0.9996378685980342,7.223494933234268e-05,0.9906347299937008,10.44762600560697,1.0,0.9957559681697613,0.5609595793624712,0.6984672304439746,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9587000366703337,0.9956679044082644,0.0009390543413204549,0.9724292157730522,135.81913807289064,1.0,0.9960212201591512,0.8090699967137693,0.9193974630021141,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9646589658965896,0.9944242309691442,0.0012176748601737766,0.9661249463095605,176.11712409451752,1.0,0.9960212201591512,0.8330594807755505,0.9344608879492601,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9870737073707371,0.9573219525206722,0.009906507337006997,0.7655779054337163,1432.8172807689562,1.0,0.9976127320954907,0.9217877094972067,0.9907505285412262,0.9411764705882353,1.0,1.0,0.8571428571428571,1.0,HistGB,fleet,150000,75000,77.26,C_feature_ablation,CTT_Silverado,FS-B34,0
118722,21816,0.18375701217971396,0.9965337680300066,0.9945423477756856,96923,0.024890421752929687,False,0.8206362302896957,1.0,0.0,0.9950633645057679,0.0,0.9999108654960335,0.9944297082228116,0.3411107459743674,0.5015856236786469,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.8534561789512285,0.9997852118348279,4.127711390419582e-05,0.9905001521110535,5.970072003203984,0.9999108654960335,0.9944297082228116,0.44692737430167595,0.6057082452431289,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.9338100476714338,0.996283255086072,0.0007842651641797205,0.965187668800354,113.43136806087568,1.0,0.9952254641909815,0.6933946763062767,0.8697145877378436,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9425192519251925,0.9944863609982588,0.0011763977462695809,0.9561628699302673,170.14705209131353,1.0,0.9952254641909815,0.7255997371015446,0.8940274841437632,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.984094242757609,0.9582236108011605,0.009658844653581822,0.7073310613632202,1396.9968487497324,1.0,0.996816976127321,0.9139007558330595,0.9807082452431289,0.9411764705882353,1.0,1.0,0.8571428571428571,1.0,XGBoost,fleet,150000,75000,19.05,C_feature_ablation,CTT_Silverado,FS-B34,0
118722,21816,0.18375701217971396,0.9967472485764939,0.9955793961243359,96923,0.024890421752929687,False,0.8665658232489916,1.0,0.0,0.9952810510620185,0.0,1.0,0.9920424403183024,0.43805455142951033,0.6905391120507399,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.9181334800146681,0.9997005390297464,6.191567085629373e-05,0.9895771176069322,8.955108004805975,1.0,0.9954907161803713,0.6217548471902727,0.8366807610993657,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9735973597359736,0.9953606073386757,0.0010216085691288465,0.9478198308741956,147.7592820792986,1.0,0.9957559681697613,0.85803483404535,0.9661733615221987,0.9411764705882353,1.0,1.0,0.8571428571428571,1.0,True,0.9772643931059772,0.9940784258870704,0.0013105483664582172,0.933909208428494,189.54978610172645,1.0,0.9957559681697613,0.8747946105816629,0.9738372093023255,0.9411764705882353,1.0,1.0,0.8571428571428571,1.0,True,0.989044737807114,0.9588925428850769,0.009545332590345283,0.6161843058634093,1380.5791507409212,1.0,0.9973474801061007,0.9336181399934276,0.9928646934460887,0.9705882352941176,1.0,1.0,0.9285714285714286,1.0,LightGBM,fleet,150000,75000,32.77,C_feature_ablation,CTT_Silverado,FS-B34,0
118722,21816,0.18375701217971396,0.975113385011614,0.9374536722718712,96923,0.024890421752929687,False,0.8183443344334433,0.9999439901422651,1.0319278476048955e-05,6.036070274441594,1.492518000800996,0.9999108654960335,0.9976127320954907,0.41767992113046337,0.4236257928118393,0.5882352941176471,1.0,0.6666666666666666,0.2857142857142857,1.0,True,0.8241657499083241,0.9994441356309061,0.00010319278476048954,5.115951658656413,14.92518000800996,0.9999108654960335,0.9976127320954907,0.42885310548800526,0.44820295983086683,0.6764705882352942,1.0,0.9166666666666666,0.2857142857142857,1.0,True,0.830949761642831,0.9963176696894751,0.00069139165789528,4.154402341116418,99.99870605366672,1.0,0.9976127320954907,0.431482090042721,0.48493657505285415,0.7352941176470589,1.0,1.0,0.35714285714285715,1.0,True,0.8382379904657132,0.9952108843537415,0.000908096505892308,3.8821523251576577,131.34158407048764,1.0,0.9976127320954907,0.4423266513309234,0.5182346723044398,0.8235294117647058,1.0,1.0,0.5714285714285714,1.0,True,0.8396589658965896,0.9628889823380993,0.007285410604090562,3.465159802913398,1053.7177085655032,1.0,0.9976127320954907,0.4502136049950706,0.5200845665961945,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,Rule:Combined,fleet,150000,75000,0.31,C_feature_ablation,CTT_Silverado,FS-B34,0
118722,21816,0.18375701217971396,0.9914230609317028,0.989618175630301,96923,0.024890421752929687,False,0.8155940594059405,1.0,0.0,0.8378345966339112,0.0,1.0,0.8549071618037135,0.5573447255997371,0.4373678646934461,0.8235294117647058,1.0,1.0,0.5714285714285714,1.0,True,0.8824257425742574,0.9996884249883159,6.191567085629373e-05,0.7008771896362305,8.955108004805975,1.0,0.89973474801061,0.6809069996713769,0.678646934460888,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.9155207187385406,0.9976523476523477,0.0004850060883743009,0.615077018737793,70.14834603764682,1.0,0.9312997347480106,0.7351298061123891,0.7943974630021141,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9213879721305464,0.9969745064973713,0.0006294759870389862,0.5973321795463562,91.04359804886076,1.0,0.9387267904509283,0.7479461058166283,0.8105179704016914,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9745599559955995,0.9596046217728832,0.009235754236063815,0.32368484139442444,1335.8036107168916,1.0,0.9944297082228116,0.8649359185014788,0.9674947145877378,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,LogReg,fleet,150000,75000,3.15,C_feature_ablation,CTT_Silverado,FS-B,0
118722,21816,0.18375701217971396,0.9981984278581133,0.9966294479786927,96923,0.024890421752929687,False,0.5588100476714338,1.0,0.0,0.9476172306615049,0.0,0.9040912737320617,0.2480106100795756,0.13703581991455802,0.1839323467230444,0.5882352941176471,1.0,0.6666666666666666,0.2857142857142857,1.0,True,0.8106894022735607,0.9995478693342376,8.255422780839164e-05,0.8838819250010101,11.940144006407968,0.9909082805954185,0.9374005305039788,0.3532697995399277,0.5179704016913319,0.8529411764705882,1.0,1.0,0.6428571428571429,1.0,True,0.9153373670700403,0.9955628676837173,0.000918415784368357,0.816800956732578,132.83410207128864,0.9997325964881005,0.9856763925729443,0.6046664475846204,0.8448731501057083,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.927026035936927,0.9947371009788009,0.001104162796937238,0.80536432269134,159.69942608570656,0.9999108654960335,0.9875331564986738,0.6418008544199802,0.8800211416490487,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9891822515584892,0.9567299166518887,0.01007161579262378,0.6106443045150581,1456.6975687817721,1.0,0.9970822281167109,0.9378902398948407,0.9904862579281184,1.0,1.0,1.0,1.0,1.0,RandomForest,fleet,150000,75000,169.11,C_feature_ablation,CTT_Silverado,FS-B,0
118722,21816,0.18375701217971396,0.995687806910081,0.9945759993119385,96923,0.024890421752929687,False,0.8827466079941327,0.999948076224103,1.0319278476048955e-05,0.9961120264760122,1.492518000800996,0.9998217309920671,0.9952254641909815,0.5011501807426881,0.7304439746300211,0.8823529411764706,1.0,1.0,0.7142857142857143,1.0,True,0.9024110744407774,0.9998476383951245,3.095783542814686e-05,0.9947214648618192,4.477554002402988,1.0,0.9952254641909815,0.5688465330266185,0.7888477801268499,0.8823529411764706,1.0,1.0,0.7142857142857143,1.0,True,0.9598459845984598,0.9963362991863729,0.0007945844426557695,0.9780807818517354,114.9238860616767,1.0,0.9957559681697613,0.8067696352283931,0.9281183932346723,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9642464246424642,0.9949392233836258,0.001104162796937238,0.9736622372182978,159.69942608570656,1.0,0.9957559681697613,0.8268156424581006,0.9373678646934461,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9877612761276128,0.9573503931760629,0.009906507337006997,0.7467499547853358,1432.8172807689562,1.0,0.9970822281167109,0.9293460400920145,0.9891649048625792,0.9705882352941176,1.0,1.0,0.9285714285714286,1.0,HistGB,fleet,150000,75000,79.06,C_feature_ablation,CTT_Silverado,FS-B,0
118722,21816,0.18375701217971396,0.9972122894436749,0.9951276387880716,96923,0.024890421752929687,False,0.8244407774110745,0.9999444042919886,1.0319278476048955e-05,0.9981883168220521,1.492518000800996,0.9863624208931278,0.983554376657825,0.3572132763720013,0.5615750528541226,0.8235294117647058,1.0,1.0,0.5714285714285714,1.0,True,0.8842134213421342,0.9996890547263682,6.191567085629373e-05,0.9945738911628723,8.955108004805975,0.9983064444246368,0.9941644562334218,0.5087085113374958,0.7383720930232558,0.8823529411764706,1.0,1.0,0.7142857142857143,1.0,True,0.938989732306564,0.996788477446353,0.000681072379419231,0.9735988974571228,98.50618805286572,1.0,0.9946949602122016,0.695695037791653,0.8982558139534884,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9437568756875687,0.9952627253830908,0.0010112892906527975,0.9675936102867126,146.26676407849757,1.0,0.9946949602122016,0.7147551758133421,0.9104122621564482,0.9117647058823529,1.0,1.0,0.7857142857142857,1.0,True,0.9858360836083608,0.9593630118654652,0.009400862691680598,0.6780335903167725,1359.6838987297074,1.0,0.996551724137931,0.9217877094972067,0.9846723044397463,0.9705882352941176,1.0,1.0,0.9285714285714286,1.0,XGBoost,fleet,150000,75000,17.96,C_feature_ablation,CTT_Silverado,FS-B,0
