n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources
125812,27607,0.2194305789590818,0.9731633015474878,0.9555699388262233,98229,0.039665574882341466,True,0.0,0.0,0.0,0.9934262019823987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934262019823987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934262019823987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934262019823987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.886985184916869,0.9855906621050513,0.003645435568453745,0.11651488426258284,330.8553597259447,0.9584,0.7416058394160584,0.8646616541353384,0.9042777368032874,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,HistGB,fleet,40000,952,9.65,B_fleet_size,CTT_Forester,FS-B,0,1,CIDv2_OpelAstra
125812,27607,0.2194305789590818,0.9880256368467374,0.9760522959054521,98229,0.039665574882341466,True,0.004853841417031912,1.0,0.0,0.9971068501472473,0.0,0.0008,0.06472019464720194,0.0,0.0,0.05263157894736842,0.0,0.0,0.5,0.5,True,0.004962509508458,1.0,0.0,0.9964805245399475,0.0,0.0024,0.06520681265206812,0.0,0.0,0.05263157894736842,0.0,0.0,0.5,0.5,True,0.0074618756112580144,0.9903846153846154,2.036556183493712e-05,0.9930349588394165,1.8483539649494114,0.052,0.06861313868613139,0.0,0.0,0.07894736842105263,0.0,0.0,0.5,1.0,True,0.006882312456985547,1.0,0.0,0.993937611579895,0.0,0.0392,0.06861313868613139,0.0,0.0,0.07894736842105263,0.0,0.0,0.5,1.0,True,0.9557720867895824,0.975452865064695,0.006761366529199124,0.001326751778833568,613.6535163632046,1.0,1.0,0.8703007518796992,0.9720261300179117,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,XGBoost,fleet,40000,952,6.49,B_fleet_size,CTT_Forester,FS-B,0,1,CIDv2_OpelAstra
125812,27607,0.2194305789590818,0.9992352182685471,0.9986216661263714,98229,0.039665574882341466,True,0.2433078567030101,1.0,0.0,319257.5678671902,0.0,0.9936,0.559610705596107,0.02481203007518797,0.2208934780318196,0.3157894736842105,0.5833333333333334,0.045454545454545456,1.0,1.0,True,0.2696417575252653,1.0,0.0,310422.3381528504,0.0,0.9936,0.6262773722627737,0.040225563909774435,0.247655673796228,0.3157894736842105,0.5833333333333334,0.045454545454545456,1.0,1.0,True,0.3409642481979208,1.0,0.0,205170.24144563076,0.0,0.9976,0.6627737226277373,0.24342105263157895,0.2902223158782004,0.7368421052631579,0.5833333333333334,0.7727272727272727,1.0,1.0,True,0.3409642481979208,1.0,0.0,216132.05943964855,0.0,0.9976,0.6627737226277373,0.24342105263157895,0.2902223158782004,0.7368421052631579,0.5833333333333334,0.7727272727272727,1.0,1.0,True,0.9978990835657623,0.9742202418841502,0.00742324728883458,5.533562528868404,673.7250202240605,1.0,1.0,0.9890977443609023,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,952,0.39,B_fleet_size,CTT_Forester,FS-B,0,1,CIDv2_OpelAstra
125812,27607,0.2194305789590818,0.9760094998371047,0.9558099806358304,98229,0.039665574882341466,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.9934518294400259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.773064802405187,0.9834569835491452,0.003655618349371213,0.1345206444988625,331.7795367084194,0.7144,0.678345498783455,0.862406015037594,0.7621430829206617,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,HistGB,fleet,40000,952,8.44,B_fleet_size,CTT_Forester,FS-B,1,1,CIDv2_OpelAstra
125812,27607,0.2194305789590818,0.9906986432101899,0.9762896182091663,98229,0.039665574882341466,True,0.0046002825370377075,1.0,0.0,0.9988822340965271,0.0,0.0,0.061800486618004864,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.5,True,0.0046002825370377075,1.0,0.0,0.998801589012146,0.0,0.0,0.061800486618004864,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.5,True,0.005143622994168146,1.0,0.0,0.9968078136444092,0.0,0.0016,0.0681265206812652,0.0,0.0,0.05263157894736842,0.0,0.0,0.5,0.5,True,0.0048900641141739415,1.0,0.0,0.9978867173194885,0.0,0.0008,0.06520681265206812,0.0,0.0,0.05263157894736842,0.0,0.0,0.5,0.5,True,0.8757199261056978,0.9742887079874265,0.006496614225344942,0.005290808621793985,589.6249148188623,1.0,1.0,0.8832706766917293,0.8519650194921504,1.0,1.0,1.0,1.0,1.0,XGBoost,fleet,40000,952,7.09,B_fleet_size,CTT_Forester,FS-B,1,1,CIDv2_OpelAstra
125812,27607,0.2194305789590818,0.9992315358766433,0.9986193324145404,98229,0.039665574882341466,True,0.2433078567030101,1.0,0.0,317219.2707090356,0.0,0.9936,0.559610705596107,0.02481203007518797,0.2208934780318196,0.3157894736842105,0.5833333333333334,0.045454545454545456,1.0,1.0,True,0.2696417575252653,1.0,0.0,308440.4494417647,0.0,0.9936,0.6262773722627737,0.040225563909774435,0.247655673796228,0.3157894736842105,0.5833333333333334,0.045454545454545456,1.0,1.0,True,0.3409642481979208,1.0,0.0,203860.32030041167,0.0,0.9976,0.6627737226277373,0.24342105263157895,0.2902223158782004,0.7368421052631579,0.5833333333333334,0.7727272727272727,1.0,1.0,True,0.3409642481979208,1.0,0.0,214752.1526630326,0.0,0.9976,0.6627737226277373,0.24342105263157895,0.2902223158782004,0.7368421052631579,0.5833333333333334,0.7727272727272727,1.0,1.0,True,0.9978990835657623,0.974116898270924,0.007453795631586987,5.497583264665133,676.4975511714846,1.0,1.0,0.9890977443609023,1.0,1.0,1.0,1.0,1.0,1.0,Rule:Combined,fleet,40000,952,0.34,B_fleet_size,CTT_Forester,FS-B,1,1,CIDv2_OpelAstra
125812,27607,0.2194305789590818,0.821860274530053,0.7061383057605652,98229,0.039665574882341466,True,0.3257144927011265,0.9998888024018682,1.018278091746856e-05,0.9947471561383178,0.9241769824747057,0.9952,0.6462287104622871,0.2343984962406015,0.2725213360025287,0.7631578947368421,0.8333333333333334,0.6818181818181818,1.0,1.0,True,0.3257144927011265,0.9998888024018682,1.018278091746856e-05,0.9947471561383178,0.9241769824747057,0.9952,0.6462287104622871,0.2343984962406015,0.2725213360025287,0.7631578947368421,0.8333333333333334,0.6818181818181818,1.0,1.0,True,0.3487159053863151,0.9934984520123838,0.0006415151978005193,0.9936480162212833,58.22314989590647,0.9952,0.6462287104622871,0.2657894736842105,0.2971762722579286,0.8157894736842105,0.8333333333333334,0.7727272727272727,1.0,1.0,True,0.3487159053863151,0.9934984520123838,0.0006415151978005193,0.9936480162212833,58.22314989590647,0.9952,0.6462287104622871,0.2657894736842105,0.2971762722579286,0.8157894736842105,0.8333333333333334,0.7727272727272727,1.0,1.0,True,0.4736479878291738,0.982124079915878,0.0024235018583575172,0.9362519458499021,219.95412182897996,0.9984,0.6944038929440389,0.5550751879699248,0.3923717205773891,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,HistGB,fleet,10934,1058,12.56,B_fleet_size,CTT_Forester,FS-B,0,1,CIDv2_Prototype
125812,27607,0.2194305789590818,0.9033266383955532,0.8514378045523162,98229,0.039665574882341466,True,0.15228021878509074,1.0,0.0,0.941222906112671,0.0,0.0032,0.06082725060827251,0.0015037593984962407,0.21425561057844272,0.23684210526315788,0.5,0.045454545454545456,0.5,0.5,True,0.17039156735610533,1.0,0.0,0.8951694369316101,0.0,0.0104,0.06569343065693431,0.004511278195488722,0.23875250237066695,0.2631578947368421,0.5,0.09090909090909091,0.5,0.5,True,0.3918571376824718,0.9959491806297183,0.0004480423603686167,0.7026012539863586,40.66378722888705,0.2448,0.31532846715328466,0.10169172932330828,0.4911495100621642,0.5526315789473685,0.75,0.36363636363636365,1.0,1.0,True,0.3862426196254573,0.9960765997197571,0.00042767679853367954,0.7119367718696594,38.81543326393764,0.2032,0.3119221411192214,0.10056390977443609,0.48640817616689497,0.5263157894736842,0.75,0.3181818181818182,1.0,1.0,True,0.6971782518926359,0.9850555299657096,0.00297337202790082,0.13147127628326416,269.8596788826141,1.0,1.0,0.6426691729323308,0.659730270782847,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,XGBoost,fleet,10934,1058,4.19,B_fleet_size,CTT_Forester,FS-B,0,1,CIDv2_Prototype
125812,27607,0.2194305789590818,0.43868252755684434,0.3236544816753286,98229,0.039665574882341466,True,0.14735393197377478,1.0,0.0,4316.676603246211,0.0,0.3608,1.0,0.0,0.08228848382678326,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.14735393197377478,0.9992630803242447,3.054834275240568e-05,1053.2736660927126,2.772530947424117,0.3608,1.0,0.0,0.08228848382678326,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.14735393197377478,0.9990176817288802,4.073112366987424e-05,692.6976267744559,3.696707929898823,0.3608,1.0,0.0,0.08228848382678326,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.14735393197377478,0.9990176817288802,4.073112366987424e-05,729.5971093982022,3.696707929898823,0.3608,1.0,0.0,0.08228848382678326,0.18421052631578946,0.3333333333333333,0.0,0.5,1.0,True,0.14920128952801825,0.9395529197080292,0.0026984369431291687,15.5,244.90690035579703,0.3736,1.0,0.0009398496240601503,0.08386892845853967,0.3157894736842105,0.5,0.09090909090909091,1.0,1.0,Rule:Combined,fleet,10934,1058,0.31,B_fleet_size,CTT_Forester,FS-B,0,1,CIDv2_Prototype
125812,27607,0.2194305789590818,0.821860274530053,0.7061383057605652,98229,0.039665574882341466,True,0.3257144927011265,0.9998888024018682,1.018278091746856e-05,0.9947471561383178,0.9241769824747057,0.9952,0.6462287104622871,0.2343984962406015,0.2725213360025287,0.7631578947368421,0.8333333333333334,0.6818181818181818,1.0,1.0,True,0.3257144927011265,0.9998888024018682,1.018278091746856e-05,0.9947471561383178,0.9241769824747057,0.9952,0.6462287104622871,0.2343984962406015,0.2725213360025287,0.7631578947368421,0.8333333333333334,0.6818181818181818,1.0,1.0,True,0.3487159053863151,0.9934984520123838,0.0006415151978005193,0.9936480162212833,58.22314989590647,0.9952,0.6462287104622871,0.2657894736842105,0.2971762722579286,0.8157894736842105,0.8333333333333334,0.7727272727272727,1.0,1.0,True,0.3487159053863151,0.9934984520123838,0.0006415151978005193,0.9936480162212833,58.22314989590647,0.9952,0.6462287104622871,0.2657894736842105,0.2971762722579286,0.8157894736842105,0.8333333333333334,0.7727272727272727,1.0,1.0,True,0.4736479878291738,0.982124079915878,0.0024235018583575172,0.9362519458499021,219.95412182897996,0.9984,0.6944038929440389,0.5550751879699248,0.3923717205773891,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,HistGB,fleet,10934,1058,8.07,B_fleet_size,CTT_Forester,FS-B,1,1,CIDv2_Prototype
