n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources
5994,1058,0.17650984317650983,0.8745421547030727,0.750766992171224,4940,0.05043064462733162,False,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,False,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6134215500945179,0.9923547400611621,0.001012965964343598,0.9634001656147865,72.31074475816997,1.0,1.0,0.7692307692307693,0.0,0.038461538461538464,0.6666666666666666,1.0,1.0,0.5,0.0,1.0,HistGB,fleet,17309,864,9.04,B_fleet_size,CIDv2_Prototype,FS-B,0,1,CIDv2_RenaultClio
5994,1058,0.17650984317650983,0.8376053752684648,0.7449839815730601,4940,0.05043064462733162,False,0.5916824196597353,0.9984051036682615,0.0002025931928687196,0.9652857184410096,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,False,0.5916824196597353,0.9984051036682615,0.0002025931928687196,0.9652857184410096,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,True,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.9529945850372314,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.019230769230769232,0.5,0.0,1.0,0.5,0.0,1.0,True,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.9529945850372314,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.019230769230769232,0.5,0.0,1.0,0.5,0.0,1.0,True,0.6011342155009451,0.9177489177489178,0.011547811993517018,0.8815255761146545,824.3424902431377,0.5,0.9984051036682615,0.15384615384615385,0.0,0.057692307692307696,0.6666666666666666,1.0,1.0,0.5,0.0,1.0,XGBoost,fleet,17309,864,4.49,B_fleet_size,CIDv2_Prototype,FS-B,0,1,CIDv2_RenaultClio
5994,1058,0.17650984317650983,0.8975779390183,0.7652809781110348,4940,0.05043064462733162,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.6049149338374291,0.9580838323353293,0.005672609400324149,984375.0,404.94017064575183,0.0,0.9968102073365231,0.0,0.0,0.28846153846153844,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,Rule:Combined,fleet,17309,864,0.03,B_fleet_size,CIDv2_Prototype,FS-B,0,1,CIDv2_RenaultClio
5994,1058,0.17650984317650983,0.8745421547030727,0.750766992171224,4940,0.05043064462733162,False,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,False,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.611531190926276,1.0,0.0,0.996262608671808,0.0,1.0,1.0,0.7692307692307693,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6134215500945179,0.9923547400611621,0.001012965964343598,0.9634001656147865,72.31074475816997,1.0,1.0,0.7692307692307693,0.0,0.038461538461538464,0.6666666666666666,1.0,1.0,0.5,0.0,1.0,HistGB,fleet,17309,864,7.9,B_fleet_size,CIDv2_Prototype,FS-B,1,1,CIDv2_RenaultClio
5994,1058,0.17650984317650983,0.8376053752684648,0.7449839815730601,4940,0.05043064462733162,False,0.5916824196597353,0.9984051036682615,0.0002025931928687196,0.9652857184410096,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,False,0.5916824196597353,0.9984051036682615,0.0002025931928687196,0.9652857184410096,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,True,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.9529945850372314,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.019230769230769232,0.5,0.0,1.0,0.5,0.0,1.0,True,0.5926275992438563,0.9984076433121019,0.0002025931928687196,0.9529945850372314,14.462148951633994,0.0,0.9968102073365231,0.07692307692307693,0.0,0.019230769230769232,0.5,0.0,1.0,0.5,0.0,1.0,True,0.6011342155009451,0.9177489177489178,0.011547811993517018,0.8815255761146545,824.3424902431377,0.5,0.9984051036682615,0.15384615384615385,0.0,0.057692307692307696,0.6666666666666666,1.0,1.0,0.5,0.0,1.0,XGBoost,fleet,17309,864,2.95,B_fleet_size,CIDv2_Prototype,FS-B,1,1,CIDv2_RenaultClio
5994,1058,0.17650984317650983,0.8975779390183,0.7652809781110348,4940,0.05043064462733162,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.6049149338374291,0.9580838323353293,0.005672609400324149,984375.0,404.94017064575183,0.0,0.9968102073365231,0.0,0.0,0.28846153846153844,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,Rule:Combined,fleet,17309,864,0.03,B_fleet_size,CIDv2_Prototype,FS-B,1,1,CIDv2_RenaultClio
5994,1058,0.17650984317650983,0.719309716354211,0.6852717934313268,4940,0.05043064462733162,False,0.6068052930056711,0.9968944099378882,0.0004051863857374392,0.9766645217947834,28.924297903267988,0.8,0.9984051036682615,0.6153846153846154,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,False,0.6068052930056711,0.9968944099378882,0.0004051863857374392,0.9766645217947834,28.924297903267988,0.8,0.9984051036682615,0.6153846153846154,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6068052930056711,0.9861751152073732,0.0018233387358184765,0.9676475313636832,130.15934056470596,0.8,0.9984051036682615,0.6153846153846154,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6068052930056711,0.9922720247295209,0.001012965964343598,0.9721472547337501,72.31074475816997,0.8,0.9984051036682615,0.6153846153846154,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6068052930056711,0.9344978165938864,0.009116693679092382,0.9545805343360945,650.7967028235297,0.8,0.9984051036682615,0.6153846153846154,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,HistGB,fleet,40000,20000,12.23,B_fleet_size,CIDv2_Prototype,FS-B,0,1,CTT_Forester
5994,1058,0.17650984317650983,0.7777497143014709,0.706435438929811,4940,0.05043064462733162,False,0.5973534971644613,0.9968454258675079,0.0004051863857374392,0.9979788661003114,28.924297903267988,0.4,0.9968102073365231,0.23076923076923078,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,False,0.5973534971644613,0.9968454258675079,0.0004051863857374392,0.9979788661003114,28.924297903267988,0.4,0.9968102073365231,0.23076923076923078,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.5982986767485823,0.9890625,0.0014181523500810373,0.9978492259979248,101.23504266143796,0.5,0.9968102073365231,0.23076923076923078,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.5973534971644613,0.9952755905511811,0.0006077795786061589,0.9979548454284668,43.386446854902,0.4,0.9968102073365231,0.23076923076923078,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.5982986767485823,0.9391691394658753,0.008306320907617504,0.997800886631012,592.9481070169938,0.5,0.9968102073365231,0.23076923076923078,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,XGBoost,fleet,40000,20000,6.38,B_fleet_size,CIDv2_Prototype,FS-B,0,1,CTT_Forester
5994,1058,0.17650984317650983,0.8912785928313414,0.7629545798064914,4940,0.05043064462733162,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.6049149338374291,0.9580838323353293,0.005672609400324149,984375.0,404.94017064575183,0.0,0.9968102073365231,0.0,0.0,0.28846153846153844,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,Rule:Combined,fleet,40000,20000,0.04,B_fleet_size,CIDv2_Prototype,FS-B,0,1,CTT_Forester
5994,1058,0.17650984317650983,0.8529708625797735,0.8000168954647451,4940,0.05043064462733162,False,0.6351606805293005,0.9940828402366864,0.0008103727714748784,0.9825956732614595,57.848595806535975,0.8,0.9984051036682615,0.6153846153846154,0.08426966292134831,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.6351606805293005,0.9940828402366864,0.0008103727714748784,0.9825956732614595,57.848595806535975,0.8,0.9984051036682615,0.6153846153846154,0.08426966292134831,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6351606805293005,0.9940828402366864,0.0008103727714748784,0.9825956732614594,57.848595806535975,0.8,0.9984051036682615,0.6153846153846154,0.08426966292134831,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6351606805293005,0.9940828402366864,0.0008103727714748784,0.9825956732614594,57.848595806535975,0.8,0.9984051036682615,0.6153846153846154,0.08426966292134831,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6814744801512287,0.944954128440367,0.008508914100486223,0.9802933908912572,607.4102559686278,0.8,0.9984051036682615,0.6153846153846154,0.21348314606741572,0.057692307692307696,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,40000,20000,11.36,B_fleet_size,CIDv2_Prototype,FS-B,1,1,CTT_Forester
