n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed
5994,1058,0.17650984317650983,0.8921403798488325,0.5847947823848805,4940,0.05043064462733162,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogReg,fleet,150000,75000,2.03,C_feature_ablation,CIDv2_Prototype,FS-B34,0
5994,1058,0.17650984317650983,0.9699575167053215,0.9600034572788398,4940,0.05043064462733162,False,0.9130434782608695,0.9989658738366081,0.0002025931928687196,0.49431442737797543,14.462148951633994,0.8,0.9984051036682615,0.6923076923076923,0.9073033707865169,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.9130434782608695,0.9989658738366081,0.0002025931928687196,0.49431442737797543,14.462148951633994,0.8,0.9984051036682615,0.6923076923076923,0.9073033707865169,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9130434782608695,0.9989658738366081,0.0002025931928687196,0.4943144273779754,14.462148951633994,0.8,0.9984051036682615,0.6923076923076923,0.9073033707865169,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9130434782608695,0.9989658738366081,0.0002025931928687196,0.49431442737797543,14.462148951633994,0.8,0.9984051036682615,0.6923076923076923,0.9073033707865169,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9319470699432892,0.9328287606433302,0.014384116693679092,0.4603486258822983,1026.8125755660137,0.8,0.9984051036682615,0.7692307692307693,0.952247191011236,0.057692307692307696,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,RandomForest,fleet,150000,75000,136.68,C_feature_ablation,CIDv2_Prototype,FS-B34,0
5994,1058,0.17650984317650983,0.9660395022258442,0.9617138212476605,4940,0.05043064462733162,False,0.9026465028355387,0.9989539748953975,0.0002025931928687196,0.9286267198805838,14.462148951633994,1.0,1.0,0.7692307692307693,0.8651685393258427,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.9026465028355387,0.9989539748953975,0.0002025931928687196,0.9286267198805838,14.462148951633994,1.0,1.0,0.7692307692307693,0.8651685393258427,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9120982986767486,0.9948453608247423,0.001012965964343598,0.898787988522295,72.31074475816997,1.0,1.0,0.7692307692307693,0.8932584269662921,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9026465028355387,0.9968684759916493,0.0006077795786061589,0.9125460222751844,43.386446854902,1.0,1.0,0.7692307692307693,0.8651685393258427,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.941398865784499,0.9494756911344138,0.01073743922204214,0.7940063219485625,766.4938944366017,1.0,1.0,0.7692307692307693,0.9803370786516854,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,HistGB,fleet,150000,75000,35.94,C_feature_ablation,CIDv2_Prototype,FS-B34,0
5994,1058,0.17650984317650983,0.9813707133731422,0.968330215173693,4940,0.05043064462733162,False,0.9319470699432892,1.0,0.0,0.8879474997520448,0.0,1.0,0.9984051036682615,0.7692307692307693,0.9550561797752809,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.9319470699432892,1.0,0.0,0.8879474997520448,0.0,1.0,0.9984051036682615,0.7692307692307693,0.9550561797752809,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9347826086956522,1.0,0.0,0.870850145816803,0.0,1.0,1.0,0.7692307692307693,0.9606741573033708,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9319470699432892,1.0,0.0,0.8879474997520447,0.0,1.0,0.9984051036682615,0.7692307692307693,0.9550561797752809,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9385633270321361,0.9612778315585673,0.008103727714748784,0.7629572153091431,578.4859580653598,1.0,1.0,0.7692307692307693,0.9662921348314607,0.038461538461538464,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,150000,75000,12.32,C_feature_ablation,CIDv2_Prototype,FS-B34,0
5994,1058,0.17650984317650983,0.9619547026131074,0.9605573111202174,4940,0.05043064462733162,False,0.9017013232514177,1.0,0.0,0.9025851054261688,0.0,1.0,1.0,0.7692307692307693,0.8595505617977528,0.019230769230769232,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,False,0.9017013232514177,1.0,0.0,0.9025851054261688,0.0,1.0,1.0,0.7692307692307693,0.8595505617977528,0.019230769230769232,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9215500945179584,0.9878419452887538,0.0024311183144246355,0.8507864069664727,173.545787419608,1.0,1.0,0.7692307692307693,0.9185393258426966,0.019230769230769232,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9073724007561437,0.9917355371900827,0.0016207455429497568,0.8691347896983677,115.69719161307195,1.0,1.0,0.7692307692307693,0.8764044943820225,0.019230769230769232,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9404536862003781,0.9494274809160306,0.01073743922204214,0.7094711574676899,766.4938944366017,1.0,1.0,0.7692307692307693,0.9691011235955056,0.057692307692307696,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,LightGBM,fleet,150000,75000,20.39,C_feature_ablation,CIDv2_Prototype,FS-B34,0
5994,1058,0.17650984317650983,0.9041014206799778,0.7699821054468886,4940,0.05043064462733162,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1000000.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.5916824196597353,0.9936507936507937,0.0008103727714748784,1000000.0,57.848595806535975,0.0,0.9968102073365231,0.0,0.0,0.019230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.6049149338374291,0.9580838323353293,0.005672609400324149,984375.0,404.94017064575183,0.0,0.9968102073365231,0.0,0.0,0.28846153846153844,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,Rule:Combined,fleet,150000,75000,0.09,C_feature_ablation,CIDv2_Prototype,FS-B34,0
5994,1058,0.17650984317650983,0.9291401584899186,0.7609871857047693,4940,0.05043064462733162,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogReg,fleet,150000,75000,1.75,C_feature_ablation,CIDv2_Prototype,FS-B,0
5994,1058,0.17650984317650983,0.9626435769149463,0.9552653851335147,4940,0.05043064462733162,False,0.9111531190926276,1.0,0.0,0.5440338503860145,0.0,0.7,0.9984051036682615,0.38461538461538464,0.9157303370786517,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.9111531190926276,1.0,0.0,0.5440338503860145,0.0,0.7,0.9984051036682615,0.38461538461538464,0.9157303370786517,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9196597353497165,0.9908350305498982,0.0018233387358184765,0.5293855035589544,130.15934056470596,0.7,0.9984051036682615,0.46153846153846156,0.9382022471910112,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9130434782608695,0.9989658738366081,0.0002025931928687196,0.5405373156745543,14.462148951633994,0.7,0.9984051036682615,0.38461538461538464,0.9213483146067416,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9310018903591682,0.9600389863547758,0.008306320907617504,0.4953309447316304,592.9481070169938,0.8,0.9984051036682615,0.6153846153846154,0.9634831460674157,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,RandomForest,fleet,150000,75000,157.51,C_feature_ablation,CIDv2_Prototype,FS-B,0
5994,1058,0.17650984317650983,0.9610193846069003,0.9474271319647646,4940,0.05043064462733162,False,0.780718336483932,1.0,0.0,0.9712591045429141,0.0,1.0,1.0,0.7692307692307693,0.5028089887640449,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.780718336483932,1.0,0.0,0.9712591045429141,0.0,1.0,1.0,0.7692307692307693,0.5028089887640449,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.8468809073724007,0.996662958843159,0.0006077795786061589,0.9541021042679453,43.386446854902,1.0,1.0,0.8461538461538461,0.6966292134831461,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.8355387523629489,0.9966178128523112,0.0006077795786061589,0.9578442907104717,43.386446854902,1.0,1.0,0.8461538461538461,0.6629213483146067,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.9026465028355387,0.9530938123752495,0.009521880064829822,0.9044769415176247,679.7210007267978,1.0,1.0,0.9230769230769231,0.8567415730337079,0.019230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,HistGB,fleet,150000,75000,68.66,C_feature_ablation,CIDv2_Prototype,FS-B,0
5994,1058,0.17650984317650983,0.9619539366653084,0.9583220328845059,4940,0.05043064462733162,False,0.9168241965973535,0.9989701338825953,0.0002025931928687196,0.9530872702598573,14.462148951633994,1.0,0.9984051036682615,0.7692307692307693,0.9101123595505618,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,False,0.9168241965973535,0.9989701338825953,0.0002025931928687196,0.9530872702598573,14.462148951633994,1.0,0.9984051036682615,0.7692307692307693,0.9101123595505618,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9300567107750473,0.9939393939393939,0.0012155591572123178,0.9238243699073792,86.772893709804,1.0,0.9984051036682615,0.7692307692307693,0.949438202247191,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9224952741020794,0.9979550102249489,0.0004051863857374392,0.942523717880249,28.924297903267988,1.0,0.9984051036682615,0.7692307692307693,0.9269662921348315,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.9347826086956522,0.9601941747572815,0.008306320907617504,0.8802120089530945,592.9481070169938,1.0,0.9984051036682615,0.7692307692307693,0.9634831460674157,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,XGBoost,fleet,150000,75000,17.11,C_feature_ablation,CIDv2_Prototype,FS-B,0
