n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,recall[spoofing]@fa1,event_recall[spoofing]@fa1,recall[spoofing]@fa10,event_recall[spoofing]@fa10,recall[spoofing]@fa100,event_recall[spoofing]@fa100,recall[spoofing]@fpr0.001,event_recall[spoofing]@fpr0.001,recall[spoofing]@fpr0.01,event_recall[spoofing]@fpr0.01,recall[timing]@fa1,event_recall[timing]@fa1,recall[timing]@fa10,event_recall[timing]@fa10,recall[timing]@fa100,event_recall[timing]@fa100,recall[timing]@fpr0.001,event_recall[timing]@fpr0.001,recall[timing]@fpr0.01,event_recall[timing]@fpr0.01,recall[masquerade]@fa1,event_recall[masquerade]@fa1,recall[masquerade]@fa10,event_recall[masquerade]@fa10,recall[masquerade]@fa100,event_recall[masquerade]@fa100,recall[masquerade]@fpr0.001,event_recall[masquerade]@fpr0.001,recall[masquerade]@fpr0.01,event_recall[masquerade]@fpr0.01
59474,952,0.0160069946531257,0.928757157403134,0.7263102651542092,58526,0.0328857999568248,False,0.6859243697478992,0.9746268656716418,0.0002904890468541,0.6197077035903932,31.79976068844265,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6859243697478992,0.9702823179791976,0.0003417518198284,0.5300371646881104,37.4114831628737,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6859243697478992,0.8848238482384824,0.0014524452342708,0.3467300534248352,158.99880344221324,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6859243697478992,0.8848238482384824,0.0014524452342708,0.3455224633216858,158.99880344221324,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6911764705882353,0.5843694493783304,0.0079969925839855,0.1819069236516952,875.4287060112446,1.0,1.0,1.0,1.0,0.0167224080267558,1.0,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.07,C_feature_ablation,CIDv2_OpelAstra,FS-B34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8601572374276254,0.6952264052015225,58526,0.0328857999568248,False,0.6428571428571429,0.99836867862969,1.708759099142203e-05,0.9944506357733204,1.8705741581436848,0.0,0.9728434504792332,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6596638655462185,0.988976377952756,0.0001196131369399,0.9805192861995602,13.094019107005796,0.0,0.9968051118210862,0.0714285714285714,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6691176470588235,0.8909090909090909,0.0013328320973309,0.8906197199763138,145.90478433520744,0.3,0.9984025559105432,0.4285714285714285,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6701680672268907,0.8775790921595599,0.0015207955982365,0.8817927913184436,166.481100074788,0.4,0.9984025559105432,0.4285714285714285,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6827731092436975,0.4713560551124003,0.0124568538327466,0.4291010040355576,1363.6485612867466,1.0,1.0,0.7142857142857143,1.0,0.0033444816053511,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,RandomForest,fleet,150000,75000,134.91,C_feature_ablation,CIDv2_OpelAstra,FS-B34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8399194898047391,0.7002759522320259,58526,0.0328857999568248,False,0.6817226890756303,0.995398773006135,5.126277297426609e-05,0.9990365463967168,5.611722474431056,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.993874425727412,6.835036396568812e-05,0.9978134911248276,7.482296632574741,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.9392185238784372,0.0007176788216397,0.9473450135645988,78.56411464203478,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.9127988748241912,0.0010594306414681,0.9231981465328112,115.97559780490847,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6869747899159664,0.492099322799097,0.0115341239192098,0.1483928342284867,1262.6375567469877,1.0,1.0,0.7142857142857143,1.0,0.0167224080267558,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,150000,75000,50.48,C_feature_ablation,CIDv2_OpelAstra,FS-B34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8476752368354471,0.6988576740175138,58526,0.0328857999568248,False,0.6733193277310925,0.9922600619195048,8.543795495711015e-05,0.999156713485718,9.352870790718423,0.4,1.0,0.5714285714285714,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6796218487394958,0.9923312883435584,8.543795495711015e-05,0.998586654663086,9.352870790718423,1.0,1.0,0.5714285714285714,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.9140845070422536,0.0010423430504767,0.9618855714797974,114.10502364676478,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.9001386962552012,0.0012303065513823,0.9540936350822448,134.68133938634534,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6848739495798319,0.4883895131086142,0.0116708246471412,0.2331072241067886,1277.602150012137,1.0,1.0,0.7142857142857143,1.0,0.0100334448160535,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,150000,75000,14.98,C_feature_ablation,CIDv2_OpelAstra,FS-B34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8530241733411179,0.6994405208611976,58526,0.0328857999568248,False,0.6796218487394958,0.9938556067588326,6.835036396568812e-05,0.998903575795454,7.482296632574741,0.8,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.680672268907563,0.9938650306748468,6.835036396568812e-05,0.9987257053030236,7.482296632574741,0.9,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.9392185238784372,0.0007176788216397,0.9802714588625938,78.56411464203478,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.9192634560906516,0.000973992686511,0.9718943765395824,106.62272701419006,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6848739495798319,0.481180811808118,0.0120125764669696,0.2574989926385242,1315.013633175011,1.0,1.0,0.7142857142857143,1.0,0.0100334448160535,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,LightGBM,fleet,150000,75000,37.88,C_feature_ablation,CIDv2_OpelAstra,FS-B34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8425294757354772,0.6864775216386821,58526,0.0328857999568248,False,0.6649159663865546,0.9738461538461538,0.0002904890468541,15625.000000000002,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541,15625.000000000002,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541,15625.000000000002,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541,15625.000000000002,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541,15625.000000000002,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,Rule:Combined,fleet,150000,75000,0.22,C_feature_ablation,CIDv2_OpelAstra,FS-B34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9031531523446328,0.7149086091592308,58526,0.0328857999568248,False,0.6838235294117647,0.9760119940029984,0.0002734014558627,0.8105046749114991,29.929186530298963,0.8,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6859243697478992,0.9674074074074074,0.0003759270018112,0.6777409315109253,41.15263147916108,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6859243697478992,0.8896457765667575,0.0013840948703051,0.5138969421386719,151.51650680963849,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6859243697478992,0.8884353741496599,0.0014011824612966,0.5127257108688354,153.3870809677822,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.6880252100840336,0.6070435588507878,0.0072451385803629,0.3001773059368133,793.1234430529227,1.0,1.0,1.0,1.0,0.0066889632107023,1.0,1.0,1.0,1.0,1.0,1.0,LogReg,fleet,150000,75000,2.45,C_feature_ablation,CIDv2_OpelAstra,FS-B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9935467599773582,0.8325344092193696,58526,0.0328857999568248,False,0.6586134453781513,0.993660855784469,6.835036396568812e-05,0.9771918421837896,7.482296632574741,0.0,0.9968051118210862,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6596638655462185,0.98125,0.000205051091897,0.9604387091242912,22.446889897724223,0.0,0.9968051118210862,0.0714285714285714,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.667016806722689,0.8943661971830986,0.0012815693243566,0.8773822340614432,140.29306186077636,0.3,0.9968051118210862,0.3571428571428571,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6712184873949579,0.8753424657534247,0.0015549707802194,0.8666713541051221,170.22224839107534,0.4,0.9984025559105432,0.5,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.842436974789916,0.5234986945169713,0.012473941423738,0.4212458370671521,1365.5191354448905,1.0,1.0,0.7142857142857143,1.0,0.5117056856187291,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,RandomForest,fleet,150000,75000,156.16,C_feature_ablation,CIDv2_OpelAstra,FS-B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9970632497898512,0.915069407836532,58526,0.0328857999568248,False,0.6817226890756303,0.993874425727412,6.835036396568812e-05,0.9991182214776448,7.482296632574741,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.992354740061162,8.543795495711015e-05,0.9982582979503124,9.352870790718423,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6817226890756303,0.9127988748241912,0.0010594306414681,0.9414995666862054,115.97559780490847,1.0,1.0,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6827731092436975,0.8953168044077136,0.001298656915348,0.9158790552781596,142.1636360189201,1.0,1.0,0.7142857142857143,1.0,0.0033444816053511,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9789915966386554,0.58801261829653,0.0111581969173985,0.197422839351698,1221.4849252678264,1.0,1.0,0.7142857142857143,1.0,0.9464882943143812,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,150000,75000,48.06,C_feature_ablation,CIDv2_OpelAstra,FS-B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9963884873863424,0.9001701398139135,58526,0.0328857999568248,False,0.6775210084033614,0.9923076923076924,8.543795495711015e-05,0.9991826415061952,9.352870790718423,0.7,0.9984025559105432,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6796218487394958,0.9923312883435584,8.543795495711015e-05,0.9984604120254515,9.352870790718423,0.9,0.9984025559105432,0.7142857142857143,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.6827731092436975,0.935251798561151,0.0007689415946139,0.9763992428779602,84.17583711646583,1.0,1.0,0.7142857142857143,1.0,0.0033444816053511,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.6838235294117647,0.9247159090909092,0.0009056423225453,0.9702736139297484,99.14043038161532,1.0,1.0,0.7142857142857143,1.0,0.0066889632107023,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9695378151260504,0.5641809290953546,0.0121834523768839,0.232168436050415,1333.7193747564477,1.0,1.0,0.7142857142857143,1.0,0.9163879598662208,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,150000,75000,18.01,C_feature_ablation,CIDv2_OpelAstra,FS-B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
