feature_set,model,CIDv2_OpelAstra,CIDv2_Prototype,CIDv2_RenaultClio,CTT_Forester,CTT_Impala,CTT_Silverado,CTT_Traverse,ROAD_ORNL
FS-A,CatBoost,0.6793770306677294,0.932495366322802,0.7828425682465384,0.5131589246963063,0.4002544186321631,0.8325607171128444,0.7421610309389401,0.1206060652004744
FS-A,Ens:RankAvg-Hybrid,0.688837711972607,0.9329229553591288,0.790335815154712,0.4483414074720769,0.5558122559952262,0.83564130561802,0.7474621999922345,0.1013184150704063
FS-A,Ens:RankAvg-Trees,0.680271946230529,0.9399251143721328,0.7901355218224128,0.4391340382496307,0.4380803836062862,0.8296691940066384,0.7460097595419504,0.1085811926126913
FS-A,Ens:Stack-Trees,0.6802835253352275,0.9352580683565968,0.8141716384429313,0.4637977281876246,0.4315466191425,0.8217751088956993,0.4620610391938905,0.0925498231010595
FS-A,ExtraTrees,0.6908733611220806,0.9158947942924018,0.8098505576310178,0.5645730028384046,0.4383290217584287,0.8104313667171612,0.6514817288139114,0.0914710280245518
FS-A,HistGB,0.6795800698764367,0.932605476799633,0.7804626146644865,0.4696495253144773,0.3008327801768281,0.8171538372870919,0.7532621260260319,0.1134586364509792
FS-A,IForest,0.6831552768745709,0.1743355527507961,0.7623668653610951,0.2893645114895444,0.1089434281899494,0.6930864062755052,0.5934570709193576,0.1078393213751062
FS-A,IForest@target,0.6733603125907666,0.9279492381089142,0.8507392688621416,0.6426514780521713,0.5788734594592814,0.8198675851296544,0.7005384933327315,0.1369338952557898
FS-A,LightGBM,0.6780819703924448,0.9392577547485452,0.7894695811528722,0.4504807261153644,0.4467078548483238,0.816900750517362,0.7420146004664502,0.1075898422779287
FS-A,LogReg,0.6769737429860703,0.915915339412482,0.0736068928137775,0.32791129406414,0.5863691136052469,0.7450252125552891,0.7006258150823981,0.1056147851197714
FS-A,NN:CNN1D,0.6879100078738579,0.2749081106213336,0.0951018161805173,0.2262433378583393,0.1321009168723273,0.1826954177877307,0.1919554588807516,0.1051520849463554
FS-A,NN:LSTM,0.6963038509582208,0.9399542680637264,0.1090412501473293,0.5301000702344001,0.8146104173492258,0.5971595088889096,0.737337628278079,0.1469554949591305
FS-A,NN:MLP,0.6875392698799482,0.8722173110661086,0.0542662327869807,0.438945735381122,0.5392068732238788,0.7470288374251328,0.7258482469549298,0.0916904264478569
FS-A,NN:Transformer,0.6913917248060581,0.941696042622018,0.0994661829521917,0.5445347133381493,0.6422110773053354,0.142898873704665,0.6041439167056043,0.1128034444373723
FS-A,RandomForest,0.6877072594647501,0.9161343620022936,0.8052521213186897,0.534072926996749,0.4300782125605863,0.8300648650780272,0.7217084891697819,0.1201396436093121
FS-A,XGBoost,0.6787300736511108,0.9372210037613298,0.7856028595396384,0.4243661762529681,0.2595850429093679,0.828978697216502,0.7451785700235168,0.1016744955810929
FS-B,CatBoost,0.7697273379979543,0.951042964352298,0.8634042996448836,0.9996050011544408,0.999793431140952,0.9958408546893516,0.999439031309632,0.2842853679657814
FS-B,Ens:RankAvg-Hybrid,0.8752170223600975,0.9419338644004628,0.8911949328051266,0.999753157381606,0.9449620844863912,0.994861931186206,0.9995250649152696,0.4075053115557315
FS-B,Ens:RankAvg-Trees,0.8956206552915553,0.9602241255180006,0.884187245263586,0.99964624767473,0.9991852855784956,0.9959230042120216,0.999545050338048,0.3182443977599181
FS-B,Ens:Stack-Trees,0.8478565052279441,0.9603637879235172,0.8617222879046164,0.9994865865159068,0.9983855839857344,0.9965091751821624,0.999219901794778,0.324657514810101
FS-B,ExtraTrees,0.6993582537688023,0.9429630965644,0.8315163860682456,0.9994400050672658,0.99939054630645,0.9963496430914304,0.9991364467115053,0.3929995940272756
FS-B,HistGB,0.9227404033553162,0.9575737791337972,0.8847158834937985,0.9997081661816783,0.9977384807591452,0.9946850864471388,0.9995716383933084,0.3342966551675424
FS-B,IForest,0.8228818691731035,0.118323278669653,0.8380571205427096,0.8851896106734849,0.6918076567437395,0.9334310757161014,0.9062649831164734,0.1753041092389625
FS-B,IForest@target,0.7057587979086936,0.9345726478323786,0.8708440282820089,0.9756035017580168,0.807614622788445,0.961257029320936,0.9323174728806056,0.1810931135909733
FS-B,LightGBM,0.908569385086918,0.962523922215594,0.9005733391402468,0.9996213012903582,0.995873198564956,0.9953594292228668,0.9995920755843164,0.3294719884318628
FS-B,LogReg,0.7133729746847582,0.814437287974235,0.7818999328646205,0.9744467260072588,0.9608774000875488,0.9900933310716966,0.9667861479086082,0.3379508184200794
