feature_set,model,cross_pr,cross_roc,cross_rec,cross_rec_fpr,cross_event,cross_pr_min,cross_pr_sd,n_domains,in_pr,in_roc,in_rec,in_rec_fpr,gap_pr,retention_pr,gap_rec
FS-A,IForest@target,0.6663642163489314,0.8225418433967326,0.2880961223790443,0.3779255426848955,0.1991928350287483,0.1369338952557898,0.2436960594636812,8,0.6489767208323294,0.8141630731300269,0.3118507873644732,0.35638177914144376,-0.017387495516602014,102.67921713652565,0.023754664985428886
FS-A,Ens:RankAvg-Hybrid,0.6375840083293014,0.7667793104287528,0.48383337563537515,0.5032087558233552,0.39740705719674435,0.1013184150704063,0.26580476945172843,8,0.9834937743770972,0.9947608698004939,0.87707918054167,0.9142220243895389,0.3459097660477958,64.82847425578467,0.39324580490629485
FS-A,RandomForest,0.6306447350250237,0.7750776644421444,0.45096707584217055,0.4840133215536043,0.3878048752395695,0.1201396436093121,0.2600762762139891,8,0.9668386672659675,0.9874713029898177,0.8413375767811231,0.8877767463946903,0.33619393224094374,65.22750448204197,0.39037050093895254
FS-A,CatBoost,0.6254320152272248,0.7757999992390259,0.4223846007824116,0.4611154730408272,0.40468415984814976,0.1206060652004744,0.2663680180874142,8,0.9787707002038605,0.9923916147646399,0.8834409246469574,0.9127624221216422,0.3533386849766357,63.899748439236944,0.46105632386454587
FS-A,ExtraTrees,0.6216131076497448,0.7764890595243457,0.37712649015039473,0.4090235031264891,0.38204829629220105,0.0914710280245518,0.2622086832915663,8,0.9758839964555164,0.9908812281932782,0.7854395250224615,0.8639301889952122,0.3542708888057716,63.69743841557911,0.40831303487206677
FS-A,Ens:RankAvg-Trees,0.6214758938052839,0.7586312254072025,0.47129265011160093,0.4996260193071052,0.4087420868982802,0.1085811926126913,0.2731063439937479,8,0.9765186448895282,0.9924665999713858,0.876606720534824,0.9047259606003357,0.3550427510842443,63.64198953677841,0.4053140704232231
FS-A,LightGBM,0.6213128850649114,0.7592176295083248,0.4550300761161231,0.48456679036239564,0.4208200124423635,0.1075898422779287,0.2696542147317087,8,0.9784045586383995,0.9931641387443686,0.881301822752077,0.9080614372497751,0.35709167357348803,63.50265639906298,0.4262717466359539
FS-A,HistGB,0.6058756333244956,0.7567697678317418,0.4428454549439805,0.459883266978898,0.374057668099,0.1134586364509792,0.283626968269596,8,0.9746562502748211,0.991355940583048,0.8792433451402696,0.9018472675148868,0.3687806169503255,62.163007024646745,0.4363978901962891
FS-A,XGBoost,0.5951671148669408,0.7467489735530184,0.4517492564110216,0.4698040490157767,0.36910635964912275,0.1016744955810929,0.2982673655576588,8,0.975928898381357,0.9921807297035077,0.876475219661085,0.9018714339344533,0.38076178351441614,60.98467991408648,0.4247259632500634
FS-A,Ens:Stack-Trees,0.5876804438319412,0.7591114039828317,0.3115067924962198,0.37856940093704755,0.23961961429308562,0.0925498231010595,0.276752435549036,8,0.9801082128458339,0.992304188722824,0.8196373428021904,0.8964354350904502,0.39242776901389276,59.96077128315834,0.5081305503059705
FS-A,NN:LSTM,0.5714328111098776,0.7723717381681781,0.293668298041143,0.36129931715723,0.24919375644994837,0.1090412501473293,0.30105002037794415,8,0.9750763628128238,0.9910458531165576,0.6950904374073734,0.8008680109821532,0.4036435517029462,58.60390354058559,0.4014221393662304
FS-A,NN:MLP,0.5195928666457448,0.6623202626464365,0.3140166058540613,0.33726054880486084,0.31500972099366065,0.0542662327869807,0.3055057725463093,8,0.9735765448133036,0.989599549963595,0.8406929776778652,0.8792112788349029,0.4539836781675588,53.36949307312901,0.5266763718238039
FS-A,LogReg,0.5165052744548969,0.6824215890563204,0.27513445890670374,0.30200084747326805,0.31632620153324487,0.0736068928137775,0.31095219685883957,8,0.9211240065127195,0.9683709852419913,0.6711045485723011,0.7511415035852436,0.4046187320578226,56.07337023060908,0.3959700896655973
FS-A,NN:Transformer,0.47239324698392426,0.6206825569635266,0.22347214325633707,0.292130291170661,0.25260934966091697,0.0994661829521917,0.31544801159225466,8,0.981898191917506,0.9927239897034096,0.7435800314023406,0.8701282714562315,0.5095049449335818,48.11020642184992,0.5201078881460035
FS-A,IForest,0.4265685541544906,0.6332565012565157,0.17538148028738446,0.18582781406442284,0.10539215686274508,0.1078393213751062,0.2834484774057489,8,0.6489767208323294,0.8141630731300269,0.3118507873644732,0.35638177914144376,0.2224081666778388,65.72940761379013,0.13646930707708874
FS-A,NN:CNN1D,0.23700839387765166,0.5718727137089463,0.0820640756302521,0.0823266806722689,0.020833333333333325,0.0951018161805173,0.19212099926818224,8,0.977838453768739,0.9925307732315561,0.46143928073748947,0.6982176745029004,0.7408300598910873,24.237990740104873,0.3793752051072374
FS-B,LightGBM,0.8864480799421399,0.9626010108616194,0.7469422005553481,0.7875031361037474,0.8261309372887086,0.3294719884318628,0.22870569227358478,8,0.9785035321461206,0.9950544155686459,0.8719792962689751,0.9206989950167259,0.0920554522039807,90.59222075549606,0.12503709571362698
FS-B,HistGB,0.8863787616164656,0.9609416718880861,0.7485523421340217,0.7818713540402651,0.7990011198444895,0.3342966551675424,0.22708580671252745,8,0.973606933948479,0.992859108366343,0.855939498973479,0.9166303201052518,0.08722817233201341,91.0407198952191,0.10738715683945732
FS-B,Ens:RankAvg-Hybrid,0.8818691711363613,0.9542736120675779,0.7560623466878942,0.7783689566139492,0.6961022016565246,0.4075053115557315,0.19757374126416885,8,0.9786993325687505,0.9956858485802813,0.8572139297918501,0.9180967509557832,0.0968301614323892,90.10624016895534,0.10115158310395589
FS-B,Ens:RankAvg-Trees,0.8815720014545444,0.9610161181649671,0.753603670717393,0.7874145461840029,0.7715332361392833,0.3182443977599181,0.23253158132552124,8,0.9784975061951277,0.9950507826435515,0.8684750786335605,0.9225342054515782,0.09692550474058326,90.09445561926094,0.11487140791616757
FS-B,XGBoost,0.8787967510347339,0.9593171749858331,0.7489837892609142,0.7828924386169605,0.7542918568289385,0.3118448696942192,0.23459875090333895,8,0.9776561629322746,0.9947894125193577,0.88634483094864,0.9222189287859225,0.09885941189754077,89.8881206250434,0.13736104168772578
FS-B,Ens:Stack-Trees,0.8735251679180951,0.9605949164996501,0.7351782538141728,0.7808341773520245,0.6458148453346856,0.324657514810101,0.23051974486750348,8,0.9781454891092056,0.994769280024332,0.8674089234326685,0.9235149016659361,0.10462032119111053,89.30421676979894,0.13223066961849572
FS-B,NN:Transformer,0.870386591071064,0.9388269105413801,0.5144288662470008,0.6933453338423896,0.519237348410326,0.5961685112383303,0.14634162838180056,8,0.9338865755306994,0.989556020955192,0.8210337871917845,0.8811609160312586,0.06349998445963545,93.20046072794757,0.30660492094478375
FS-B,RandomForest,0.8645541761135027,0.9587001762493811,0.734515677547223,0.7808561283066614,0.6996941556795132,0.2654427414894261,0.2513150251403005,8,0.9736383855592184,0.9936401357495148,0.8508399172713668,0.9141292970874835,0.10908420944571573,88.79622957931531,0.11632423972414374
FS-B,CatBoost,0.8578922860319118,0.9583308315327324,0.7364688518800919,0.7686263989994996,0.7155832699459094,0.2842853679657814,0.2463415465755916,8,0.9773521001732531,0.9946727396014847,0.8877230686075417,0.9217364637687444,0.11945981414134133,87.77719778571459,0.15125421672744976
FS-B,ExtraTrees,0.8576442464506719,0.9476033635715503,0.7147949522438932,0.7751441992308156,0.632883810851927,0.3929995940272756,0.2165866241267048,8,0.9730472787648405,0.9933255192927112,0.8623691795418306,0.9182587772804905,0.1154030323141686,88.14003853331175,0.14757422729793734
FS-B,NN:CNN1D,0.8540667976358923,0.9381943302525577,0.23404876177938455,0.6517166324064889,0.14973958333333331,0.4206739739553241,0.19217220344510919,8,0.9261530218409648,0.9887704981710943,0.5157430003118852,0.6012439882120548,0.07208622420507249,92.21659677125679,0.2816942385325007
FS-B,NN:MLP,0.8395166053926234,0.945638685566158,0.5990402484792126,0.6433344163691921,0.6119659609533469,0.2519441599006934,0.2523616933057904,8,0.932150091622663,0.9880449551108312,0.8180835706498643,0.9037345961666776,0.09263348623003964,90.06238511774582,0.2190433221706517
FS-B,NN:LSTM,0.8196048744164925,0.8999236679865814,0.4325510660021649,0.6125605310938653,0.4872648072386849,0.5035967736030614,0.18120135552322109,8,0.9539724986570097,0.98744521276767,0.7525245594596732,0.8303713033107402,0.13436762424051718,85.91493733522945,0.3199734934575083
FS-B,Rule:Combined,0.819295166279861,0.9404016059034368,0.4614369990554934,0.5753349852602039,0.3878872272593248,0.2857610205595409,0.22943533599617505,8,0.8121397258319784,0.9263655281900789,0.5857414710216187,0.6151568676640837,-0.007155440447882633,100.88106026836114,0.12430447196612526
FS-B,LogReg,0.8174830773773507,0.9200493209249742,0.4580403476699566,0.5026054280224794,0.4797794117647059,0.3379508184200794,0.22017874660539055,8,0.9134653595518074,0.9821382807462631,0.8166021069744189,0.8596389114551282,0.0959822821744567,89.49250990518672,0.3585617593044623
FS-B,Rule:Combined@target,0.8049602331097889,0.9302433637618214,0.5945744271406761,0.6138805649511807,0.4874479397021967,0.1146759605251016,0.2898984621065732,8,0.8121397258319784,0.9263655281900789,0.5857414710216187,0.6151568676640837,0.007179492722189429,99.11597813851127,-0.008832956119057433
FS-B,IForest@target,0.7961326517952572,0.9245547256456637,0.21410898823430807,0.4070155149431887,0.22090151850213768,0.1810931135909733,0.26439755685376715,8,0.7767800447460411,0.9080938096674547,0.373014400189976,0.4225927392402268,-0.019352607049216042,102.49138828682746,0.15890541195566793
FS-B,Rule:CombinedQ@target,0.7330511512443865,0.8453116106112764,0.690892178036915,0.690892178036915,0.7758476320428354,0.1142153508937347,0.26032262973913584,8,0.7751041513293693,0.8674521455473048,0.674885245868239,0.7299980628196288,0.042053000084982806,94.57453556236818,-0.016006932168676102
FS-B,IForest,0.6714074629842786,0.8217098146227779,0.28344007495161483,0.3967013703064828,0.19755155351614329,0.118323278669653,0.3322371484343758,8,0.7767800447460411,0.9080938096674547,0.373014400189976,0.4225927392402268,0.10537258176176256,86.43469506271717,0.08957432523836117
FS-B,Rule:BusLoad,0.6664793282110872,0.8119840385818813,0.37782568170036446,0.4276815129020953,0.3536656438891346,0.1247288482786936,0.2420042805169956,8,0.6655964609703409,0.8144682196087095,0.37228176283779146,0.4317079581189936,-0.0008828672407463767,100.13264301908386,-0.005543918862572994
FS-B,Rule:BusLoad@target,0.6664793282110872,0.8119840385818813,0.37782568170036446,0.4276815129020953,0.3536656438891346,0.1247288482786936,0.2420042805169956,8,0.6655964609703409,0.8144682196087095,0.37228176283779146,0.4317079581189936,-0.0008828672407463767,100.13264301908386,-0.005543918862572994
FS-B,Rule:CombinedQ,0.5839607781876159,0.7577045635806507,0.4653587743797536,0.4796947237670679,0.4532137265069367,0.1142153508937347,0.2630597206368231,8,0.7751041513293693,0.8674521455473048,0.674885245868239,0.7299980628196288,0.19114337314175334,75.33965302418697,0.20952647148848536
FS-B,Rule:IDEntropy,0.5455506343937735,0.6930333502723558,0.35145078010867026,0.3677461017754336,0.2271533613445378,0.1286277808573029,0.23440669804631042,8,0.5409439391659032,0.6902281384228033,0.3618772607527753,0.3682005815278337,-0.004606695227870272,100.85160307646176,0.010426480644105063
FS-B,Rule:IDEntropy@target,0.5455506343937735,0.6930333502723558,0.35145078010867026,0.3677461017754336,0.2271533613445378,0.1286277808573029,0.23440669804631042,8,0.5409439391659032,0.6902281384228033,0.3618772607527753,0.3682005815278337,-0.004606695227870272,100.85160307646176,0.010426480644105063
FS-B,Rule:UnseenID,0.49404014592710077,0.7024611796726734,0.40492235934534687,0.40492235934534687,0.3064405435495432,0.1142153508937347,0.22148640803709824,8,0.49403135373864565,0.7024616240129671,0.40492324802593416,0.40492324802593416,-8.792188455120087e-06,100.00177968227898,8.886805872854175e-07
FS-B,Rule:UnseenID@target,0.49404014592710077,0.7024611796726734,0.40492235934534687,0.40492235934534687,0.3064405435495432,0.1142153508937347,0.22148640803709824,8,0.49403135373864565,0.7024616240129671,0.40492324802593416,0.40492324802593416,-8.792188455120087e-06,100.00177968227898,8.886805872854175e-07
FS-B,Rule:Periodicity@target,0.46986523370741895,0.5752111409336593,0.15745909464131674,0.3761185329925687,0.30146540524104376,0.0147478625105352,0.4118069449165287,8,0.46785619936600953,0.5703234773968968,0.31393557957046136,0.3762865297226062,-0.0020090343414094214,100.42941278626463,0.15647648492914462
