n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,eval_set,matched_n,matched_pos,recall[spoofing]@fa1,event_recall[spoofing]@fa1,recall[spoofing]@fa10,event_recall[spoofing]@fa10,recall[spoofing]@fa100,event_recall[spoofing]@fa100,recall[spoofing]@fpr0.001,event_recall[spoofing]@fpr0.001,recall[spoofing]@fpr0.01,event_recall[spoofing]@fpr0.01,recall[timing]@fa1,event_recall[timing]@fa1,recall[timing]@fa10,event_recall[timing]@fa10,recall[timing]@fa100,event_recall[timing]@fa100,recall[timing]@fpr0.001,event_recall[timing]@fpr0.001,recall[timing]@fpr0.01,event_recall[timing]@fpr0.01,recall[masquerade]@fa1,event_recall[masquerade]@fa1,recall[masquerade]@fa10,event_recall[masquerade]@fa10,recall[masquerade]@fa100,event_recall[masquerade]@fa100,recall[masquerade]@fpr0.001,event_recall[masquerade]@fpr0.001,recall[masquerade]@fpr0.01,event_recall[masquerade]@fpr0.01
59474,952,0.0160069946531257,0.8236088995763713,0.677389346468204,58526,0.0328857999568248,False,0.6565126050420168,0.9952229299363056,5.126277297426609e-05,0.9755059480667116,5.611722474431056,0.0,0.9984025559105432,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6565126050420168,0.9873617693522908,0.0001367007279313,0.9671621918678284,14.964593265149482,0.0,0.9984025559105432,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9470499243570348,0.0005980656846997,0.9349777102470398,65.47009553502899,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9470499243570348,0.0005980656846997,0.934805154800415,65.47009553502899,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6596638655462185,0.6687965921192758,0.0053142407983322,0.8390856981277466,581.7485631826861,0.0,1.0,0.0,0.0,0.0066889632107023,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LogReg,fleet,59003,477,3.93,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29734,475,0.0159749781395035,0.8195686797224786,0.6766332732809929,29263,0.0328857999568248,False,0.6568421052631579,0.9968051118210862,3.417751802864076e-05,0.9799336194992068,3.7414040426154256,0.0,0.9968051118210862,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6568421052631579,0.9968051118210862,3.417751802864076e-05,0.9799336194992064,3.7414040426154256,0.0,0.9968051118210862,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8792134831460674,0.0014696332752315,0.917768120765686,160.8803738324633,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.871866295264624,0.0015721658293174,0.9154360890388488,172.10458596030958,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6631578947368421,0.3488372093023256,0.0200963806008407,0.7444629073143005,2199.94557705787,0.0,1.0,0.0,0.0,0.0134228187919463,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LogReg,fleet,59003,477,4.4,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8054069355947157,0.6717190598404197,58526,0.0328857999568248,False,0.657563025210084,1.0,0.0,0.209158598390829,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,1.0,0.0,0.209158598390829,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9827315541601256,0.0001879635009056,0.1589500289508931,20.57631573958054,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9811912225705328,0.000205051091897,0.1560380169181941,22.446889897724223,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6586134453781513,0.8472972972972973,0.0019308977820306,0.1262006785264851,211.37487987023644,0.0,1.0,0.0,0.0,0.0033444816053511,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,RandomForest,fleet,59003,477,76.08,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29734,475,0.0159749781395035,0.8000018707694079,0.6734816702390753,29263,0.0328857999568248,False,0.6589473684210526,0.9936507936507936,6.835503605728151e-05,0.1660285568119526,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9936507936507936,6.835503605728151e-05,0.1660285568119525,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8917378917378918,0.0012987456850883,0.1329350228308517,142.17335361938618,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8917378917378918,0.0012987456850883,0.1328292735936381,142.17335361938618,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6610526315789473,0.473604826546003,0.0119279537919956,0.1029380547901008,1305.7500108727836,0.0,1.0,0.0,0.0,0.0067114093959731,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,RandomForest,fleet,59003,477,57.18,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8345197751531492,0.6790967009888322,58526,0.0328857999568248,False,0.6565126050420168,0.9968102073365231,3.417518198284406e-05,0.8310361540533215,3.7411483162873695,0.0,0.9984025559105432,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6565126050420168,0.9889240506329114,0.0001196131369399,0.8216605850915842,13.094019107005796,0.0,0.9984025559105432,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9660493827160492,0.0003759270018112,0.7970659985335758,41.15263147916108,0.0,0.9984025559105432,0.0,0.0,0.0033444816053511,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.657563025210084,0.9601226993865032,0.0004442773657769,0.7966132981642785,48.63492811173581,0.0,0.9984025559105432,0.0,0.0,0.0033444816053511,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.657563025210084,0.8067010309278351,0.0025631386487133,0.7393955591521054,280.5861237215527,0.0,0.9984025559105432,0.0,0.0,0.0033444816053511,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,HistGB,fleet,59003,477,12.96,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29734,475,0.0159749781395035,0.8437728022506795,0.6829700907638893,29263,0.0328857999568248,False,0.6589473684210526,0.9936507936507936,6.835503605728151e-05,0.8308740221159199,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9936507936507936,6.835503605728151e-05,0.8301915782908457,7.482808085230851,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8258575197889182,0.0022557161898902,0.7627446545587762,246.93266681261807,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.819371727748691,0.0023582487439762,0.7590901162002465,258.1568789404644,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6673684210526316,0.4138381201044386,0.0153457055948597,0.6593419292925816,1679.890415134326,0.0,1.0,0.0,0.0,0.0268456375838926,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,HistGB,fleet,59003,477,19.09,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8185364607549728,0.675998067161006,58526,0.0328857999568248,False,0.657563025210084,1.0,0.0,0.7190796732902528,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,1.0,0.0,0.7190796732902528,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9984051036682616,1.708759099142203e-05,0.3220532834529876,1.8705741581436848,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9984051036682616,1.708759099142203e-05,0.3142236173152923,1.8705741581436848,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.8816901408450705,0.0014353576432794,0.0911720842123031,157.12822928406956,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,XGBoost,fleet,59003,477,29.5,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29734,475,0.0159749781395035,0.8324068347840791,0.678850538069982,29263,0.0328857999568248,False,0.6589473684210526,0.9968152866242038,3.417751802864076e-05,0.3026080131530762,3.7414040426154256,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9690402476780186,0.0003417751802864,0.198466271162033,37.41404042615426,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.876750700280112,0.0015038107932601,0.0983675196766853,164.62177787507872,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.8598901098901099,0.0017430534194606,0.0940451547503471,190.8116061733867,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6631578947368421,0.465288035450517,0.0123722615263679,0.0298766084015369,1354.388263426784,0.0,1.0,0.0,0.0,0.0134228187919463,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,XGBoost,fleet,59003,477,34.57,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.8224634476325645,0.6775157497687391,58526,0.0328857999568248,False,0.657563025210084,1.0,0.0,0.3321297154681366,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,1.0,0.0,0.3321297154681366,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9952305246422892,5.126277297426609e-05,0.1821441653190728,5.611722474431056,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.657563025210084,0.9952305246422892,5.126277297426609e-05,0.1817725901706452,5.611722474431056,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6586134453781513,0.7215189873417721,0.0041351970199241,0.0312462829608728,452.6789462707718,0.0,1.0,0.0,0.0,0.0033444816053511,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LightGBM,fleet,59003,477,48.94,A_volume_matched,CIDv2_OpelAstra,FS-A,0,cross,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29734,475,0.0159749781395035,0.8316966619357787,0.6814343828984536,29263,0.0328857999568248,False,0.6589473684210526,1.0,0.0,0.2286949665062203,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9968152866242038,3.417751802864076e-05,0.1973914342833312,3.7414040426154256,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9178885630498532,0.0009569705048019,0.066997677318769,104.75931319323192,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9072463768115944,0.0010936805769165,0.0618754673094172,119.72492936369362,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6673684210526316,0.4899536321483771,0.0112785809494514,0.0163660039986425,1234.6633340630906,0.0,1.0,0.0,0.0,0.0268456375838926,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,LightGBM,fleet,59003,477,24.51,A_volume_matched,CIDv2_OpelAstra,FS-A,0,in_f0,59003,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
