feature_set,model,test_domain,in_domain,cross_matched,cross_full
FS-B,RandomForest,CTT_Forester,0.9999888558266096,0.9994346362398346,0.9995333411427765
FS-B,RandomForest,CTT_Impala,0.999835330407282,0.9997225702722735,0.9997813859035046
FS-B,RandomForest,CTT_Silverado,0.99887783181671,0.9968650766426524,0.9967066282146327
FS-B,RandomForest,CTT_Traverse,0.9998805877945328,0.9996010082157266,0.9996593768538489
FS-B,RandomForest,ROAD_ORNL,0.779313318583378,0.27718389861912696,0.27616075885792285
FS-B,Rule:Combined,CIDv2_OpelAstra,0.8076468752167493,0.8232721025141845,0.8232721025141846
FS-B,Rule:Combined,CIDv2_Prototype,0.8627286033121623,0.7619081777949198,0.7619081777949199
FS-B,Rule:Combined,CIDv2_RenaultClio,0.9436618914897482,0.9325714456574968,0.9325714456574967
FS-B,Rule:Combined,CTT_Forester,0.9711948682341736,0.9359990778622822,0.9359499879764025
FS-B,Rule:Combined,CTT_Impala,0.8026861860853725,0.9180130327143813,0.9987005971543302
FS-B,Rule:Combined,CTT_Silverado,0.9918324740786942,0.9469269052638496,0.9919205394196045
FS-B,Rule:Combined,CTT_Traverse,0.9995907683054596,0.8474757212031837,0.8477277383864601
FS-B,Rule:Combined,ROAD_ORNL,0.1077906819798135,0.26171214470690246,0.26168508741439844
FS-B,Rule:Staleness,CIDv2_OpelAstra,0.9723211177101092,0.9723211177101092,0.9723211177101091
FS-B,Rule:Staleness,CIDv2_Prototype,0.734338568488461,0.734338568488461,0.734338568488461
FS-B,Rule:Staleness,CIDv2_RenaultClio,0.973860062636,0.973860062636,0.9738600626360001
FS-B,Rule:Staleness,CTT_Forester,0.2142890339962554,0.2142890339962554,0.2142890339962554
FS-B,Rule:Staleness,CTT_Impala,0.1162843054298122,0.1162843054298122,0.11628430542981225
FS-B,Rule:Staleness,CTT_Silverado,0.1856556876952412,0.1856556876952412,0.1856556876952412
FS-B,Rule:Staleness,CTT_Traverse,0.1824448154213744,0.1824448154213744,0.18244481542137447
FS-B,Rule:Staleness,ROAD_ORNL,0.0969557529365572,0.09695575293655719,0.09695575293655724
FS-B,XGBoost,CIDv2_OpelAstra,0.9958964888369152,0.7199133896546609,0.9246719688614992
FS-B,XGBoost,CIDv2_Prototype,0.9933927802585424,0.9668063190868709,0.9594045108558733
FS-B,XGBoost,CIDv2_RenaultClio,0.997503822608488,0.8750396385184085,0.8915622207577094
FS-B,XGBoost,CTT_Forester,0.9999882351107562,0.9996632494616677,0.9996257170843914
FS-B,XGBoost,CTT_Impala,0.9997663402555202,0.9992735481759042,0.9983617359994583
FS-B,XGBoost,CTT_Silverado,0.9993621897689778,0.995214586307795,0.9949594873840378
FS-B,XGBoost,CTT_Traverse,0.999890748985388,0.999612936994882,0.9997298897841612
FS-B,XGBoost,ROAD_ORNL,0.8122262400703399,0.3015222292184951,0.3211519792576852
