test_domain,n_calib,win_seconds,n_windows,n_pos,resolvable@fa1,resolvable@fa10,resolvable@fa100,resolvable@fpr0.001,fa_per_hour@fa1,fa_per_hour@fa10,fa_per_hour@fa100,windows_per_hour,min_calib_for_fa1,min_calib_for_fa10
CIDv2_OpelAstra,58526,0.0328857999568248,59474,952,False,True,True,True,7.482296632574741,7.482296632574741,110.36387533047744,109469.74088288496,109470,10947
CIDv2_Prototype,4940,0.0504306446273316,5994,1058,False,False,True,True,14.462148951633994,14.462148951633994,72.31074475816997,71385.16722526544,71386,7139
CIDv2_RenaultClio,8224,0.0455447607482506,9085,864,False,True,True,True,38.45912674235903,38.45912674235903,67.3034717991283,79043.1202372334,79044,7905
CTT_Forester,98229,0.0396655748823414,125812,27607,True,True,True,True,5.545061894848234,11.090123789696468,91.49352126499588,90758.80056392863,90759,9076
CTT_Impala,85805,0.0442430017662048,98401,12610,True,True,True,True,0.0,5.690722862979818,87.25775056569057,81368.80085631702,81369,8137
CTT_Silverado,96923,0.0248904217529296,118722,21816,False,True,True,True,0.0,8.955108004805975,123.87899406648266,144633.94938562182,144634,14464
CTT_Traverse,99363,0.0319933958435058,123099,23756,False,True,True,True,0.0,0.0,75.88915081618882,112523.22253033819,112524,11253
ROAD_ORNL,202303,0.0284295027739951,226048,23767,True,True,True,True,3.756032964518456,10.642093399468957,133.33917024040517,126629.01734929303,126630,12663
