n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,model,scope,n_train,n_train_pos,fit_s,control,test_domain,feature_set,seed,k,sources,recall[spoofing]@fa1,event_recall[spoofing]@fa1,recall[spoofing]@fa10,event_recall[spoofing]@fa10,recall[spoofing]@fa100,event_recall[spoofing]@fa100,recall[spoofing]@fpr0.001,event_recall[spoofing]@fpr0.001,recall[spoofing]@fpr0.01,event_recall[spoofing]@fpr0.01,recall[timing]@fa1,event_recall[timing]@fa1,recall[timing]@fa10,event_recall[timing]@fa10,recall[timing]@fa100,event_recall[timing]@fa100,recall[timing]@fpr0.001,event_recall[timing]@fpr0.001,recall[timing]@fpr0.01,event_recall[timing]@fpr0.01,recall[masquerade]@fa1,event_recall[masquerade]@fa1,recall[masquerade]@fa10,event_recall[masquerade]@fa10,recall[masquerade]@fa100,event_recall[masquerade]@fa100,recall[masquerade]@fpr0.001,event_recall[masquerade]@fpr0.001,recall[masquerade]@fpr0.01,event_recall[masquerade]@fpr0.01
59474,952,0.0160069946531257,0.9128710197041464,0.8266410590845493,58526,0.0328857999568248,False,0.6691176470588235,1.0,0.0,0.9981646900148968,0.0,0.5,1.0,0.4285714285714285,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6754201680672269,1.0,0.0,0.9966488887902412,0.0,0.7,1.0,0.6428571428571429,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.8140756302521008,0.9281437125748504,0.0010252554594853,0.9956811422242844,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8140756302521008,0.9281437125748504,0.0010252554594853,0.9956811422242844,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8172268907563025,0.8429035752979415,0.0024777006937561,0.9954212490032688,271.23325293083434,0.7,1.0,0.6428571428571429,0.3333333333333333,0.451505016722408,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,10934,1058,14.28,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_Prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9823429363201484,0.9563865731741602,58526,0.0328857999568248,False,0.9264705882352942,0.9966101694915256,5.126277297426609e-05,0.3947977423667908,5.611722474431056,1.0,1.0,0.7142857142857143,0.3333333333333333,0.7859531772575251,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9380252100840336,0.9856512141280354,0.0002221386828884,0.383823961019516,24.317464055867905,1.0,1.0,0.7142857142857143,0.3333333333333333,0.822742474916388,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864864,0.000529715320734,0.3657314777374267,57.98779890245424,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864864,0.000529715320734,0.3657314777374267,57.98779890245424,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.944327731092437,0.6099050203527816,0.0098253648200676,0.3278380334377289,1075.5801409326189,1.0,1.0,0.7142857142857143,0.3333333333333333,0.842809364548495,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,10934,1058,3.64,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_Prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9199461439338048,0.8384748828429989,58526,0.0328857999568248,False,0.6827731092436975,1.0,0.0,51.94373774083539,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.6827731092436975,1.0,0.0,51.94373774083538,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.8077731092436975,0.968513853904282,0.0004271897747855,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.8077731092436975,0.968513853904282,0.0004271897747855,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.832983193277311,0.5297261189044756,0.0120296640579611,19.7147061899292,1316.8842073331546,1.0,1.0,1.0,0.0,0.4782608695652174,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,Rule:Combined,fleet,10934,1058,0.19,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_Prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9128710197041464,0.8266410590845493,58526,0.0328857999568248,False,0.6691176470588235,1.0,0.0,0.9981646900148968,0.0,0.5,1.0,0.4285714285714285,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6754201680672269,1.0,0.0,0.9966488887902412,0.0,0.7,1.0,0.6428571428571429,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,True,0.8140756302521008,0.9281437125748504,0.0010252554594853,0.9956811422242844,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8140756302521008,0.9281437125748504,0.0010252554594853,0.9956811422242844,112.23444948862112,0.7,1.0,0.6428571428571429,0.3333333333333333,0.4414715719063545,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8172268907563025,0.8429035752979415,0.0024777006937561,0.9954212490032688,271.23325293083434,0.7,1.0,0.6428571428571429,0.3333333333333333,0.451505016722408,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,10934,1058,11.34,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_Prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9823429363201484,0.9563865731741602,58526,0.0328857999568248,False,0.9264705882352942,0.9966101694915256,5.126277297426609e-05,0.3947977423667908,5.611722474431056,1.0,1.0,0.7142857142857143,0.3333333333333333,0.7859531772575251,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9380252100840336,0.9856512141280354,0.0002221386828884,0.383823961019516,24.317464055867905,1.0,1.0,0.7142857142857143,0.3333333333333333,0.822742474916388,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864864,0.000529715320734,0.3657314777374267,57.98779890245424,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9390756302521008,0.9664864864864864,0.000529715320734,0.3657314777374267,57.98779890245424,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8260869565217391,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.944327731092437,0.6099050203527816,0.0098253648200676,0.3278380334377289,1075.5801409326189,1.0,1.0,0.7142857142857143,0.3333333333333333,0.842809364548495,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,10934,1058,5.37,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_Prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9199461439338048,0.8384748828429989,58526,0.0328857999568248,False,0.6827731092436975,1.0,0.0,51.94373774083539,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.6827731092436975,1.0,0.0,51.94373774083538,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.8077731092436975,0.968513853904282,0.0004271897747855,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.8077731092436975,0.968513853904282,0.0004271897747855,22.5,46.764353953592135,1.0,1.0,1.0,0.0,0.3979933110367893,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.832983193277311,0.5297261189044756,0.0120296640579611,19.7147061899292,1316.8842073331546,1.0,1.0,1.0,0.0,0.4782608695652174,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,Rule:Combined,fleet,10934,1058,0.17,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_Prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9990781047219476,0.995054485594959,58526,0.0328857999568248,False,0.967436974789916,1.0,0.0,0.993799034153476,0.0,0.0,1.0,0.0,0.0,0.9866220735785952,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9800420168067226,1.0,0.0,0.8291616062541911,0.0,0.5,1.0,0.3571428571428571,0.3333333333333333,0.9899665551839464,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.0001025255459485,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892976,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.0001025255459485,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892976,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.994747899159664,0.6687853107344632,0.0080140801749769,0.0402645364357674,877.2992801693883,1.0,1.0,0.7142857142857143,1.0,0.9966555183946488,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,17309,864,9.66,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_RenaultClio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9989882153777404,0.9899085385452616,58526,0.0328857999568248,False,0.7279411764705882,1.0,0.0,0.3632501959800721,0.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.1538461538461538,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9065126050420168,0.9976878612716764,3.417518198284406e-05,0.1403420567512512,3.7411483162873695,1.0,1.0,0.7142857142857143,0.3333333333333333,0.7224080267558528,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9695378151260504,0.9624608967674662,0.0006151532756911,0.0576200298964977,67.34066969317267,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9230769230769232,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.972689075630252,0.956611570247934,0.0007176788216397,0.0544532462954521,78.56411464203478,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9331103678929766,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9884453781512604,0.7328660436137072,0.0058610437100577,0.0287611130625009,641.606936243284,1.0,1.0,0.7142857142857143,0.6666666666666666,0.979933110367893,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,XGBoost,fleet,17309,864,6.54,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_RenaultClio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9951674964439144,0.8511666850362705,58526,0.0328857999568248,False,0.657563025210084,1.0,0.0,375000.00000000006,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6607142857142857,0.9782270606531882,0.0002392262738799,78125.0,26.188038214011595,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541,31250.0,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541,31250.0,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6649159663865546,0.9738461538461538,0.0002904890468541,31250.0,31.79976068844265,0.0,1.0,0.2857142857142857,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,Rule:Combined,fleet,17309,864,0.18,B_fleet_size,CIDv2_OpelAstra,FS-B,0,1,CIDv2_RenaultClio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59474,952,0.0160069946531257,0.9990781047219476,0.995054485594959,58526,0.0328857999568248,False,0.967436974789916,1.0,0.0,0.993799034153476,0.0,0.0,1.0,0.0,0.0,0.9866220735785952,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9800420168067226,1.0,0.0,0.8291616062541911,0.0,0.5,1.0,0.3571428571428571,0.3333333333333333,0.9899665551839464,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.0001025255459485,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892976,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9915966386554622,0.9936842105263158,0.0001025255459485,0.207875170834478,11.223444948862111,1.0,1.0,0.7142857142857143,0.3333333333333333,0.9933110367892976,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.994747899159664,0.6687853107344632,0.0080140801749769,0.0402645364357674,877.2992801693883,1.0,1.0,0.7142857142857143,1.0,0.9966555183946488,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,HistGB,fleet,17309,864,16.76,B_fleet_size,CIDv2_OpelAstra,FS-B,1,1,CIDv2_RenaultClio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
