,pr_auc,pr_auc,pr_auc,pr_auc,roc_auc,roc_auc,roc_auc,roc_auc,recall@fa10,recall@fa10,recall@fa10,recall@fa10
feature_set,FS-A,FS-A-rank,FS-B,FS-B34,FS-A,FS-A-rank,FS-B,FS-B34,FS-A,FS-A-rank,FS-B,FS-B34
model,,,,,,,,,,,,
HistGB,0.6026235974777329,0.6520765085815101,0.8760871722394786,0.8413552576050036,0.759878682070256,0.8027289308298234,0.9577577919793446,0.9270559106358579,0.45008725261734917,0.3522555127574554,0.7312284549758932,0.7417836605205865
LightGBM,0.6216324985841682,0.627937552635872,0.8822991093157967,0.8452842551110572,0.7654317305048244,0.7864704353821971,0.9617478091875011,0.9310421642693011,0.4607199921635464,0.3414503529159045,0.7483458434238629,0.7474364477200481
LogReg,0.49008712319762116,0.550823850331943,0.8147360066259777,0.7933325809349244,0.6589032567191752,0.7078293375666876,0.9211755020514292,0.9200616313964344,0.2651361395531269,0.36329290037123796,0.46957760555707345,0.4660641463246461
RandomForest,0.6226781126075145,0.6522552822284059,0.8647505585156097,0.8398158285731064,0.7712691192279029,0.8028698620027861,0.9590087202680888,0.9340073992800362,0.457833085674416,0.4099393306540675,0.7384956873793349,0.7377559701429818
Rule:Combined,,,0.801080140468051,0.7789682745258618,,,0.9278685087452164,0.898856568249095,,,0.4306035279562508,0.490854215394939
Rule:Staleness,,,0.434609105393821,,,,0.6488534564253983,,,,0.2982850771977558,
XGBoost,0.5927462702282609,0.6414495006432513,0.87889564949376,0.8459000011999415,0.7524087153337784,0.8005758258467233,0.9591934959175611,0.9324471567834988,0.44070105818653554,0.36321768794889986,0.7466730158608479,0.744627273014652
