n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
4547,433,0.09522762260831318,0.8454008786535245,0.7697838642805135,4110,0.0455447607482506,False,0.7228637413394919,1.0,0.0,0.5978502223454818,0.0,0.0,0.9968051118210862,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.7228637413394919,1.0,0.0,0.5978502223454818,0.0,0.0,0.9968051118210862,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7228637413394919,0.9936507936507937,0.0004861448711716091,0.5888102475415031,38.42640750473184,0.0,0.9968051118210862,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7228637413394919,0.9968152866242038,0.00024307243558580456,0.5903427203444567,19.21320375236592,0.0,0.9968051118210862,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7228637413394919,0.9178885630498533,0.006806028196402528,0.5719520608848286,537.9697050662458,0.0,0.9968051118210862,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,in_domain,1,CIDv2_RenaultClio,FS-A,IForest,fleet,0.81,0.32,8652,431,76
4547,433,0.09522762260831318,0.9896612816485363,0.9838394379423803,4110,0.0455447607482506,False,0.7852193995381063,1.0,0.0,0.950582265853882,0.0,0.0,0.9968051118210862,0.0,0.0,0.2641509433962264,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,False,0.7852193995381063,1.0,0.0,0.950582265853882,0.0,0.0,0.9968051118210862,0.0,0.0,0.2641509433962264,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.8060046189376443,1.0,0.0,0.9130157828330994,0.0,0.0,0.9968051118210862,0.0,0.0,0.3490566037735849,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.8060046189376443,1.0,0.0,0.9130157828330994,0.0,0.0,0.9968051118210862,0.0,0.0,0.3490566037735849,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.8914549653579676,1.0,0.0,0.7079159021377563,0.0,0.4,1.0,0.0,0.0,0.6698113207547169,0.5,1.0,1.0,0.0,0.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,LogReg,fleet,0.15,0.01,8652,431,76
4547,433,0.09522762260831318,0.9944671549073125,0.9921738370024169,4110,0.0455447607482506,False,0.9676674364896074,0.9976190476190476,0.00024307243558580456,0.22222028991735548,19.21320375236592,0.0,0.9968051118210862,0.0,1.0,0.9905660377358491,0.5,0.0,1.0,0.0,1.0,1.0,False,0.9676674364896074,0.9976190476190476,0.00024307243558580456,0.22222028991735548,19.21320375236592,0.0,0.9968051118210862,0.0,1.0,0.9905660377358491,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9815242494226328,0.9953161592505855,0.0004861448711716091,0.12177422410603811,38.42640750473184,0.8,0.9968051118210862,0.14285714285714285,1.0,1.0,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9815242494226328,0.9953161592505855,0.0004861448711716091,0.12597726788418753,38.42640750473184,0.8,0.9968051118210862,0.14285714285714285,1.0,1.0,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9861431870669746,0.9907192575406032,0.0009722897423432182,0.07472333168461348,76.85281500946368,1.0,1.0,0.14285714285714285,1.0,1.0,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,RandomForest,fleet,2.45,0.31,8652,431,76
4547,433,0.09522762260831318,0.9950097172837413,0.989288138173649,4110,0.0455447607482506,False,0.9630484988452656,1.0,0.0,0.3118393822515187,0.0,0.0,0.9968051118210862,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,False,0.9630484988452656,1.0,0.0,0.3118393822515187,0.0,0.0,0.9968051118210862,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9630484988452656,1.0,0.0,0.30096313664992297,0.0,0.0,0.9968051118210862,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9630484988452656,1.0,0.0,0.30096313664992297,0.0,0.0,0.9968051118210862,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9653579676674365,1.0,0.0,0.19030809755674594,0.0,0.0,0.9968051118210862,0.0,0.5,0.9905660377358491,0.5,0.0,1.0,0.0,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,ExtraTrees,fleet,1.54,0.31,8652,431,76
4547,433,0.09522762260831318,0.9942111710028618,0.988051373377265,4110,0.0455447607482506,False,0.9630484988452656,1.0,0.0,0.45377068041194696,0.0,0.0,0.9968051118210862,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,False,0.9630484988452656,1.0,0.0,0.45377068041194696,0.0,0.0,0.9968051118210862,0.0,0.0,0.9905660377358491,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9653579676674365,0.9928741092636579,0.0007292173067574137,0.06797016534547044,57.63961125709776,0.2,0.9968051118210862,0.0,0.0,0.9905660377358491,0.5,1.0,1.0,0.0,0.0,1.0,True,0.9653579676674365,0.9928741092636579,0.0007292173067574137,0.08979322979743005,57.63961125709776,0.2,0.9968051118210862,0.0,0.0,0.9905660377358491,0.5,1.0,1.0,0.0,0.0,1.0,True,0.976905311778291,0.9420935412026726,0.006319883325230919,0.010385014987879821,499.54329756151395,0.4,1.0,0.14285714285714285,0.5,1.0,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,HistGB,fleet,10.12,0.3,8652,431,76
4547,433,0.09522762260831318,0.9963443702066173,0.9905875734089712,4110,0.0455447607482506,False,0.9630484988452656,1.0,0.0,0.18543584644794467,0.0,0.0,1.0,0.0,0.0,0.9811320754716981,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,False,0.9630484988452656,1.0,0.0,0.18543584644794467,0.0,0.0,1.0,0.0,0.0,0.9811320754716981,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9676674364896074,0.9976190476190476,0.00024307243558580456,0.08744300901889801,19.21320375236592,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9676674364896074,0.9976190476190476,0.00024307243558580456,0.10128709673881531,19.21320375236592,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9838337182448037,0.9321663019693655,0.007535245503159942,0.014592510648071766,595.6093163233436,1.0,1.0,0.14285714285714285,0.5,1.0,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,XGBoost,fleet,1.78,0.03,8652,431,76
4547,433,0.09522762260831318,0.9979549356054525,0.993263757901693,4110,0.0455447607482506,False,0.9792147806004619,1.0,0.0,0.024438004476073076,0.0,1.0,0.9968051118210862,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,False,0.9792147806004619,1.0,0.0,0.024438004476073076,0.0,1.0,0.9968051118210862,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,True,0.9792147806004619,0.9976470588235294,0.00024307243558580456,0.01365434681210538,19.21320375236592,1.0,0.9968051118210862,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,True,0.9792147806004619,0.9976470588235294,0.00024307243558580456,0.01365434681210538,19.21320375236592,1.0,0.9968051118210862,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,True,0.9884526558891455,0.9427312775330396,0.006319883325230919,0.0021502646889241333,499.54329756151395,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,LightGBM,fleet,2.81,0.1,8652,431,76
4547,433,0.09522762260831318,0.9952289315703376,0.9904891720646215,4110,0.0455447607482506,False,0.9792147806004619,1.0,0.0,0.07590073960286046,0.0,1.0,0.9968051118210862,0.0,1.0,0.9905660377358491,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,False,0.9792147806004619,1.0,0.0,0.07590073960286046,0.0,1.0,0.9968051118210862,0.0,1.0,0.9905660377358491,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,True,0.9815242494226328,1.0,0.0,0.03602793891910767,0.0,1.0,0.9968051118210862,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,True,0.9792147806004619,1.0,0.0,0.046992505585240915,0.0,1.0,0.9968051118210862,0.0,1.0,0.9905660377358491,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,True,0.9861431870669746,0.9163090128755365,0.009479824987846379,0.004602706174304269,749.314946342271,1.0,1.0,0.14285714285714285,1.0,1.0,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,CatBoost,fleet,6.0,0.02,8652,431,76
4547,433,0.09522762260831318,0.9912937404076207,0.9833415564201401,4110,0.0455447607482506,False,0.9653579676674365,1.0,0.0,0.9345775246620179,0.0,0.0,0.9968051118210862,0.0,0.5,0.9905660377358491,0.5,0.0,1.0,0.0,1.0,1.0,False,0.9653579676674365,1.0,0.0,0.9345775246620179,0.0,0.0,0.9968051118210862,0.0,0.5,0.9905660377358491,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9676674364896074,1.0,0.0,0.8861819505691528,0.0,0.0,0.9968051118210862,0.0,1.0,0.9905660377358491,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9676674364896074,1.0,0.0,0.9033562541007996,0.0,0.0,0.9968051118210862,0.0,1.0,0.9905660377358491,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9699769053117783,0.997624703087886,0.00024307243558580456,0.6323351263999939,19.21320375236592,0.0,0.9968051118210862,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,NN:MLP,fleet,3.79,0.02,8652,431,76
4547,433,0.09522762260831318,0.9890797041814072,0.9819946141137487,4110,0.0455447607482506,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.9445727482678984,1.0,0.0,0.9997636675834656,0.0,0.0,0.9904153354632588,0.0,0.0,0.9339622641509434,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9330254041570438,1.0,0.0,0.9998769760131836,0.0,0.0,0.9904153354632588,0.0,0.0,0.8867924528301887,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9653579676674365,0.9952380952380953,0.0004861448711716091,0.7337807416915894,38.42640750473184,0.0,1.0,0.14285714285714285,0.5,0.9716981132075472,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_RenaultClio,FS-A,NN:CNN1D,fleet,6.6,0.19,8652,431,76
