n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[suspension]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
3002,530,0.1765489673550966,0.9830165781278621,0.9412728934111264,2468,0.05043064462733162,False,0.6075471698113207,1.0,0.0,0.6240153319850639,0.0,0.0,0.9968152866242038,0.14285714285714285,0.0449438202247191,0.0,0.5,0.0,1.0,0.5,1.0,0.0,False,0.6075471698113207,1.0,0.0,0.6240153319850639,0.0,0.0,0.9968152866242038,0.14285714285714285,0.0449438202247191,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6113207547169811,1.0,0.0,0.614386965451071,0.0,0.0,0.9968152866242038,0.14285714285714285,0.056179775280898875,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6113207547169811,1.0,0.0,0.6158397808434856,0.0,0.0,0.9968152866242038,0.14285714285714285,0.056179775280898875,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.7018867924528301,0.9587628865979382,0.006472491909385114,0.5729211602515405,462.03991731563366,0.0,0.9968152866242038,0.14285714285714285,0.30337078651685395,0.15384615384615385,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,IForest,fleet,0.81,0.24,5464,528,76
3002,530,0.1765489673550966,0.9933969896806496,0.9859953527886878,2468,0.05043064462733162,False,0.9207547169811321,1.0,0.0,0.9606529474258424,0.0,0.0,0.9968152866242038,0.14285714285714285,0.9662921348314607,0.07692307692307693,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,False,0.9207547169811321,1.0,0.0,0.9606529474258424,0.0,0.0,0.9968152866242038,0.14285714285714285,0.9662921348314607,0.07692307692307693,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9283018867924528,1.0,0.0,0.9219916462898254,0.0,0.0,0.9968152866242038,0.14285714285714285,0.9887640449438202,0.07692307692307693,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9207547169811321,1.0,0.0,0.9606529474258423,0.0,0.0,0.9968152866242038,0.14285714285714285,0.9662921348314607,0.07692307692307693,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9415094339622642,1.0,0.0,0.7182568311691284,0.0,0.0,0.9968152866242038,0.14285714285714285,0.9943820224719101,0.3076923076923077,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,LogReg,fleet,0.07,0.0,5464,528,76
3002,530,0.1765489673550966,0.9999633632533431,0.9998421919571091,2468,0.05043064462733162,False,0.969811320754717,1.0,0.0,0.471949209108274,0.0,0.0,0.9968152866242038,0.0,1.0,0.8846153846153846,0.5,0.0,1.0,0.0,1.0,1.0,False,0.969811320754717,1.0,0.0,0.471949209108274,0.0,0.0,0.9968152866242038,0.0,1.0,0.8846153846153846,0.5,0.0,1.0,0.0,1.0,1.0,True,0.969811320754717,1.0,0.0,0.4719492091082739,0.0,0.0,0.9968152866242038,0.0,1.0,0.8846153846153846,0.5,0.0,1.0,0.0,1.0,1.0,True,0.969811320754717,1.0,0.0,0.4719492091082739,0.0,0.0,0.9968152866242038,0.0,1.0,0.8846153846153846,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9962264150943396,0.998109640831758,0.0004045307443365696,0.2473920606169295,28.877494832227104,1.0,1.0,0.8571428571428571,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,RandomForest,fleet,2.03,0.28,5464,528,76
3002,530,0.1765489673550966,0.9996092080356598,0.9990276818128903,2468,0.05043064462733162,False,0.930188679245283,1.0,0.0,0.5032526017406381,0.0,0.0,0.9968152866242038,0.0,1.0,0.07692307692307693,0.5,0.0,1.0,0.0,1.0,1.0,False,0.930188679245283,1.0,0.0,0.5032526017406381,0.0,0.0,0.9968152866242038,0.0,1.0,0.07692307692307693,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9547169811320755,1.0,0.0,0.39471745813502546,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9490566037735849,1.0,0.0,0.4058091614406315,0.0,0.0,1.0,0.14285714285714285,1.0,0.38461538461538464,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9849056603773585,1.0,0.0,0.2990820582896054,0.0,0.8,1.0,0.5714285714285714,1.0,0.8461538461538461,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,ExtraTrees,fleet,1.24,0.36,5464,528,76
3002,530,0.1765489673550966,0.9996916407156379,0.9991515174863315,2468,0.05043064462733162,False,0.969811320754717,1.0,0.0,0.9877475618742274,0.0,0.0,1.0,0.0,1.0,0.8461538461538461,0.5,0.0,1.0,0.0,1.0,1.0,False,0.969811320754717,1.0,0.0,0.9877475618742274,0.0,0.0,1.0,0.0,1.0,0.8461538461538461,0.5,0.0,1.0,0.0,1.0,1.0,True,0.969811320754717,1.0,0.0,0.9864973621733867,0.0,0.0,1.0,0.0,1.0,0.8461538461538461,0.5,0.0,1.0,0.0,1.0,1.0,True,0.969811320754717,1.0,0.0,0.9866647399104701,0.0,0.0,1.0,0.0,1.0,0.8461538461538461,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9962264150943396,0.9887640449438202,0.0024271844660194173,0.01437340052100396,173.26496899336263,1.0,1.0,0.8571428571428571,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,HistGB,fleet,24.37,1.61,5464,528,76
3002,530,0.1765489673550966,0.9993359589668438,0.9986158096734726,2468,0.05043064462733162,False,0.9452830188679245,1.0,0.0,0.9597190618515016,0.0,0.0,0.9968152866242038,0.0,0.9662921348314607,0.6153846153846154,0.5,0.0,1.0,0.0,1.0,1.0,False,0.9452830188679245,1.0,0.0,0.9597190618515016,0.0,0.0,0.9968152866242038,0.0,0.9662921348314607,0.6153846153846154,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9452830188679245,1.0,0.0,0.9597190618515016,0.0,0.0,0.9968152866242038,0.0,0.9662921348314607,0.6153846153846154,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9452830188679245,1.0,0.0,0.9597190618515016,0.0,0.0,0.9968152866242038,0.0,0.9662921348314607,0.6153846153846154,0.5,0.0,1.0,0.0,1.0,1.0,True,0.9962264150943396,0.9652650822669104,0.007686084142394822,0.014352239668369293,548.6724018123149,1.0,1.0,0.8571428571428571,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,XGBoost,fleet,3.62,0.03,5464,528,76
3002,530,0.1765489673550966,0.9998084203456066,0.9993582832920354,2468,0.05043064462733162,False,0.9716981132075472,1.0,0.0,0.9338656304158968,0.0,0.4,0.9968152866242038,0.14285714285714285,1.0,0.8076923076923077,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,False,0.9716981132075472,1.0,0.0,0.9338656304158968,0.0,0.4,0.9968152866242038,0.14285714285714285,1.0,0.8076923076923077,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9716981132075472,1.0,0.0,0.9338656304158967,0.0,0.4,0.9968152866242038,0.14285714285714285,1.0,0.8076923076923077,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9716981132075472,1.0,0.0,0.9338656304158967,0.0,0.4,0.9968152866242038,0.14285714285714285,1.0,0.8076923076923077,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9962264150943396,0.9652650822669104,0.007686084142394822,0.00674897038233957,548.6724018123149,1.0,1.0,0.8571428571428571,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,LightGBM,fleet,5.51,0.07,5464,528,76
3002,530,0.1765489673550966,0.9988894486169628,0.9983005329428551,2468,0.05043064462733162,False,0.939622641509434,1.0,0.0,0.9844600199352436,0.0,0.0,1.0,0.14285714285714285,0.9887640449438202,0.2692307692307692,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,False,0.939622641509434,1.0,0.0,0.9844600199352436,0.0,0.0,1.0,0.14285714285714285,0.9887640449438202,0.2692307692307692,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.939622641509434,1.0,0.0,0.9844600199352436,0.0,0.0,1.0,0.14285714285714285,0.9887640449438202,0.2692307692307692,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.939622641509434,1.0,0.0,0.9844600199352436,0.0,0.0,1.0,0.14285714285714285,0.9887640449438202,0.2692307692307692,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9962264150943396,0.967032967032967,0.007281553398058253,0.007035078049526139,519.794906980088,1.0,1.0,0.8571428571428571,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,CatBoost,fleet,5.43,0.01,5464,528,76
3002,530,0.1765489673550966,0.9904156744214447,0.9880171693707671,2468,0.05043064462733162,False,0.9358490566037736,1.0,0.0,0.9724234342575074,0.0,0.0,0.9968152866242038,0.14285714285714285,1.0,0.15384615384615385,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,False,0.9358490566037736,1.0,0.0,0.9724234342575074,0.0,0.0,0.9968152866242038,0.14285714285714285,1.0,0.15384615384615385,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9358490566037736,1.0,0.0,0.9622930884361267,0.0,0.0,0.9968152866242038,0.14285714285714285,1.0,0.15384615384615385,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.9358490566037736,1.0,0.0,0.9622930884361267,0.0,0.0,0.9968152866242038,0.14285714285714285,1.0,0.15384615384615385,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,True,0.969811320754717,1.0,0.0,0.6753779649734497,0.0,0.0,0.9968152866242038,0.14285714285714285,1.0,0.8461538461538461,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,NN:MLP,fleet,3.65,0.02,5464,528,76
3002,530,0.1765489673550966,0.9977559992672651,0.9937948510486313,2468,0.05043064462733162,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8905660377358491,1.0,0.0,0.999940037727356,0.0,0.0,0.9840764331210191,0.0,0.9157303370786517,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.5811320754716981,1.0,0.0,0.9999983310699463,0.0,0.0,0.9808917197452229,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.9641509433962264,1.0,0.0,0.5642526149749756,0.0,0.0,0.9968152866242038,0.14285714285714285,0.9831460674157303,0.8461538461538461,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,in_domain,1,CIDv2_Prototype,FS-A,NN:CNN1D,fleet,4.91,0.16,5464,528,76
