n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
61580,11887,0.19303345241961675,0.7944688200813363,0.6834488370782654,49670,0.031993395843505856,False,0.25641457053924455,0.9934810951760105,0.0004024711730022337,0.629157388562781,45.2873533617765,0.5942947702060222,0.5145512350207875,0.0,0.08257147003337686,0.21875,0.1875,0.5,0.0,1.0,True,0.36796500378564817,0.9936392548841436,0.0005634596422031273,0.6024758356166594,63.402294706487105,0.9667194928684627,0.6952800195646858,0.010869565217391304,0.13321723987810188,0.375,0.4375,0.5,0.1,1.0,True,0.4232354673172373,0.9793653883589644,0.0021330972169118388,0.5720072022301184,240.02297281741548,1.0,0.7253607238933725,0.10507246376811594,0.20388913075025394,0.5625,0.6875,1.0,0.1,1.0,True,0.42609573483637586,0.9779880285769453,0.002294085686112732,0.5709532235182196,258.13791416212604,1.0,0.7263389581804842,0.11231884057971014,0.2079524016833551,0.5625,0.6875,1.0,0.1,1.0,True,0.5076133591318247,0.882421760748757,0.016179341154689796,0.5357057442730476,1820.5516051434154,1.0,0.7351430667644901,0.3115942028985507,0.3353649687998839,0.625,0.75,1.0,0.2,1.0,in_domain,1,CTT_Traverse,FS-A,IForest,fleet,2.11,3.82,111212,11869,76
61580,11887,0.19303345241961675,0.9831990894014376,0.9646977195557711,49670,0.031993395843505856,False,0.6691343484478842,0.9997486173956762,4.024711730022337e-05,0.9974313378334047,4.52873533617765,0.8526148969889065,0.8312545854732208,0.6014492753623188,0.5588448701204469,0.65625,0.875,1.0,0.1,1.0,True,0.7028686800706654,0.9992823824901328,0.00012074135190067012,0.9953668117523193,13.586206008532951,0.8922345483359746,0.8395695769136708,0.6014492753623188,0.6084748222318966,0.65625,0.875,1.0,0.1,1.0,True,0.7804324051484816,0.9942128389240167,0.001086672167106031,0.968420684337616,122.27585407679656,0.9587955625990491,0.8725849841036928,0.6014492753623188,0.716586852416195,0.71875,1.0,1.0,0.1,1.0,True,0.7846386809119206,0.9931849643275477,0.0012879077536071478,0.9645918607711792,144.9195307576848,0.9587955625990491,0.8747860112496944,0.6014492753623188,0.7225366419968074,0.71875,1.0,1.0,0.1,1.0,True,0.8684276941196265,0.9513408902405308,0.01062523896725897,0.7996236681938171,1195.5861287508994,0.9920760697305864,0.9158718513083883,0.6340579710144928,0.8383398635901901,0.84375,1.0,1.0,0.5,1.0,in_domain,1,CTT_Traverse,FS-A,LogReg,fleet,1.57,0.09,111212,11869,76
61580,11887,0.19303345241961675,0.9889675658090603,0.9799636206217369,49670,0.031993395843505856,False,0.8484058214856566,0.9999008526670633,2.0123558650111685e-05,0.5072390952791399,2.264367668088825,1.0,0.9129371484470531,0.6920289855072463,0.8024960092874764,0.90625,1.0,1.0,0.7,1.0,True,0.8577437536804913,0.9997058535150505,6.037067595033506e-05,0.4672669231019981,6.7931030042664755,1.0,0.9251650770359501,0.6956521739130435,0.811203018429836,0.9375,1.0,1.0,0.8,1.0,True,0.8839067889290821,0.9941337874917211,0.0012476606363069245,0.3254676016958743,140.39079542150716,1.0,0.9508437270726339,0.717391304347826,0.8402263822377013,0.96875,1.0,1.0,0.9,1.0,True,0.8873559350551022,0.9935009889799379,0.0013885255468577063,0.31497872885114986,156.24136909812893,1.0,0.9528001956468575,0.7210144927536232,0.8448701204469597,0.96875,1.0,1.0,0.9,1.0,True,0.9343820980903508,0.9526546015953341,0.01110820437486165,0.18886370662197505,1249.9309527850314,1.0,0.9863047199804353,0.7210144927536232,0.9061094180815557,0.96875,1.0,1.0,0.9,1.0,in_domain,1,CTT_Traverse,FS-A,RandomForest,fleet,64.49,1.87,111212,11869,76
61580,11887,0.19303345241961675,0.9914973639331666,0.9835453759028522,49670,0.031993395843505856,False,0.7152351308151762,1.0,0.0,0.6279802996436173,0.0,1.0,0.7720714111029592,0.5978260869565217,0.660136409809897,0.65625,0.875,1.0,0.1,1.0,True,0.7637755531252629,0.999669676282757,6.037067595033506e-05,0.5370898482205789,6.7931030042664755,1.0,0.7994619711420885,0.6014492753623188,0.7274706138441446,0.65625,0.875,1.0,0.1,1.0,True,0.8549676116766215,0.9955916927899686,0.0009055601392550258,0.37755867142396277,101.89654506399714,1.0,0.8916605527023722,0.6014492753623188,0.8300682049049485,0.71875,1.0,1.0,0.1,1.0,True,0.859426263985867,0.9945482866043613,0.0011269192844062545,0.36886595856594434,126.80458941297421,1.0,0.8953289312790413,0.6014492753623188,0.8355826440284428,0.71875,1.0,1.0,0.1,1.0,True,0.9407756372507782,0.9615649183147034,0.008995230716599923,0.23539546224226163,1012.1723476357049,1.0,0.9716312056737588,0.6884057971014492,0.927151356842258,0.84375,1.0,1.0,0.5,1.0,in_domain,1,CTT_Traverse,FS-A,ExtraTrees,fleet,57.7,2.48,111212,11869,76
61580,11887,0.19303345241961675,0.9942872252370533,0.9883327986521773,49670,0.031993395843505856,False,0.8884495667535963,0.9996213913866541,8.049423460044674e-05,0.9386562340011437,9.0574706723553,1.0,0.946441672780631,0.6811594202898551,0.8521259613989262,0.84375,1.0,1.0,0.5,1.0,True,0.8966097417346681,0.9990626171728534,0.00020123558650111684,0.9064053509036467,22.64367668088825,1.0,0.9550012227928589,0.6847826086956522,0.8609780873603251,0.84375,1.0,1.0,0.5,1.0,True,0.9169681164297131,0.9967081199707388,0.0007244481114040207,0.7691641174264703,81.51723605119771,1.0,0.9696747370995353,0.6920289855072463,0.8870991147874039,0.90625,1.0,1.0,0.7,1.0,True,0.9183982501892825,0.9961675335340816,0.0008451894633046908,0.7525193861168443,95.10344205973065,1.0,0.9701638542430913,0.6920289855072463,0.8892758670729938,0.90625,1.0,1.0,0.7,1.0,True,0.9567594851518465,0.9571620939235819,0.010242891352906848,0.2915894666945672,1152.563143057212,1.0,0.9843482514062117,0.7536231884057971,0.9445653751269772,0.96875,1.0,1.0,0.9,1.0,in_domain,1,CTT_Traverse,FS-A,HistGB,fleet,59.47,5.65,111212,11869,76
61580,11887,0.19303345241961675,0.9944052249297268,0.9886306944402403,49670,0.031993395843505856,False,0.8770926221923109,0.9997123405887429,6.037067595033506e-05,0.8319538235664369,6.7931030042664755,1.0,0.9351919784788457,0.677536231884058,0.8393556813234654,0.8125,1.0,1.0,0.4,1.0,True,0.8860940523260705,0.9995255266654014,0.00010061779325055842,0.7579066157341003,11.321838340444126,1.0,0.9437515284910736,0.6811594202898551,0.8496589754752576,0.8125,1.0,1.0,0.4,1.0,True,0.9162951123075629,0.9962498856672459,0.0008250659046545792,0.4158848226070404,92.83907439164184,1.0,0.9657617999510882,0.6920289855072463,0.8882600493397185,0.875,1.0,1.0,0.6,1.0,True,0.9172204929755194,0.9960716243376576,0.0008653130219548025,0.40706339478492737,97.36780972781948,1.0,0.9662509170946442,0.6920289855072463,0.8895661007110724,0.875,1.0,1.0,0.6,1.0,True,0.9577689913350719,0.9576884253028264,0.010122150001006178,0.08970850706100464,1138.976937048679,1.0,0.9848373685497677,0.7463768115942029,0.9463067769554492,0.9375,1.0,1.0,0.8,1.0,in_domain,1,CTT_Traverse,FS-A,XGBoost,fleet,43.3,0.56,111212,11869,76
61580,11887,0.19303345241961675,0.994326791806648,0.9884864471243586,49670,0.031993395843505856,False,0.8904685791200471,0.9996222495042024,8.049423460044674e-05,0.8948311184771057,9.0574706723553,1.0,0.9488872584984104,0.6811594202898551,0.8541575968654767,0.8125,1.0,1.0,0.4,1.0,True,0.8993017582232691,0.9990654205607477,0.00020123558650111684,0.801607674126984,22.64367668088825,1.0,0.9567131327953045,0.6811594202898551,0.8647511246553475,0.8125,1.0,1.0,0.4,1.0,True,0.9213426432236898,0.9964516422527523,0.0007848187873543557,0.40185123205281637,88.31033905546418,1.0,0.9730985571044265,0.6884057971014492,0.8927586707299376,0.84375,1.0,1.0,0.5,1.0,True,0.9221838983763776,0.9961832061068703,0.0008451894633046908,0.3869233834011891,95.10344205973065,1.0,0.9730985571044265,0.6884057971014492,0.8942098389203309,0.84375,1.0,1.0,0.5,1.0,True,0.9590308740641036,0.9550138225684845,0.010806350995109975,0.03133217640702264,1215.9654377636991,1.0,0.9909513328442162,0.7717391304347826,0.9438397910317806,0.96875,1.0,1.0,0.9,1.0,in_domain,1,CTT_Traverse,FS-A,LightGBM,fleet,27.19,2.36,111212,11869,76
61580,11887,0.19303345241961675,0.9946045805455134,0.9893878236836016,49670,0.031993395843505856,False,0.890132077058972,0.9997165532879818,6.037067595033506e-05,0.8707265996202391,6.7931030042664755,1.0,0.942284177060406,0.677536231884058,0.8576404005224205,0.8125,1.0,1.0,0.4,1.0,True,0.8986287541011189,0.9995321418545897,0.00010061779325055842,0.8079258659516056,11.321838340444126,1.0,0.9525556370750795,0.6811594202898551,0.8660571760267015,0.8125,1.0,1.0,0.4,1.0,True,0.9295869437200303,0.9954954954954955,0.0010061779325055843,0.42056347064800637,113.21838340444127,1.0,0.9726094399608707,0.7137681159420289,0.9062545349005949,0.9375,1.0,1.0,0.8,1.0,True,0.9305964499032556,0.9951421374595179,0.001086672167106031,0.41019163035588135,122.27585407679656,1.0,0.9726094399608707,0.717391304347826,0.9078508199100276,0.9375,1.0,1.0,0.8,1.0,True,0.9639101539496929,0.9581068651225019,0.010081902883705954,0.10971079682596957,1134.4482017125013,1.0,0.9850819271215456,0.7862318840579711,0.955158902916848,0.9375,1.0,1.0,0.8,1.0,in_domain,1,CTT_Traverse,FS-A,CatBoost,fleet,30.2,0.18,111212,11869,76
61580,11887,0.19303345241961675,0.9921923157188249,0.9831151449955489,49670,0.031993395843505856,False,0.7650374358542946,0.999890049477735,2.0123558650111685e-05,0.9998785257339479,2.264367668088825,1.0,0.8001956468574224,0.6014492753623188,0.7292120156726165,0.65625,0.875,1.0,0.1,1.0,True,0.8129889795574998,0.9994828834419278,0.00010061779325055842,0.997740626335144,11.321838340444126,1.0,0.8407923697725606,0.6086956521739131,0.7875489769264258,0.75,0.9375,1.0,0.3,1.0,True,0.8614452763523177,0.9942712884746092,0.0011872899603565894,0.9718847274780273,133.59769241724067,1.0,0.8840792369772561,0.6376811594202898,0.8442896531708025,0.8125,1.0,1.0,0.4,1.0,True,0.8664086817531758,0.9929618202853837,0.001469019781458153,0.9652373790740967,165.29883977048425,1.0,0.8892149669845928,0.6376811594202898,0.8498040922942969,0.8125,1.0,1.0,0.4,1.0,True,0.9321107091780937,0.9588092765662859,0.009578813917453162,0.5503212213516235,1077.8390100102808,1.0,0.9427732942039618,0.7210144927536232,0.9280220577564939,0.875,1.0,1.0,0.6,1.0,in_domain,1,CTT_Traverse,FS-A,NN:MLP,fleet,135.03,0.15,111212,11869,76
61580,11887,0.19303345241961675,0.9970187998307249,0.9902336448791077,49670,0.031993395843505856,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.936989989063683,0.9891651865008881,0.0024550741553136255,0.9997105002403259,276.2528555068367,0.9809825673534073,0.9315235999021766,0.6920289855072463,0.9460165433173705,0.78125,1.0,1.0,0.3,1.0,in_domain,1,CTT_Traverse,FS-A,NN:CNN1D,fleet,145.72,2.6,111212,11869,76
