n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[fuzzing]@fa1,recall[masquerade]@fa1,recall[spoofing]@fa1,event_recall@fa1,event_recall[spoofing]@fa1,event_recall[masquerade]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[fuzzing]@fa10,recall[masquerade]@fa10,recall[spoofing]@fa10,event_recall@fa10,event_recall[spoofing]@fa10,event_recall[masquerade]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[fuzzing]@fa100,recall[masquerade]@fa100,recall[spoofing]@fa100,event_recall@fa100,event_recall[spoofing]@fa100,event_recall[masquerade]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[fuzzing]@fpr0.001,recall[masquerade]@fpr0.001,recall[spoofing]@fpr0.001,event_recall@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[masquerade]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[fuzzing]@fpr0.01,recall[masquerade]@fpr0.01,recall[spoofing]@fpr0.01,event_recall@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[masquerade]@fpr0.01,event_recall[fuzzing]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
226048,23767,0.10514138590033975,0.5006147917460904,0.10783932137510621,202303,0.02842950277399512,True,0.0,0.0,0.0,0.6557914341459588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.6478141514307311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00015819577716147339,0.6357218416222975,20.032175810765093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00020763195752443382,0.6327020208446911,26.292230751629187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.005133167837758236,0.16464237516869096,0.003060099564467251,0.6143168423922052,387.49740083948734,0.3360995850622407,0.0018224420723769851,0.0016662501041406314,0.4827586206896552,0.46153846153846156,0.38461538461538464,1.0,cross_domain,0,ROAD_ORNL,FS-A,IForest,fleet,1.54,7.78,150000,75000,76
226048,23767,0.10514138590033975,0.5896814373202086,0.13693389525578983,202303,0.02842950277399512,True,0.0,0.0,0.0,0.7960845351235735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.7868773732820651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.7671889031150755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.7592152266663227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0037026128665797113,0.18410041841004185,0.001928011034155457,0.549266323962641,244.1421426936996,0.22406639004149378,0.0006942636466198039,0.002166125135382821,0.41379310344827586,0.38461538461538464,0.3076923076923077,1.0,cross_domain,0,ROAD_ORNL,FS-A,IForest@target,target,3.12,10.2,150000,75000,76
226048,23767,0.10514138590033975,0.4847789107193996,0.10561478511977143,202303,0.02842950277399512,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.019144191526065554,0.18724279835390947,0.009763645621684686,1.0,1236.3608508206582,0.0,0.009893256964332206,0.02840956427559777,0.5517241379310345,0.6153846153846154,0.6153846153846154,0.0,cross_domain,0,ROAD_ORNL,FS-A,LogReg,fleet,3.55,0.28,150000,75000,76
226048,23767,0.10514138590033975,0.5264118761208145,0.12013964360931217,202303,0.02842950277399512,True,0.0,0.0,9.887236072592087e-06,0.9782822706502913,1.2520109881728183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,7.415427054444066e-05,0.9736625191768881,9.390082411296138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0005469769007447301,0.0896551724137931,0.0006525575807910778,0.9677211922846521,82.63272521940601,0.0,0.000520697734964853,0.0005831875364492211,0.3103448275862069,0.38461538461538464,0.3076923076923077,0.0,True,0.0007152774855892624,0.09550561797752809,0.000795922503843663,0.9671680246668668,100.78688454791188,0.0,0.0006074806907923284,0.0008331250520703157,0.3448275862068966,0.38461538461538464,0.38461538461538464,0.0,True,0.00913030672781588,0.12616279069767442,0.007430257908552953,0.9586596560103023,940.886257611873,0.004149377593360996,0.007376551245335416,0.010913938182121136,0.6896551724137931,0.6923076923076923,0.7692307692307693,0.3333333333333333,cross_domain,0,ROAD_ORNL,FS-A,RandomForest,fleet,69.6,4.12,150000,75000,76
226048,23767,0.10514138590033975,0.4501834198045387,0.09147102802455184,202303,0.02842950277399512,True,0.0,0.0,4.943618036296043e-06,0.9682792585541274,0.6260054940864092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,4.449256232666439e-05,0.962480660326958,5.634049446777683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00012622543863339926,0.02830188679245283,0.0005091926577384925,0.9552181990426039,64.47856589090014,0.0,0.0,0.00024993751562109475,0.10344827586206896,0.23076923076923078,0.0,0.0,True,0.00016830058484453234,0.027777777777777776,0.0006921065250814462,0.9541024329163785,87.64076917209731,0.0,8.678295582747549e-05,0.00024993751562109475,0.13793103448275862,0.23076923076923078,0.07692307692307693,0.0,True,0.005006942399124837,0.056424845898530106,0.009837799892229127,0.9435745801915546,1245.7509332319544,0.0,0.004252364835546299,0.00583187536449221,0.5862068965517241,0.6923076923076923,0.6153846153846154,0.0,cross_domain,0,ROAD_ORNL,FS-A,ExtraTrees,fleet,53.86,4.04,150000,75000,76
226048,23767,0.10514138590033975,0.4900616503032088,0.11345863645097923,202303,0.02842950277399512,True,0.0,0.0,0.0,0.999997345205198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00012622543863339926,0.06976744186046512,0.00019774472145184173,0.9999957647789912,25.040219763456367,0.0,0.0,0.00024993751562109475,0.034482758620689655,0.07692307692307693,0.0,0.0,True,0.002019607018134388,0.16783216783216784,0.0011765810926384584,0.9999945867067346,148.9893075925654,0.0,0.0013885272932396078,0.00266600016662501,0.3448275862068966,0.38461538461538464,0.38461538461538464,0.0,True,0.002356208187823453,0.15730337078651685,0.001483085410888813,0.9999944668750219,187.80164822592278,0.0,0.0014753102490670832,0.0032491877030742314,0.3793103448275862,0.46153846153846156,0.38461538461538464,0.0,True,0.022257752345689403,0.17395593554751726,0.012418368507175662,0.9999925929806073,1572.52580114506,0.012448132780082987,0.017356591165495098,0.027159876697492293,0.8620689655172413,0.9230769230769231,0.8461538461538461,0.6666666666666666,cross_domain,0,ROAD_ORNL,FS-A,HistGB,fleet,45.81,10.8,150000,75000,76
226048,23767,0.10514138590033975,0.474628339260919,0.10167449558109293,202303,0.02842950277399512,True,0.0,0.0,0.0,0.9999970197677612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00015819577716147339,0.9999957084655762,20.032175810765093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0006311271931669963,0.05102040816326531,0.0013792694321265962,0.999994158744812,174.6555328501082,0.0,8.678295582747549e-05,0.0011663750728984422,0.20689655172413793,0.38461538461538464,0.07692307692307693,0.0,True,0.0007152774855892624,0.04941860465116279,0.0016165630978688063,0.9999940395355225,204.70379656625585,0.0,8.678295582747549e-05,0.001333000083312505,0.20689655172413793,0.38461538461538464,0.07692307692307693,0.0,True,0.009214457020238145,0.0801610541727672,0.012423312125211958,0.9999912977218628,1573.1518066391463,0.0,0.004165581879718824,0.0142464383904024,0.6206896551724138,0.7692307692307693,0.6153846153846154,0.0,cross_domain,0,ROAD_ORNL,FS-A,XGBoost,fleet,11.92,1.58,150000,75000,76
226048,23767,0.10514138590033975,0.4993891730077023,0.10758984227792874,202303,0.02842950277399512,True,0.0,0.0,5.9323416435552526e-05,0.9999951745854352,7.512065929036911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00016830058484453234,0.08695652173913043,0.00020763195752443382,0.9999936541692445,26.292230751629187,0.0,0.0002603488674824265,8.331250520703157e-05,0.10344827586206896,0.07692307692307693,0.15384615384615385,0.0,True,0.0009677283628560609,0.08518518518518518,0.0012210736549651228,0.9999911679663996,154.6233570393431,0.0,0.000520697734964853,0.0014163125885195368,0.2413793103448276,0.3076923076923077,0.23076923076923078,0.0,True,0.0011360289477005932,0.07714285714285714,0.001596788625723622,0.9999907427942217,202.1997745899102,0.0,0.0006942636466198039,0.0015829375989336,0.2413793103448276,0.3076923076923077,0.23076923076923078,0.0,True,0.011991416670172929,0.09365757476174827,0.013634498544104489,0.9999853414977804,1726.523152690317,0.004149377593360996,0.007810466024472794,0.016162626010164126,0.7586206896551724,0.8461538461538461,0.7692307692307693,0.3333333333333333,cross_domain,0,ROAD_ORNL,FS-A,LightGBM,fleet,10.23,4.86,150000,75000,76
226048,23767,0.10514138590033975,0.5375712531918029,0.12060606520047443,202303,0.02842950277399512,True,0.0,0.0,0.0,0.9999996024904579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,2.4718090181480216e-05,0.999999424010962,3.130027470432046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.415029242226617e-05,0.02197802197802198,0.0004399820052303479,0.9999991142880893,55.71448897369042,0.0,8.678295582747549e-05,8.331250520703157e-05,0.06896551724137931,0.07692307692307693,0.07692307692307693,0.0,True,0.00012622543863339926,0.02702702702702703,0.0005339107479199727,0.9999990856168371,67.60859336133218,0.0,8.678295582747549e-05,0.00016662501041406314,0.10344827586206896,0.15384615384615385,0.07692307692307693,0.0,True,0.006437497370303362,0.08561835478455512,0.008077871871307735,0.99999846526886,1022.8929773371926,0.004149377593360996,0.003558101188926495,0.009247688077980504,0.6551724137931034,0.7692307692307693,0.6153846153846154,0.3333333333333333,cross_domain,0,ROAD_ORNL,FS-A,CatBoost,fleet,42.34,1.07,150000,75000,76
226048,23767,0.10514138590033975,0.44491094009498566,0.09169042644785699,202303,0.02842950277399512,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross_domain,0,ROAD_ORNL,FS-A,NN:MLP,fleet,61.07,0.76,150000,75000,76
