n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[spoofing]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[spoofing]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[spoofing]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[suspension]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
2994,528,0.17635270541082165,0.2771783375113667,0.1578150721879061,2470,0.05043064462733162,False,0.001893939393939394,1.0,0.0,71.84722279952982,0.0,0.0,0.003194888178913738,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,False,0.001893939393939394,1.0,0.0,71.84722279952982,0.0,0.0,0.003194888178913738,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.003787878787878788,1.0,0.0,45.49719927309124,0.0,0.0,0.003194888178913738,0.0,0.0,0.038461538461538464,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.003787878787878788,1.0,0.0,55.17317620221764,0.0,0.0,0.003194888178913738,0.0,0.0,0.038461538461538464,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.011363636363636364,0.17142857142857143,0.011759935117599351,10.84247095773388,839.4849349281008,0.0,0.003194888178913738,0.0,0.0,0.19230769230769232,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:Periodicity,fleet,0.0,0.0,5470,530,40
2994,528,0.17635270541082165,0.8058712121212122,0.6802126981235197,2470,0.05043064462733162,False,0.6117424242424242,1.0,0.0,5e-324,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,False,0.6117424242424242,1.0,0.0,5e-324,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6117424242424242,1.0,0.0,5e-324,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6117424242424242,1.0,0.0,5e-324,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.6117424242424242,1.0,0.0,5e-324,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:UnseenID,fleet,0.0,0.0,5470,530,40
2994,528,0.17635270541082165,0.9289473199144731,0.9135667559131799,2470,0.05043064462733162,False,0.7386363636363636,1.0,0.0,0.7204764605017834,0.0,0.0,0.9968051118210862,0.0,0.43820224719101125,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,False,0.7386363636363636,1.0,0.0,0.7204764605017834,0.0,0.0,0.9968051118210862,0.0,0.43820224719101125,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7386363636363636,0.9974424552429667,0.00040551500405515005,0.6633778471454856,28.947756376831062,0.0,0.9968051118210862,0.0,0.43820224719101125,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7386363636363636,0.9974424552429667,0.00040551500405515005,0.6741949174199846,28.947756376831062,0.0,0.9968051118210862,0.0,0.43820224719101125,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.7727272727272727,0.9107142857142857,0.016220600162206,0.5488807184159877,1157.9102550732423,0.0,0.9968051118210862,0.0,0.5393258426966292,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:BusLoad,fleet,0.0,0.0,5470,530,40
2994,528,0.17635270541082165,0.7559064642778147,0.7127031295832851,2470,0.05043064462733162,False,0.5984848484848485,1.0,0.0,1.9947515013680313,0.0,0.0,0.9968051118210862,0.0,0.0,0.15384615384615385,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,False,0.5984848484848485,1.0,0.0,1.9947515013680313,0.0,0.0,0.9968051118210862,0.0,0.0,0.15384615384615385,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.5984848484848485,1.0,0.0,1.994751501368031,0.0,0.0,0.9968051118210862,0.0,0.0,0.15384615384615385,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.5984848484848485,1.0,0.0,1.994751501368031,0.0,0.0,0.9968051118210862,0.0,0.0,0.15384615384615385,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.6136363636363636,0.8950276243093923,0.015409570154095702,1.3160615910308144,1100.0147423195806,0.0,0.9968051118210862,0.0,0.0,0.46153846153846156,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:IDEntropy,fleet,0.0,0.0,5470,530,40
2994,528,0.17635270541082165,0.12278118779031189,0.1284187666274214,2470,0.05043064462733162,False,0.0,0.0,0.0032441200324412004,4.947368421052633,231.5820510146485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0032441200324412004,4.947368421052633,231.5820510146485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0052716950527169504,4.947368421052632,376.32083289880387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0032441200324412004,4.947368421052633,231.5820510146485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.007575757575757576,0.0975609756097561,0.015004055150040552,4.421052631578948,1071.0669859427494,0.2,0.0,0.0,0.0,0.11538461538461539,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:Hamming,fleet,0.0,0.0,5470,530,40
2994,528,0.17635270541082165,0.8250913176779965,0.734338568488461,2470,0.05043064462733162,False,0.5946969696969697,0.9968253968253968,0.00040551500405515005,7.49484142792232,28.947756376831062,0.0,1.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,False,0.5946969696969697,0.9968253968253968,0.00040551500405515005,7.49484142792232,28.947756376831062,0.0,1.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,True,0.5946969696969697,0.9968253968253968,0.00040551500405515005,7.463580914169022,28.947756376831062,0.0,1.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,True,0.5946969696969697,0.9968253968253968,0.00040551500405515005,7.494841427922319,28.947756376831062,0.0,1.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,True,0.5984848484848485,0.9002849002849003,0.014193025141930252,5.266713373721825,1013.1714731890872,0.0,1.0,0.16666666666666666,0.0,0.07692307692307693,0.5,0.0,1.0,0.5,0.0,1.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:Staleness,fleet,0.0,0.0,5470,530,40
2994,528,0.17635270541082165,0.9585760279190936,0.8627286033121623,2470,0.05043064462733162,False,0.6136363636363636,1.0,0.0,71.84722279952982,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,False,0.6136363636363636,1.0,0.0,71.84722279952982,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,True,0.615530303030303,1.0,0.0,45.49719927309124,0.0,1.0,1.0,1.0,0.0,0.038461538461538464,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.615530303030303,1.0,0.0,55.17317620221764,0.0,1.0,1.0,1.0,0.0,0.038461538461538464,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,True,0.6287878787878788,0.8972972972972973,0.015409570154095702,11.780973013595455,1100.0147423195806,1.0,1.0,1.0,0.0,0.3076923076923077,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:Combined,fleet,0.0,0.0,5470,530,40
2994,528,0.17635270541082165,0.9061739659367397,0.845566132264529,2470,0.05043064462733162,False,0.6553030303030303,1.0,0.0,8.931515698139448,0.0,1.0,1.0,1.0,0.12359550561797752,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,False,0.6553030303030303,1.0,0.0,8.931515698139448,0.0,1.0,1.0,1.0,0.12359550561797752,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.7916666666666666,1.0,0.0,8.628202818166647,0.0,1.0,1.0,1.0,0.5280898876404494,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.7916666666666666,1.0,0.0,8.628202818166647,0.0,1.0,1.0,1.0,0.5280898876404494,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,True,0.7916666666666666,1.0,0.0,8.628202818166647,0.0,1.0,1.0,1.0,0.5280898876404494,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,in_domain,0,CIDv2_Prototype,FS-B,Rule:CombinedQ,fleet,0.0,0.0,5470,530,40
2994,528,0.1763527054108216,0.98905032686967,0.9566063193710158,2470,0.0504306446273316,False,0.0,0.0,0.0,0.7983547576289877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.7983547576289877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.7406520715275302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.7794572163247059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6268939393939394,0.993993993993994,0.0008110300081103,0.5945156554453886,57.895512753662125,0.0,1.0,0.1666666666666666,0.0786516853932584,0.1153846153846153,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,in_domain,0,CIDv2_Prototype,FS-B,IForest,fleet,0.86,0.19,5470,530,40
2994,528,0.1763527054108216,0.9940055973358894,0.9874324641631816,2470,0.0504306446273316,False,0.8257575757575758,1.0,0.0,0.9971541166305544,0.0,0.2,0.9968051118210862,0.1666666666666666,0.6797752808988764,0.0384615384615384,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,False,0.8257575757575758,1.0,0.0,0.9971541166305544,0.0,0.2,0.9968051118210862,0.1666666666666666,0.6797752808988764,0.0384615384615384,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8371212121212122,1.0,0.0,0.996171772480011,0.0,0.2,0.9968051118210862,0.1666666666666666,0.7134831460674157,0.0384615384615384,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.8257575757575758,1.0,0.0,0.9971541166305542,0.0,0.2,0.9968051118210862,0.1666666666666666,0.6797752808988764,0.0384615384615384,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,True,0.9583333333333334,0.9638095238095238,0.0077047850770478,0.6256956458091736,550.0073711597903,0.4,0.9968051118210862,1.0,0.9831460674157304,0.4230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,0,CIDv2_Prototype,FS-B,LogReg,fleet,0.05,0.0,5470,530,40
