n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[dos]@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[dos]@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[dos]@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[dos]@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[dos]@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[fuzzing]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
118722,21816,0.18375701217971396,0.89547763963908,0.8603080423241736,96923,0.024890421752929687,False,0.0,0.0,0.0,1.6378004425234223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5466171617161716,0.9989110403752722,0.0001341506201886364,0.6712756821190431,19.402734010412946,0.7402620554416615,0.04323607427055703,0.3417679921130463,0.6387420718816068,0.8823529411764706,0.75,0.9166666666666666,1.0,0.5,True,0.7238265493215988,0.9911498870198343,0.0014550182651229026,0.5060833774771544,210.44503811294044,0.8137088867100455,0.259946949602122,0.862306933946763,0.8081395348837209,1.0,1.0,1.0,1.0,1.0,True,0.7363403006967364,0.9897720271102896,0.0017130002270241264,0.4629546722075272,247.75798813296532,0.8137088867100455,0.3053050397877984,0.8948406178113704,0.8089323467230444,1.0,1.0,1.0,1.0,1.0,True,0.7671433810047671,0.9453764898604756,0.00997874228633934,0.3125071835007371,1443.264906774563,0.8137088867100455,0.429973474801061,0.9572790009858692,0.8121035940803383,1.0,1.0,1.0,1.0,1.0,cross_domain,0,CTT_Silverado,FS-B,Rule:Periodicity,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.6496607994132746,0.42807616832504164,96923,0.024890421752929687,False,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,cross_domain,0,CTT_Silverado,FS-B,Rule:UnseenID,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.9058544070822991,0.8264804427974272,96923,0.024890421752929687,False,0.02993215988265493,0.9984709480122325,1.0319278476048955e-05,6.021809508702318,1.492518000800996,0.05410464390765665,0.011405835543766578,0.0,0.0007928118393234672,0.23529411764705882,1.0,0.16666666666666666,0.0,0.5,True,0.0897048038137147,0.9949161159125572,0.00010319278476048954,5.102698012139064,14.92518000800996,0.1638292182904002,0.029442970822281166,0.0,0.0021141649048625794,0.3235294117647059,1.0,0.4166666666666667,0.0,0.5,True,0.25944261092775944,0.9884736290604261,0.000681072379419231,4.142201161948293,98.50618805286572,0.45690346733220427,0.12891246684350133,0.003614853762734144,0.009778012684989429,0.5588235294117647,1.0,0.75,0.2857142857142857,0.5,True,0.32375320865419877,0.9871418588399721,0.0009493736197965038,3.6387186405377836,137.3116560736916,0.5632409305642214,0.18037135278514588,0.004272099901413079,0.013477801268498943,0.5588235294117647,1.0,0.75,0.2857142857142857,0.5,True,0.6261001100110011,0.9352917009038619,0.009751718159866262,2.18094210503698,1410.429510756941,0.950976022818433,0.6419098143236074,0.060795267827801515,0.10174418604651163,0.8235294117647058,1.0,0.9166666666666666,0.7142857142857143,0.75,cross_domain,0,CTT_Silverado,FS-B,Rule:BusLoad,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.7082399191717823,0.6878602421035589,96923,0.024890421752929687,False,0.5528052805280528,1.0,0.0,-0.4602182583513742,0.0,0.9997325964881005,0.0,0.14952349654945776,0.10280126849894292,0.35294117647058826,1.0,0.3333333333333333,0.2857142857142857,0.0,True,0.5542262559589293,1.0,0.0,-0.47183005249607385,0.0,0.9997325964881005,0.0,0.15773907328294445,0.10438689217758985,0.35294117647058826,1.0,0.3333333333333333,0.2857142857142857,0.0,True,0.5647231389805647,0.9976516317110697,0.0002992590758054197,-0.5711829891834792,43.28302202322889,0.9997325964881005,0.0,0.20276043378245154,0.1286997885835095,0.47058823529411764,1.0,0.5,0.42857142857142855,0.0,True,0.5675650898423176,0.9958980133515644,0.0005262832022784967,-0.5926901794452634,76.1184180408508,0.9997325964881005,0.0,0.21853434111074596,0.13239957716701903,0.5,1.0,0.5,0.5,0.0,True,0.5792995966263293,0.9534515277253867,0.006366994819722205,-0.7135503063944529,920.8836064942144,0.9998217309920671,0.001326259946949602,0.2780151166611896,0.1506342494714588,0.6176470588235294,1.0,0.75,0.5,0.25,cross_domain,0,CTT_Silverado,FS-B,Rule:IDEntropy,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.4136271888459218,0.2924688882866884,96923,0.024890421752929687,False,0.004812981298129813,1.0,0.0,2.6965516189049032,0.0,0.0,0.027851458885941646,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.5,True,0.07824532453245324,1.0,0.0,2.0957854698444236,0.0,0.0,0.45278514588859414,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.5,True,0.14168500183351668,0.9800253646163601,0.0006501145439910842,1.419098163473195,94.02863405046276,0.0,0.8129973474801061,0.0069010844561288205,0.001321353065539112,0.23529411764705882,0.0,0.25,0.14285714285714285,0.75,True,0.14223505683901724,0.9727272727272728,0.0008977772274162591,1.4039409242827317,129.84906606968667,0.0,0.8151193633952255,0.00821557673348669,0.001321353065539112,0.23529411764705882,0.0,0.25,0.14285714285714285,0.75,True,0.14938577191052438,0.8040957315568714,0.00819350710998287,1.2413793103448276,1185.0592926359907,0.0,0.829973474801061,0.025632599408478476,0.013742071881606765,0.38235294117647056,0.0,0.4166666666666667,0.2857142857142857,1.0,cross_domain,0,CTT_Silverado,FS-B,Rule:Hamming,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.48732433017722343,0.1817842797561067,96923,0.024890421752929687,False,0.0,0.0,5.159639238024477e-05,8.723877225414856,7.46259000400498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00014446989866468535,8.21316184061479,20.89525201121394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0007334066740007334,0.17204301075268819,0.0007945844426557695,7.0008337462050365,114.9238860616767,0.0008913450396648543,0.0,0.0,0.0015856236786469344,0.17647058823529413,0.75,0.25,0.0,0.0,True,0.0010542720938760543,0.21100917431192662,0.0008874579489402101,6.818280431190838,128.35654806888564,0.0013370175594972814,0.0,0.0,0.0021141649048625794,0.20588235294117646,0.75,0.3333333333333333,0.0,0.0,True,0.012009534286762009,0.2102728731942215,0.010154170020432172,4.2337806898267685,1468.6377127881801,0.013726713610838756,0.008753315649867375,0.005915215248110417,0.015063424947145878,0.7058823529411765,1.0,0.75,0.5714285714285714,0.75,cross_domain,0,CTT_Silverado,FS-B,Rule:Staleness,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.9983314318918046,0.9921033677715666,96923,0.024890421752929687,False,0.8034470113678035,1.0,0.0,31250.000000000004,0.0,1.0,0.8480106100795756,0.6033519553072626,0.3372093023255814,0.7352941176470589,1.0,0.8333333333333334,0.6428571428571429,0.5,True,0.9197378071140447,0.9999501644572909,1.0319278476048955e-05,31250.0,1.492518000800996,1.0,0.8482758620689655,0.8879395333552416,0.7785412262156448,0.8529411764705882,1.0,0.9166666666666666,0.8571428571428571,0.5,True,0.9197378071140447,0.9999501644572909,1.0319278476048955e-05,31250.0,1.492518000800996,1.0,0.8482758620689655,0.8879395333552416,0.7785412262156448,0.8529411764705882,1.0,0.9166666666666666,0.8571428571428571,0.5,True,0.9197378071140447,0.9999501644572909,1.0319278476048955e-05,31250.0,1.492518000800996,1.0,0.8482758620689655,0.8879395333552416,0.7785412262156448,0.8529411764705882,1.0,0.9166666666666666,0.8571428571428571,0.5,True,0.9197378071140447,0.9999501644572909,1.0319278476048955e-05,31250.0,1.492518000800996,1.0,0.8482758620689655,0.8879395333552416,0.7785412262156448,0.8529411764705882,1.0,0.9166666666666666,0.8571428571428571,0.5,cross_domain,0,CTT_Silverado,FS-B,Rule:Combined,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.6513158764460643,0.4308071906391425,96923,0.024890421752929687,False,0.30198019801980197,1.0,0.0,12.582883123738691,0.0,0.186558516801854,0.9976127320954907,0.0,0.19397463002114165,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.30198019801980197,1.0,0.0,12.088982091366475,0.0,0.186558516801854,0.9976127320954907,0.0,0.19397463002114165,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.3023010634396773,0.9996968318932848,2.063855695209791e-05,11.312440910189698,2.985036001601992,0.18682592031375345,0.9978779840848806,0.0006572461386789353,0.19423890063424948,0.3235294117647059,0.75,0.25,0.07142857142857142,1.0,True,0.3023010634396773,0.9996968318932848,2.063855695209791e-05,11.312440910189698,2.985036001601992,0.18682592031375345,0.9978779840848806,0.0006572461386789353,0.19423890063424948,0.3235294117647059,0.75,0.25,0.07142857142857142,1.0,True,0.3023010634396773,0.9996968318932848,2.063855695209791e-05,11.312440910189698,2.985036001601992,0.18682592031375345,0.9978779840848806,0.0006572461386789353,0.19423890063424948,0.3235294117647059,0.75,0.25,0.07142857142857142,1.0,cross_domain,0,CTT_Silverado,FS-B,Rule:CombinedQ,fleet,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.89547763963908,0.8603080423829567,96923,0.024890421752929687,False,0.0,0.0,0.0,12.332965305685127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5466171617161716,0.9989110403752722,0.0001341506201886364,5.105206100412698,19.402734010412946,0.7402620554416615,0.04323607427055703,0.3417679921130463,0.6387420718816068,0.8823529411764706,0.75,0.9166666666666666,1.0,0.5,True,0.7238265493215988,0.9911498870198343,0.0014550182651229026,3.869883238511392,210.44503811294044,0.8137088867100455,0.259946949602122,0.862306933946763,0.8081395348837209,1.0,1.0,1.0,1.0,1.0,True,0.7363403006967364,0.9897720271102896,0.0017130002270241264,3.547363322435975,247.75798813296532,0.8137088867100455,0.3053050397877984,0.8948406178113704,0.8089323467230444,1.0,1.0,1.0,1.0,1.0,True,0.7671433810047671,0.9453764898604756,0.00997874228633934,2.4223033118306594,1443.264906774563,0.8137088867100455,0.429973474801061,0.9572790009858692,0.8121035940803383,1.0,1.0,1.0,1.0,1.0,cross_domain,0,CTT_Silverado,FS-B,Rule:Periodicity@target,target,0.0,0.0,150000,75000,40
118722,21816,0.18375701217971396,0.6496607994132746,0.42807616832504164,96923,0.024890421752929687,False,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,True,0.2993215988265493,1.0,0.0,5e-324,0.0,0.186558516801854,0.9936339522546419,0.0,0.18261099365750527,0.23529411764705882,0.5,0.16666666666666666,0.0,1.0,cross_domain,0,CTT_Silverado,FS-B,Rule:UnseenID@target,target,0.0,0.0,150000,75000,40
