n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
62883,13793,0.21934386082088958,0.8962877757333841,0.7550857053535371,49115,0.039665574882341466,False,0.0,0.0,0.0,0.7456806464384819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0001425952332450601,0.7373014874568486,12.941772335455271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7.250054375407815e-05,0.014925373134328358,0.0013444693420248523,0.7133547330605214,122.02242487714973,0.0,0.0,0.0,0.00010538518284329223,0.02631578947368421,0.08333333333333333,0.0,0.0,0.0,True,7.250054375407815e-05,0.01694915254237288,0.001181503361173355,0.7149974793999119,107.23182792234368,0.0,0.0,0.0,0.00010538518284329223,0.02631578947368421,0.08333333333333333,0.0,0.0,0.0,True,0.46052345392590444,0.9121194715680643,0.01246689753513954,0.49786881497050156,1131.480667042661,0.9983974358974359,0.7059396299902629,0.5620052770448549,0.3702181473284856,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,in_domain,0,CTT_Forester,FS-A,IForest,fleet,3.21,3.59,112043,13814,76
62883,13793,0.21934386082088958,0.9917594802362322,0.9856241586165722,49115,0.039665574882341466,False,0.7648082360617705,0.999715693707354,6.111224281931147e-05,0.9974811673164369,5.54647385805226,0.8910256410256411,0.9259980525803311,0.6630229928382962,0.7675202866476973,0.9473684210526315,1.0,0.9090909090909091,1.0,1.0,True,0.8023635177263829,0.9993678887484198,0.0001425952332450601,0.9945083260536194,12.941772335455271,0.9214743589743589,0.9425511197663097,0.6841311722578214,0.8124143745389398,0.9473684210526315,1.0,0.9090909090909091,1.0,1.0,True,0.9031392735445516,0.9954451014863354,0.0011611326135669178,0.9334233999252319,105.38300330299293,0.9775641025641025,0.9795520934761441,0.7855258198266114,0.92285804615871,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.8994417458130936,0.9959858702633269,0.001018537380321858,0.9416266083717346,92.44123096753768,0.9759615384615384,0.9785783836416748,0.781379570297776,0.9188534092106649,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9477996084970637,0.9634460903530105,0.01010389081279283,0.6270791292190552,917.0170111979736,0.9903846153846154,0.994157740993184,0.8609121748963438,0.964274423016124,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,LogReg,fleet,1.8,0.09,112043,13814,76
62883,13793,0.21934386082088958,0.9975544129577509,0.995632555620836,49115,0.039665574882341466,False,0.8953817153628653,1.0,0.0,0.7150321626518072,0.0,0.9983974358974359,0.8315481986368062,0.760271390878251,0.933291179260196,0.9473684210526315,1.0,0.9090909090909091,1.0,1.0,True,0.9430870731530486,0.9993853718500307,0.00016296598085149724,0.5598780686773857,14.790596954806027,0.9983974358974359,0.9766309639727361,0.8424425179042593,0.963958267467594,1.0,1.0,1.0,1.0,1.0,True,0.9741898064235481,0.9965143874221299,0.0009574251375025464,0.32926205041072704,86.89475710948541,1.0,0.9931840311587147,0.9283829626837542,0.9832437559279166,1.0,1.0,1.0,1.0,1.0,True,0.9736823026172696,0.9967344515362921,0.0008963128946832349,0.3362882192317114,81.34828325143314,1.0,0.9931840311587147,0.9264983038070109,0.98303298556223,1.0,1.0,1.0,1.0,1.0,True,0.9852823896179221,0.9692603951216033,0.008779792218374414,0.1339685331618906,796.8434109401746,1.0,0.9990262901655307,0.9675838673200151,0.9877753187901781,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,RandomForest,fleet,72.79,1.89,112043,13814,76
62883,13793,0.21934386082088958,0.9975988171408535,0.9955600432340812,49115,0.039665574882341466,False,0.8601464510983833,0.9995787345184936,0.00010185373803218578,0.5369797681883262,9.244123096753768,1.0,0.8841285296981499,0.789295137580098,0.8681631362630414,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9195243964329732,0.9992121641849838,0.00020370747606437156,0.44976793392361325,18.488246193507536,1.0,0.9561830574488802,0.8330192235205428,0.9344504162714722,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9648372362792721,0.9964807188318981,0.0009574251375025464,0.3158363097949198,86.89475710948541,1.0,0.9961051606621227,0.9065209197135319,0.9754452523975129,1.0,1.0,1.0,1.0,1.0,True,0.9641122308417314,0.9967021436066557,0.0008963128946832349,0.3190371145125235,81.34828325143314,1.0,0.9961051606621227,0.9046362608367885,0.9749183264832965,1.0,1.0,1.0,1.0,1.0,True,0.9849923874429058,0.9711222301644031,0.00822978203300061,0.18519719532962095,746.9251462177043,1.0,0.9980525803310614,0.9653222766679231,0.988091474338708,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,ExtraTrees,fleet,57.0,2.54,112043,13814,76
62883,13793,0.21934386082088958,0.9979269142237043,0.996031694042676,49115,0.039665574882341466,False,0.9367070253026898,0.9998452251973379,4.074149521287431e-05,0.9869346017243883,3.6976492387015067,0.9951923076923077,0.9386562804284323,0.8718431963814549,0.9507851196121825,1.0,1.0,1.0,1.0,1.0,True,0.9561371710287827,0.9998483699772555,4.074149521287431e-05,0.9519609156148222,3.6976492387015067,0.9951923076923077,0.9737098344693281,0.9012438748586505,0.9670144377700496,1.0,1.0,1.0,1.0,1.0,True,0.9745523091423186,0.9960726194886995,0.0010796496231411693,0.6395502118148877,97.98770482558993,0.9951923076923077,0.9931840311587147,0.9396909159442141,0.9809252819053641,1.0,1.0,1.0,1.0,1.0,True,0.9728847966359748,0.996731783406373,0.0008963128946832349,0.6952800751454082,81.34828325143314,0.9951923076923077,0.991236611489776,0.9366754617414248,0.9795552745284013,1.0,1.0,1.0,1.0,1.0,True,0.9844123830928732,0.966818570207918,0.009492768384599715,0.0847995029600662,861.5522726174512,0.9983974358974359,0.997078870496592,0.9690915944214097,0.9864053114132153,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,HistGB,fleet,23.14,1.74,112043,13814,76
62883,13793,0.21934386082088958,0.9977396652128996,0.9957759327198843,49115,0.039665574882341466,False,0.9181468861016457,0.9999210422424003,2.0370747606437155e-05,0.9838590025901796,1.8488246193507534,0.9951923076923077,0.9143135345666992,0.8337730870712401,0.9370850458425546,1.0,1.0,1.0,1.0,1.0,True,0.9528746465598492,0.999847850893876,4.074149521287431e-05,0.8667758107185364,3.6976492387015067,0.9967948717948718,0.9776046738072055,0.895212966453072,0.9634313415533776,1.0,1.0,1.0,1.0,1.0,True,0.9738273037047778,0.9962913514315384,0.001018537380321858,0.2788724899291992,92.44123096753768,0.9983974358974359,0.991236611489776,0.9393139841688655,0.9799768152597744,1.0,1.0,1.0,1.0,1.0,True,0.9735373015297615,0.9965120593692022,0.0009574251375025464,0.29994481801986694,86.89475710948541,0.9983974358974359,0.991236611489776,0.9378062570674708,0.9799768152597744,1.0,1.0,1.0,1.0,1.0,True,0.9846298847241355,0.9673765937744854,0.009329802403748217,0.019030267372727394,846.761675662645,0.9983974358974359,0.9961051606621227,0.9690915944214097,0.9868268521445884,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,XGBoost,fleet,9.98,0.47,112043,13814,76
62883,13793,0.21934386082088958,0.9982050200475302,0.9964743342670305,49115,0.039665574882341466,False,0.9296744725585442,1.0,0.0,0.9904130539212783,0.0,0.9951923076923077,0.9337877312560857,0.8462118356577459,0.9482558752239435,1.0,1.0,1.0,1.0,1.0,True,0.9580221851663887,0.9997730195959749,6.111224281931147e-05,0.8986861856803908,5.54647385805226,0.9967948717948718,0.9834469328140214,0.9023746701846965,0.9682790599641691,1.0,1.0,1.0,1.0,1.0,True,0.9760023200174002,0.9958573753513833,0.0011407618659604807,0.20753417044004493,103.53417868364217,0.9983974358974359,0.9922103213242454,0.943083301922352,0.9819791337337971,1.0,1.0,1.0,1.0,1.0,True,0.9753498151236134,0.9964447077994223,0.0009777958851089836,0.24867622817500654,88.74358172883616,0.9983974358974359,0.9922103213242454,0.9415755748209574,0.9814522078195805,1.0,1.0,1.0,1.0,1.0,True,0.985137388530414,0.9691177519435134,0.008820533713587288,0.005056985672363623,800.5410601788761,1.0,0.997078870496592,0.9698454579721071,0.9871430076931184,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,LightGBM,fleet,24.7,2.89,112043,13814,76
62883,13793,0.21934386082088958,0.9980231099950809,0.996296634275926,49115,0.039665574882341466,False,0.9441745813093598,0.9998464491362764,4.074149521287431e-05,0.9453653487983641,3.6976492387015067,0.9935897435897436,0.9513145082765336,0.8831511496419148,0.9572136157656234,1.0,1.0,1.0,1.0,1.0,True,0.9633872254041905,0.9991728701406121,0.0002240782236708087,0.7354936133243473,20.337070812858286,0.9935897435897436,0.9834469328140214,0.9166980776479458,0.9722836969122142,1.0,1.0,1.0,1.0,1.0,True,0.9759298194736461,0.9963730569948187,0.0009981666327154206,0.35125075847735504,90.59240634818691,0.9967948717948718,0.9922103213242454,0.9449679607990954,0.9814522078195805,1.0,1.0,1.0,1.0,1.0,True,0.9757123178423838,0.9964460239893381,0.0009777958851089836,0.3622882748211998,88.74358172883616,0.9967948717948718,0.9922103213242454,0.944214097248398,0.9813468226367372,1.0,1.0,1.0,1.0,1.0,True,0.9872399042992822,0.9683544303797469,0.009064982684864534,0.03493498209207988,822.7269556110851,0.9983974358974359,0.997078870496592,0.9762532981530343,0.9885130150700812,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,CatBoost,fleet,36.5,0.12,112043,13814,76
62883,13793,0.21934386082088958,0.9960497202201211,0.9926508035664326,49115,0.039665574882341466,False,0.8629739723047923,0.9999159946236559,2.0370747606437155e-05,0.995581090450287,1.8488246193507534,0.9983974358974359,0.9036027263875365,0.8522427440633246,0.8526715143850775,1.0,1.0,1.0,1.0,1.0,True,0.8772565794243457,0.9996695307336417,8.148299042574862e-05,0.9916975498199463,7.3952984774030135,0.9983974358974359,0.9162609542356378,0.862796833773087,0.8691116029086311,1.0,1.0,1.0,1.0,1.0,True,0.9301094758210686,0.996349798073936,0.0009574251375025464,0.8896588087081909,86.89475710948541,0.9983974358974359,0.9629990262901655,0.9121748963437618,0.9270734534724417,1.0,1.0,1.0,1.0,1.0,True,0.9274269557021678,0.9971159092680646,0.0007537176614381747,0.9058564901351929,68.40651091597788,0.9983974358974359,0.9600778967867576,0.9102902374670184,0.9240172831699863,1.0,1.0,1.0,1.0,1.0,True,0.9703472776045821,0.9697847982030288,0.008494601751884294,0.21521532535552979,770.9598662692641,1.0,0.9883154819863681,0.9634376177911798,0.9683844451470124,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,NN:MLP,fleet,56.6,0.16,112043,13814,76
62883,13793,0.21934386082088958,0.9997161712263463,0.9993548368397318,49115,0.039665574882341466,False,0.03240774305807294,1.0,0.0,0.999999761581421,0.0,0.20673076923076922,0.07400194741966894,0.036185450433471544,0.015386236695120665,0.5,0.6666666666666666,0.3181818181818182,1.0,1.0,True,0.9561371710287827,0.9998483699772555,4.074149521287431e-05,0.9774116277694702,3.6976492387015067,0.9887820512820513,0.9834469328140214,0.8669430833019224,0.9759721783117293,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9894149206119046,0.9962768287341218,0.001038908127928295,0.127717524766922,94.29005558688841,0.9919871794871795,0.9990262901655307,0.9574067093856012,0.9971546000632311,1.0,1.0,1.0,1.0,1.0,True,0.9891249184368883,0.9965668371073777,0.0009574251375025464,0.14299443364143372,86.89475710948541,0.9919871794871795,0.9990262901655307,0.9562759140595553,0.9970492148803878,1.0,1.0,1.0,1.0,1.0,True,0.9961574711810338,0.9720551821719137,0.008046445304542677,0.009099050424993038,730.2857246435475,0.9935897435897436,0.9990262901655307,0.9860535243120995,0.9988407629887238,1.0,1.0,1.0,1.0,1.0,in_domain,0,CTT_Forester,FS-A,NN:CNN1D,fleet,91.08,2.46,112043,13814,76
