n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[spoofing]@fa1,recall[timing]@fa1,event_recall@fa1,event_recall[timing]@fa1,event_recall[spoofing]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[spoofing]@fa10,recall[timing]@fa10,event_recall@fa10,event_recall[timing]@fa10,event_recall[spoofing]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[spoofing]@fa100,recall[timing]@fa100,event_recall@fa100,event_recall[timing]@fa100,event_recall[spoofing]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[spoofing]@fpr0.001,recall[timing]@fpr0.001,event_recall@fpr0.001,event_recall[timing]@fpr0.001,event_recall[spoofing]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[spoofing]@fpr0.01,recall[timing]@fpr0.01,event_recall@fpr0.01,event_recall[timing]@fpr0.01,event_recall[spoofing]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
62939,13814,0.2194823559319341,0.8642787606038939,0.6706220275650896,49104,0.039665574882341466,False,0.0,0.0,0.00028498727735368955,0.7755605779691307,25.86510346860048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0002895613146083683,0.0784313725490196,0.0009567430025445293,0.7664475018877395,86.83284735887305,0.0,0.0038910505836575876,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.5,True,0.009265962067467786,0.3595505617977528,0.004641221374045801,0.7516347357992466,421.231685060065,0.0,0.1245136186770428,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.5,True,0.008614449109598958,0.3628048780487805,0.004254452926208651,0.754288770561119,386.1290446383929,0.0,0.11575875486381323,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.5,True,0.4254379614883452,0.8604685212298683,0.019399491094147583,0.5064658365456657,1760.6745432554474,1.0,0.7577821011673151,0.5286839145106862,0.3225534604445381,0.9473684210526315,0.9166666666666666,0.9545454545454546,1.0,1.0,in_domain,1,CTT_Forester,FS-A,IForest,fleet,2.68,3.48,111998,13793,76
62939,13814,0.2194823559319341,0.9892073262696581,0.9863444207861725,49104,0.039665574882341466,False,0.7721152454032141,1.0,0.0,0.9981447458267213,0.0,0.9568690095846646,0.8404669260700389,0.6351706036745407,0.7910038976087643,0.9210526315789473,1.0,0.8636363636363636,1.0,1.0,True,0.8000579122629217,1.0,0.0,0.9968854784965515,0.0,0.9696485623003195,0.8482490272373541,0.6497937757780278,0.8258716949331086,0.9210526315789473,1.0,0.8636363636363636,1.0,1.0,True,0.9218184450557405,0.9971028110562994,0.0007531806615776081,0.9381774663925171,68.35777345272984,0.9984025559105432,0.8764591439688716,0.7874015748031497,0.9594438006952491,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9205154191400029,0.997411561691113,0.0006717557251908397,0.9420145153999329,60.967743890272565,0.9984025559105432,0.8764591439688716,0.7859017622797151,0.95796902981144,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9570001447806573,0.9694214270000733,0.008488549618320611,0.5622062087059021,770.4105818861716,1.0,0.8861867704280155,0.868766404199475,0.9866217212683029,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,LogReg,fleet,1.67,0.1,111998,13793,76
62939,13814,0.2194823559319341,0.9973395953730607,0.9956660679510613,49104,0.039665574882341466,False,0.8778051252352685,0.9999175393749484,2.035623409669211e-05,0.7597352691027653,1.84750739061432,0.9984025559105432,0.7422178988326849,0.7270341207349081,0.9268935004740335,0.8947368421052632,1.0,0.8181818181818182,1.0,1.0,True,0.9247864485304763,0.9994523548740416,0.00014249363867684477,0.6141242026989687,12.93255173430024,0.9984025559105432,0.8424124513618677,0.801649793775778,0.9634467502370168,0.9210526315789473,1.0,0.8636363636363636,1.0,1.0,True,0.9727812364268134,0.9969582313227985,0.0008346055979643766,0.31224508729755157,75.74780301518712,1.0,0.9970817120622568,0.9111361079865017,0.9856736542715685,1.0,1.0,1.0,1.0,1.0,True,0.9718401621543362,0.9973256073100066,0.000732824427480916,0.32212809665246156,66.51026606211553,1.0,0.9970817120622568,0.9077615298087739,0.9852522911619088,1.0,1.0,1.0,1.0,1.0,True,0.985883885912842,0.966503441913278,0.009608142493638677,0.14155657952374517,872.0234883699592,1.0,0.9990272373540856,0.9565054368203975,0.9917834193616349,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,RandomForest,fleet,70.06,1.64,111998,13793,76
62939,13814,0.2194823559319341,0.9975321293329665,0.9956506432354979,49104,0.039665574882341466,False,0.6095989575792674,1.0,0.0,0.8290354550881833,0.0,0.9984025559105432,0.6021400778210116,0.630671166104237,0.5788475718950806,0.868421052631579,1.0,0.7727272727272727,1.0,1.0,True,0.9074127696539742,0.9994418752989954,0.00014249363867684477,0.49846574623889334,12.93255173430024,1.0,0.8385214007782101,0.8076490438695163,0.9367955335510376,1.0,1.0,1.0,1.0,1.0,True,0.9525843347328797,0.9953857791225416,0.0012417302798982189,0.337912264186006,112.69795082747353,1.0,0.8871595330739299,0.8732658417697787,0.9788265037395976,1.0,1.0,1.0,1.0,1.0,True,0.9517156507890546,0.9956831263253559,0.0011603053435114503,0.34248795705061597,105.30792126501625,1.0,0.8852140077821011,0.8717660292463442,0.9781944590751079,1.0,1.0,1.0,1.0,1.0,True,0.9825539307948458,0.9697770791654758,0.008610687022900763,0.21309869106611726,781.4956262298575,1.0,0.9990272373540856,0.9381327334083239,0.9920994416938796,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,ExtraTrees,fleet,51.68,2.35,111998,13793,76
62939,13814,0.2194823559319341,0.9985762984854027,0.9972710472028773,49104,0.039665574882341466,False,0.9339076299406399,1.0,0.0,0.9930328674481583,0.0,0.9968051118210862,0.9678988326848249,0.8305211848518935,0.9551248288212367,1.0,1.0,1.0,1.0,1.0,True,0.9614159548284349,0.999473208910295,0.00014249363867684477,0.9386618531505682,12.93255173430024,0.9984025559105432,0.9941634241245136,0.8901387326584177,0.9754555988623196,1.0,1.0,1.0,1.0,1.0,True,0.9781381207470682,0.996607169198997,0.0009363867684478371,0.5484610707344195,84.98533996825873,0.9984025559105432,0.9990272373540856,0.9437570303712036,0.9841988833877594,1.0,1.0,1.0,1.0,1.0,True,0.9774142174605472,0.9968989958653278,0.0008549618320610687,0.5786147310172852,77.59531040580144,0.9984025559105432,0.9990272373540856,0.9415073115860517,0.9837775202780996,1.0,1.0,1.0,1.0,1.0,True,0.9887071087302737,0.9687898992764932,0.008956743002544528,0.06716230225170279,812.9032518703008,0.9984025559105432,0.9990272373540856,0.96962879640045,0.9923101232487096,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,HistGB,fleet,22.2,2.09,111998,13793,76
62939,13814,0.2194823559319341,0.9985254506344008,0.997283123811224,49104,0.039665574882341466,False,0.862458375561025,1.0,0.0,0.9971735477447511,0.0,0.9968051118210862,0.7529182879377432,0.7067866516685414,0.909196249868324,0.9473684210526315,1.0,0.9090909090909091,1.0,1.0,True,0.9563486318227885,0.9998486339211383,4.071246819338422e-05,0.8153820633888245,3.69501478122864,0.9984025559105432,0.9922178988326849,0.8867641544806899,0.9692404929948383,1.0,1.0,1.0,1.0,1.0,True,0.9758940205588533,0.9967467652495379,0.000895674300254453,0.22001975774765015,81.2903251870301,0.9984025559105432,0.9980544747081712,0.9362579677540307,0.98314547561361,1.0,1.0,1.0,1.0,1.0,True,0.975676849572897,0.9968934911242604,0.0008549618320610687,0.23528949916362762,77.59531040580144,0.9984025559105432,0.9980544747081712,0.9358830146231721,0.9829347940587801,1.0,1.0,1.0,1.0,1.0,True,0.9888518893875778,0.9717578430675109,0.008081424936386769,0.017484202980995178,733.4604340738852,1.0,0.9990272373540856,0.9715035620547432,0.9918887601390498,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,XGBoost,fleet,11.49,0.42,111998,13793,76
62939,13814,0.2194823559319341,0.9983736571409836,0.9971188062750667,49104,0.039665574882341466,False,0.8764297089908788,1.0,0.0,0.99902363735555,0.0,0.9968051118210862,0.7675097276264592,0.6880389951256093,0.9332139471189297,0.9210526315789473,1.0,0.8636363636363636,1.0,1.0,True,0.9577964383958303,1.0,0.0,0.8975665968914823,0.0,0.9984025559105432,0.9824902723735408,0.8867641544806899,0.9724007163172864,1.0,1.0,1.0,1.0,1.0,True,0.978789633704937,0.9961688646577764,0.0010585241730279899,0.12807414598210975,96.07038431194466,0.9984025559105432,0.9990272373540856,0.9448818897637795,0.984830928052249,1.0,1.0,1.0,1.0,1.0,True,0.9779209497611119,0.9967534863129934,0.000895674300254453,0.14841325758778867,81.2903251870301,0.9984025559105432,0.9990272373540856,0.941132358455193,0.9846202464974192,1.0,1.0,1.0,1.0,1.0,True,0.9883451570870132,0.9708454810495627,0.008346055979643765,0.004737716642866575,757.4780301518712,1.0,0.9990272373540856,0.968503937007874,0.9919941009164648,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,LightGBM,fleet,20.06,2.37,111998,13793,76
62939,13814,0.2194823559319341,0.9985589424896602,0.9973476863456721,49104,0.039665574882341466,False,0.9305052844939916,1.0,0.0,0.9753840454819761,0.0,0.9984025559105432,0.8258754863813229,0.8481439820022497,0.9604972084693985,1.0,1.0,1.0,1.0,1.0,True,0.9530186767047922,0.999848105111263,4.071246819338422e-05,0.8527405672894414,3.69501478122864,0.9984025559105432,0.8900778210116731,0.8875140607424072,0.9752449173074897,1.0,1.0,1.0,1.0,1.0,True,0.9795859273201101,0.9964653902798233,0.0009770992366412213,0.24605537696532306,88.68035474948736,0.9984025559105432,0.995136186770428,0.9441319835020623,0.9866217212683029,1.0,1.0,1.0,1.0,1.0,True,0.978717243376285,0.9967561191388971,0.000895674300254453,0.2726239513446126,81.2903251870301,0.9984025559105432,0.9922178988326849,0.9418822647169104,0.9863056989360581,1.0,1.0,1.0,1.0,1.0,True,0.9894310120167945,0.969018078695498,0.008895674300254452,0.03076750161471006,807.3607296984579,1.0,0.9990272373540856,0.9703787026621672,0.9930475086906141,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,CatBoost,fleet,27.06,0.1,111998,13793,76
62939,13814,0.2194823559319341,0.997550660520304,0.9955358690989762,49104,0.039665574882341466,False,0.8686115534964529,1.0,0.0,0.9996384382247926,0.0,0.9984025559105432,0.9289883268482491,0.8222722159730034,0.8665332350152745,0.9736842105263158,1.0,0.9545454545454546,1.0,1.0,True,0.9304328941653395,0.9997666459240822,6.106870229007633e-05,0.9895153045654297,5.54252217184296,0.9984025559105432,0.9737354085603113,0.8668916385451818,0.9391130306541662,1.0,1.0,1.0,1.0,1.0,True,0.9617055161430433,0.99639990999775,0.0009770992366412213,0.7955676913261414,88.68035474948736,1.0,0.9873540856031129,0.9220097487814023,0.9675550405561993,1.0,1.0,1.0,1.0,1.0,True,0.9608368321992182,0.9967708020426554,0.0008753180661577608,0.8128424286842346,79.44281779641577,1.0,0.9873540856031129,0.9190101237345332,0.9671336774465396,1.0,1.0,1.0,1.0,1.0,True,0.9823367598088896,0.9717150017901898,0.008040712468193384,0.11522871255874634,729.7654192926564,1.0,0.9970817120622568,0.9658792650918635,0.9841988833877594,1.0,1.0,1.0,1.0,1.0,in_domain,1,CTT_Forester,FS-A,NN:MLP,fleet,63.67,0.17,111998,13793,76
62939,13814,0.2194823559319341,0.9986356629756808,0.9954938661315449,49104,0.039665574882341466,False,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.08013609381786593,0.9990974729241877,2.035623409669211e-05,1.0,1.84750739061432,0.001597444089456869,0.04085603112840467,0.29996250468691416,0.027809965237543453,0.39473684210526316,0.5,0.3181818181818182,0.5,0.5,True,0.08013609381786593,0.9990974729241877,2.035623409669211e-05,1.0,1.84750739061432,0.001597444089456869,0.04085603112840467,0.29996250468691416,0.027809965237543453,0.39473684210526316,0.5,0.3181818181818182,0.5,0.5,True,0.6654842912986825,0.9963151620244933,0.0006921119592875318,0.9999276399612427,62.81525128088689,0.5942492012779552,0.3122568093385214,0.5245594300712411,0.7480248604234699,0.9210526315789473,1.0,0.8636363636363636,1.0,1.0,in_domain,1,CTT_Forester,FS-A,NN:CNN1D,fleet,78.64,2.36,111998,13793,76
